t,n_sat,dop,sigma_pos,dt_upd
0,10.1712361143514,1.83024266378177,1.63024266378177,0.329367817591726
0.2,10.1712361143514,1.83082013710674,1.63082013710674,0.329485937135469
0.4,10.1701912087876,1.83139483516681,1.63139483516681,0.329603489011394
0.6,10.1691515726188,1.83196663505965,1.63196663505965,0.329720448080384
0.8,10.168117428518,1.83253541431511,1.63253541431511,0.329836789291726
1,10.1670889983169,1.8331010509257,1.6331010509257,0.329952487689348
1.2,10.1650176720061,1.83424028039667,1.63424028039667,0.330185511899318
1.4,10.1629625850859,1.83537057820275,1.63537057820275,0.330416709177835
1.6,10.1609246260766,1.83649145565788,1.63649145565788,0.330645979566384
1.8,10.158904679297,1.83760242638668,1.63760242638668,0.330873223579093
2,10.1569036245334,1.83870300650665,1.63870300650665,0.331098342239997
2.2,10.1549223367097,1.83979271480968,1.63979271480968,0.331321237120161
2.4,10.1529616855587,1.84087107294272,1.64087107294272,0.331541810374647
2.6,10.151022535295,1.84193760558774,1.64193760558774,0.331759964779311
2.8,10.1491057442896,1.84299184064072,1.64299184064072,0.33197560376742
3,10.147212164746,1.84403330938972,1.64403330938972,0.332188631466079
3.2,10.1453426423783,1.84506154669193,1.64506154669193,0.332398952732441
3.4,10.1434980160915,1.84607609114969,1.64607609114969,0.332606473189709
3.6,10.1416791176632,1.84707648528526,1.64707648528526,0.332811099262895
3.8,10.1398867714281,1.84806227571454,1.64806227571454,0.333012738214339
4,10.1381217939647,1.8490330133194,1.6490330133194,0.333211298178968
4.2,10.1363849937841,1.84998825341873,1.64998825341873,0.333406688199286
4.4,10.1346771710215,1.85092755593816,1.65092755593816,0.333598818260079
4.6,10.1329991171304,1.85185048557826,1.65185048557826,0.333787599322825
4.8,10.1313516145796,1.85275661198124,1.65275661198124,0.333972943359799
5,10.1297354365525,1.85364550989615,1.65364550989615,0.334154763387849
5.2,10.1281513466502,1.8545167593424,1.6545167593424,0.334332973501854
5.4,10.1266000985971,1.8553699457716,1.6553699457716,0.334507488907828
5.6,10.1250824359496,1.85620466022771,1.65620466022771,0.334678225955668
5.8,10.1235990918085,1.85702049950531,1.65702049950531,0.334845102171541
6,10.1221507885344,1.85781706630611,1.65781706630611,0.335008036289886
6.2,10.1207382374664,1.85859396939347,1.65859396939347,0.335166948285027
6.4,10.1193621386454,1.859350823745,1.659350823745,0.335321759402387
6.6,10.1180231805397,1.86008725070317,1.66008725070317,0.335472392189284
6.8,10.1167220397751,1.86080287812371,1.66080287812371,0.335618770525304
7,10.115459380869,1.86149734052207,1.66149734052207,0.335760819652242
7.2,10.1142358559681,1.86217027921757,1.66217027921757,0.335898466203594
7.4,10.1130521045903,1.86282134247533,1.66282134247533,0.33603163823359
7.6,10.1119087533709,1.86345018564598,1.66345018564598,0.336160265245768
7.8,10.1108064158128,1.86405647130296,1.66405647130296,0.33628427822106
8,10.1097456920409,1.86463986937749,1.66463986937749,0.336403609645396
8.2,10.1087271685617,1.86520005729109,1.66520005729109,0.336518193536813
8.4,10.1077514180262,1.86573672008558,1.66573672008558,0.33662796547205
