t,n_sat,dop,sigma_pos,dt_upd
0,9.75116737063083,2.06098082883473,1.86098082883473,0.376564260443468
0.2,9.75116737063083,2.06185794615305,1.86185794615305,0.376743670804032
0.4,9.74958027608226,2.06273084815476,1.86273084815476,0.376922218940746
0.6,9.74800118515462,2.06359934816496,1.86359934816496,0.377099866670105
0.8,9.74643043606327,2.0644632601652,1.8644632601652,0.377276575942882
1,9.74486836574583,2.0653223988398,1.8653223988398,0.377452308853595
1.2,9.74172225301544,2.06705276084151,1.86705276084151,0.377806246535763
1.4,9.73860080610113,2.06876955664438,1.86876955664438,0.378157409313623
1.6,9.73550537456547,2.07047204398899,1.87047204398899,0.378505645361385
1.8,9.7324373015898,2.07215948412561,1.87215948412561,0.378850803571148
2,9.72939792347107,2.07383114209091,1.87383114209091,0.379192733609504
2.2,9.72638856912068,2.07548628698363,1.87548628698363,0.379531285973924
2.4,9.72341055956533,2.07712419223907,1.87712419223907,0.379866312048901
2.6,9.72046520745025,2.07874413590237,1.87874413590237,0.380197664161847
2.8,9.71755381654479,2.08034540090036,1.88034540090036,0.380525195638711
3,9.7146776812507,2.08192727531211,1.88192727531211,0.380848760859296
3.2,9.71183808611311,2.08348905263779,1.88348905263779,0.381168215312275
3.4,9.70903630533458,2.08503003206598,1.88503003206598,0.381483415649859
3.6,9.70627360229227,2.08654951873925,1.88654951873925,0.38179421974212
3.8,9.70355122905835,2.08804682401791,1.88804682401791,0.382100486730936
4,9.70087042592402,2.08952126574179,1.88952126574179,0.382402077083548
4.2,9.69823242092706,2.09097216849011,1.89097216849011,0.382698852645705
4.4,9.69563842938332,2.09239886383917,1.89239886383917,0.382990676694376
4.6,9.69308965342207,2.09380069061786,1.89380069061786,0.383277413990017
4.8,9.69058728152562,2.09517699516091,1.89517699516091,0.383558930828368
5,9.68813248807322,2.09652713155973,1.89652713155973,0.383835095091763
5.2,9.68572643288939,2.09785046191084,1.89785046191083,0.384105776299943
5.4,9.68337026079701,2.09914635656165,1.89914635656165,0.384370845660337
5.6,9.68106510117507,2.10041419435371,1.90041419435371,0.384630176117805
5.8,9.67881206752152,2.10165336286317,1.90165336286317,0.38488364240383
6,9.67661225702112,2.10286325863838,1.90286325863838,0.385131121085124
6.2,9.67446675011869,2.10404328743472,1.90404328743472,0.385372490611647
6.4,9.67237661009764,2.1051928644463,1.9051928644463,0.385607631364015
6.6,9.67034288266422,2.10631141453468,1.90631141453468,0.385836425700275
6.8,9.66836659553739,2.10739837245444,1.90739837245444,0.386058758002044
7,9.66644875804463,2.10845318307545,1.90845318307545,0.386274514719979
7.2,9.66459036072379,2.10947530160192,1.90947530160192,0.386483584418574
7.4,9.662792374931,2.11046419378795,1.91046419378795,0.386685857820263
7.6,9.66105575245501,2.11141933614974,1.91141933614974,0.386881227848811
7.8,9.65938142513792,2.11234021617414,1.91234021617414,0.387069589671984
8,9.65777030450248,2.11322633252363,1.91322633252363,0.387250840743471
8.2,9.65622328138617,2.11407719523761,1.91407719523761,0.387424880844056
8.4,9.65474122558205,2.11489232592987,1.91489232592987,0.387591612122019
8.6,9.6533249854867,2.11567125798232,1.91567125798232,0.387750939132747
8.8,9.65197538775514,2.11641353673467,1.91641353673467,0.387902768877547
9,9.65069323696315,2.11711871967027,1.91711871967027,0.388047010841645
9.2,9.64947931527681,2.11778637659776,1.91778637659776,0.388183577031359
9.4,9.64833438212958,2.11841608982873,1.91841608982873,0.388312382010422
9.6,9.64725917390704,2.11900745435113,1.91900745435113,0.388433342935458
9.8,9.64625440363925,2.11956007799842,1.91956007799842,0.388546379590585
10,9.64532076070097,2.12007358161447,1.92007358161447,0.388651414421141
10.2,9.64445891051991,2.12054759921405,1.92054759921405,0.38874837256651
10.4,9.64366949429292,2.1209817781389,1.9209817781389,0.388837181892047
10.6,9.64295312871037,2.1213757792093,1.9213757792093,0.388917773020083
10.8,9.64231040568886,2.12172927687113,1.92172927687113,0.388990079360003
11,9.64174189211218,2.1220419593383,1.9220419593383,0.38905403713738
11.2,9.6412481295808,2.12231352873056,1.92231352873056,0.38910958542216
11.4,9.64082963416993,2.12254370120654,1.92254370120654,0.389156666155883
11.6,9.64048689619614,2.12273220709212,1.92273220709212,0.389195224177934
11.8,9.64022037999281,2.12287879100395,1.92287879100395,0.389225207250808
12,9.64003052369432,2.12298321196812,1.92298321196812,0.389246566084389
12.2,9.63991773902919,2.12304524353394,1.92304524353394,0.389259254359216
12.4,9.63988241112219,2.1230646738828,1.9230646738828,0.389263228748754
12.6,9.63992489830549,2.12304130593198,1.92304130593198,0.389258448940633
12.8,9.64004553193896,2.12297495743357,1.92297495743357,0.389244877656867
13,9.64024461623968,2.12286546106817,1.92286546106817,0.389222480673036
13.2,9.64052242812071,2.12271266453361,1.92271266453361,0.389191226836421
13.4,9.64087921703914,2.12251643062847,1.92251643062847,0.389151088083097
13.6,9.64131520485365,2.12227663733049,1.92227663733049,0.389102039453964
13.8,9.64183058569144,2.12199317786971,1.92199317786971,0.389044059109713
14,9.64242552582465,2.12166596079645,1.92166596079645,0.388977128344727
14.2,9.64310016355641,2.12129491004398,1.92129491004398,0.388901231599904
