t,tx_x,tx_y,rx_x,rx_y,relay_available
0,417844.559145915,4731633.35612011,417900.863572636,4731615.06449186,1
1.21212293439804,417844.980957505,4731633.52320607,417900.86322608,4731615.06442398,1
2.42424297887395,417845.373498329,4731633.85042031,417900.862965934,4731615.06426831,1
3.63636302334985,417845.61987623,4731633.97673164,417900.862648497,4731615.0641818,1
4.84848595774789,417845.807438848,4731634.0780694,417900.862461684,4731615.06436609,1
6.0606060022238,417845.953508832,4731634.19001049,417900.862281934,4731615.06448022,1
7.27272893662184,417846.111097934,4731634.27449555,417900.862177798,4731615.06453064,1
8.48484898109774,417846.273442497,4731634.37901275,417900.862000824,4731615.0645974,1
9.69696902557364,417846.442716927,4731634.48597179,417900.861967846,4731615.06454843,1
10.9090919599717,417846.627216148,4731634.60316052,417900.861948354,4731615.06454791,1
12.1212120044476,417846.819737419,4731634.72511776,417900.862027764,4731615.06450614,1
13.3333349388456,417847.016614899,4731634.85485045,417900.862131402,4731615.06446638,1
14.5454549833215,417847.22199317,4731634.97037786,417900.862326333,4731615.06429983,1
15.7575750277974,417847.399653965,4731635.11681694,417900.862377244,4731615.06425383,1
16.9696979621955,417847.66619508,4731635.30533305,417900.862404138,4731615.06420553,1
18.1818180066714,417847.945664704,4731635.45327168,417900.862431272,4731615.06422411,1
19.3939409410694,417848.195944093,4731635.6529612,417900.862525447,4731615.0642581,1
20.6060609855453,417848.475365548,4731635.82620869,417900.862501085,4731615.06429003,1
21.8181810300212,417848.76469321,4731635.99157456,417900.862520358,4731615.06431634,1
23.0303039644193,417849.061446134,4731636.14644769,417900.862482777,4731615.06443018,1
24.2424240088952,417849.363174107,4731636.31537077,417900.862504056,4731615.06435187,1
25.4545469432932,417849.640807617,4731636.52410583,417900.862476048,4731615.06435841,1
26.6666669877691,417849.921878754,4731636.75887418,417900.862490572,4731615.06435159,1
27.878787032245,417850.227734053,4731636.95421673,417900.862512512,4731615.06439835,1
29.0909099666431,417850.557544609,4731637.17844351,417900.862554093,4731615.06448257,1
30.303030011119,417850.896158893,4731637.37178803,417900.862673273,4731615.06447704,1
31.515152945517,417851.237161052,4731637.56193671,417900.862721616,4731615.06456053,1
32.7272729899929,417851.562221828,4731637.78344264,417900.862816998,4731615.06462441,1
33.9393930344688,417851.905602874,4731637.99997811,417900.862734114,4731615.06472488,1
35.1515159688669,417852.236681541,4731638.22834811,417900.862701323,4731615.06477138,1
36.3636360133428,417852.571034324,4731638.43881302,417900.862799084,4731615.06468826,1
37.5757589477408,417852.912469502,4731638.62146089,417900.862816766,4731615.06464488,1
38.7878789922167,417853.221862725,4731638.86865623,417900.862962974,4731615.06447698,1
39.9999990366926,417853.587117105,4731639.08746802,417900.862990635,4731615.06442044,1
41.2121219710907,417853.911388379,4731639.34259637,417900.8629221,4731615.06446208,1
42.4242420155666,417854.274650731,4731639.5169757,417900.862985064,4731615.06446102,1
43.6363649499646,417854.595214447,4731639.74863101,417900.863140895,4731615.06434832,1
44.8484849944405,417854.962909206,4731639.88641229,417900.86305093,4731615.06440583,1
46.0606050389164,417855.265478339,4731640.16076205,417900.863089057,4731615.06436213,1
47.2727279733145,417855.619568558,4731640.37418158,417900.863002701,4731615.06440191,1
48.4848480177904,417855.966229276,4731640.61009487,417900.862902806,4731615.06445943,1
49.6969709521884,417856.306140517,4731640.84607332,417900.862845592,4731615.0645401,1
50.9090909966643,417856.65763882,4731641.07663927,417900.862849323,4731615.06442816,1
52.1212110411402,417857.038271791,4731641.31006058,417900.862772892,4731615.0645047,1
53.3333339755383,417857.413465265,4731641.55304871,417900.862676853,4731615.06461407,1
54.5454540200142,417857.800273323,4731641.7792875,417900.862542774,4731615.06468849,1
55.7575769544122,417858.149738304,4731642.05013476,417900.862458299,4731615.06481158,1
56.9696969988881,417858.484548777,4731642.31613608,417900.862258849,4731615.06498635,1
58.181817043364,417858.866162604,4731642.56228058,417900.862160437,4731615.0651031,1
59.3939399777621,417859.207695971,4731642.86718485,417900.861981607,4731615.06518515,1
60.6060600222379,417859.482304156,4731643.17027761,417900.861914897,4731615.06517273,1
61.818182956636,417859.736345606,4731643.47667794,417900.861828711,4731615.06525531,1
63.0303030011119,417860.044980052,4731643.81125408,417900.8617666,4731615.06531282,1
64.2424230455878,417860.433103936,4731644.16865604,417900.861752312,4731615.06536513,1
65.4545459799858,417860.677611849,4731644.52826327,417900.861699962,4731615.06538939,1
66.6666660244617,417861.030702171,4731644.93917361,417900.861701248,4731615.06538268,1
67.8787889588598,417861.276654356,4731645.29253956,417900.8618149,4731615.06532635,1
69.0909090033357,417861.624038362,4731645.70105368,417900.861843792,4731615.06532655,1
70.3030290478116,417861.91096676,4731646.08387019,417900.861824608,4731615.06534888,1
71.5151519822096,417862.068686735,4731646.40319003,417900.861876205,4731615.0653212,1
72.7272720266855,417862.352002976,4731646.81722213,417900.861921987,4731615.06531649,1
73.9393949610836,417862.53309427,4731647.18573779,417900.861955844,4731615.06530274,1
75.1515150055595,417862.579512899,4731647.4619731,417900.862089734,4731615.06521133,1
76.3636350500354,417862.99009721,4731648.05579316,417900.862119496,4731615.06518078,1
77.5757579844334,417863.137616263,4731648.57577098,417900.862080172,4731615.0651868,1
78.7878780289093,417863.346370525,4731649.13896368,417900.862108052,4731615.06510928,1
80.0000009633074,417863.516302852,4731649.65268691,417900.862212795,4731615.06493632,1
81.2121210077833,417863.589608346,4731650.16058258,417900.862216445,4731615.06484748,1
82.4242410522592,417863.739304203,4731650.66982296,417900.862259965,4731615.06468471,1
83.6363639866572,417863.799750935,4731651.23929092,417900.862236849,4731615.06460785,1
84.8484840311331,417863.841694912,4731651.76139189,417900.862231259,4731615.06452568,1
86.0606069655312,417863.947950731,4731652.27900736,417900.862324895,4731615.06433893,1
87.2727270100071,417864.015806363,4731652.80160074,417900.862332318,4731615.06421338,1
88.484847054483,417864.082063454,4731653.32564826,417900.86233666,4731615.06411292,1
89.696969988881,417864.095992431,4731653.85211298,417900.862390583,4731615.06399958,1
90.9090900333569,417864.080344073,4731654.41314886,417900.862372923,4731615.06399276,1
92.121212967755,417864.04168868,4731655.01496563,417900.862341571,4731615.06395779,1
93.3333330122309,417863.956706188,4731655.61601495,417900.862284475,4731615.06394862,1
94.5454530567068,417863.860226478,4731656.2469152,417900.86228584,4731615.06387152,1
95.7575759911048,417863.702322673,4731656.98164411,417900.86225513,4731615.06381562,1
96.9696960355807,417863.555160199,4731657.67198104,417900.862206199,4731615.06372836,1
98.1818189699788,417863.168913518,4731658.3841272,417900.86215717,4731615.06363019,1
99.3939390144547,417863.02887811,4731659.08194333,417900.862091557,4731615.06355067,1
100.606059058931,417862.831211995,4731659.79688302,417900.862038493,4731615.0634712,1
101.818181993329,417862.897394339,4731660.10410738,417900.862033626,4731615.06328371,1
103.030302037805,417862.388159965,4731661.24777823,417900.861922787,4731615.06328823,1
104.242424972203,417861.918002696,4731661.95412081,417900.86196408,4731615.06310789,1
105.454545016678,417861.604376895,4731662.68908543,417900.86194044,4731615.06306458,1
106.666665061154,417861.280794271,4731663.44248431,417900.861924841,4731615.06308952,1
107.878787995552,417860.927155469,4731664.21355187,417900.861958541,4731615.06311603,1
109.090908040028,417860.525885744,4731665.01570697,417900.862021816,4731615.06316957,1
110.303030974426,417860.130554141,4731665.80067012,417900.862074985,4731615.06324274,1
111.515151018902,417859.718040074,4731666.60329781,417900.862226419,4731615.06324575,1
112.727271063378,417859.332141197,4731667.41476286,417900.862307302,4731615.06338094,1
113.939393997776,417858.855214337,4731668.27557884,417900.86241301,4731615.06355581,1
115.151514042252,417858.394581935,4731669.12733342,417900.862412255,4731615.06384049,1
116.36363697665,417857.902988924,4731669.98871493,417900.86255388,4731615.06401742,1
117.575757021126,417857.407572198,4731670.87882691,417900.862610312,4731615.06433135,1
118.787877065602,417856.897970948,4731671.84351411,417900.86270125,4731615.06456141,1
120,417856.352685826,4731672.79045365,417900.862755036,4731615.06482919,1
