Config,Stage,Metric,Baseline_Mean,Baseline_Std,Proposed_Mean,Proposed_Std,Delta_Mean,DeltaPct,CI_Lower,CI_Upper,P_Value,P_Value_Display,P_Value_Holm,P_Value_Holm_Display,Significant,Significant_Holm,EffectSize_RBC,EffectSize_CohenDz,PracticalNote,P_Value_Holm_Family,P_Value_Holm_Family_Display,Significant_Holm_Family
Generic,PosDeg_Emerg,TimelyRate,0.988181818181818,0.00748429638498686,1,0,0.0118181818181817,1.18181818181815,0.0089337916858911,0.0147025719504723,5.94069621939752e-07,p = 5.941e-07,1.78220886581926e-06,p = 1.782e-06,***,***,1,1.57906384384889,Meaningful,2.97034810969876e-06,p = 2.970e-06,***
Generic,PosDeg_Emerg,LossRate,0.0118181818181818,0.00748429638498695,0,0,-0.0118181818181818,-1.18181818181818,-0.0147025719504724,-0.00893379168589114,5.94069621939752e-07,p = 5.941e-07,1.78220886581926e-06,p = 1.782e-06,***,***,-1,-1.57906384384888,Meaningful,2.97034810969876e-06,p = 2.970e-06,***
Generic,PosDeg_Emerg,AvgDelay,0.012723013076261,0.000213311242607236,0.0135955304072963,0.000594597451377599,0.00087251733103528,6.85778852702156,0.000683559410432588,0.00106147525163797,1.83387567354032e-08,p = 1.834e-08,7.33550269416128e-08,p = 7.336e-08,***,***,1,1.77955733372051,Sub-ms,1.10032540412419e-07,p = 1.100e-07,***
Generic,PosDeg_Emerg,AvgTxCost,2.16036363636364,4.6811112914356e-16,3.2962,0.127319917658264,1.13583636363636,52.5761656286817,1.08676824884681,1.18490447842591,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,8.92112078398472,SeeDelta,3.3376107877608e-307,p < 1e-15,***
Generic,PosDeg_Emerg,EmgTimely,0.933333333333333,0.0860662965823872,1,0,0.0666666666666668,6.66666666666668,0.0334973794263846,0.099835953906949,0.0143058866349626,p = 0.01431,0.0143058866349626,p = 0.01431,*,*,1,0.774596669241483,Meaningful,0.0286117732699251,p = 0.02861,*
ForestParam,PosDeg_Emerg,TimelyRate,0.93,0.0113787777912233,0.989090909090909,0.00717100579769641,0.0590909090909095,5.90909090909093,0.0556860546803182,0.0624957635015008,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,6.68844482055797,Meaningful,3.3376107877608e-307,p < 1e-15,***
ForestParam,PosDeg_Emerg,LossRate,0.0672727272727273,0.0122717919583737,0.00545454545454545,0.00766612766101425,-0.0618181818181819,-6.18181818181819,-0.0664308411697318,-0.057205522466632,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-5.16497077212671,Meaningful,3.3376107877608e-307,p < 1e-15,***
ForestParam,PosDeg_Emerg,AvgDelay,0.0167530350780625,0.000502858225744732,0.0197590440591667,0.000593001463745799,0.0030060089811042,17.9430710142812,0.00269128598993876,0.00332073197226964,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,3.68099160627115,Meaningful,3.3376107877608e-307,p < 1e-15,***
ForestParam,PosDeg_Emerg,AvgTxCost,2.36363636363636,0,3.54067272727273,0.130320521729458,1.17703636363637,49.7976923076926,1.12681183916865,1.22726088810409,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,9.03185736226458,SeeDelta,3.3376107877608e-307,p < 1e-15,***
ForestParam,PosDeg_Emerg,EmgTimely,0.866666666666666,0.105409255338946,0.883333333333333,0.0805076485899415,0.0166666666666666,1.66666666666667,-0.00364529055095834,0.0369786238842916,0.317310527664727,p = 0.3173,0.317310527664727,p = 0.3173,n.s.,n.s.,1,0.316227766016838,Meaningful,0.317310527664727,p = 0.3173,n.s.
ForestGeometryDemo,PosDeg_Emerg,TimelyRate,0.853636363636364,0.02403318795018,0.975454545454546,0.0171687460293519,0.121818181818182,12.1818181818182,0.111346483837946,0.132289879798418,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,4.48330235429196,Meaningful,3.3376107877608e-307,p < 1e-15,***
ForestGeometryDemo,PosDeg_Emerg,LossRate,0.144545454545454,0.0258731808559233,0.0236363636363636,0.0161489849629991,-0.120909090909091,-12.0909090909091,-0.131745631431978,-0.110072550386203,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-4.30002836065516,Meaningful,3.3376107877608e-307,p < 1e-15,***
ForestGeometryDemo,PosDeg_Emerg,AvgDelay,0.0223395044031727,0.000825926576405011,0.0280135331599538,0.00101444951750195,0.00567402875678103,25.3990807243476,0.00532282565599552,0.00602523185756654,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,6.22638848680119,Meaningful,3.3376107877608e-307,p < 1e-15,***
ForestGeometryDemo,PosDeg_Emerg,AvgTxCost,2.32,0,3.94103636363637,0.0474918039422565,1.62103636363636,69.8722570532916,1.60273338849891,1.63933933877382,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,34.1329709355181,SeeDelta,3.3376107877608e-307,p < 1e-15,***
ForestGeometryDemo,PosDeg_Emerg,EmgTimely,0.967796610169491,0.0125061828368242,0.989830508474576,0.00875250473719194,0.0220338983050849,2.2033898305085,0.0166562217872549,0.027411574822915,5.94069621939752e-07,p = 5.941e-07,5.94069621939752e-07,p = 5.941e-07,***,***,1,1.57906384384889,Meaningful,2.97034810969876e-06,p = 2.970e-06,***
