Config,Stage,Metric,Baseline_Mean,Baseline_Std,Proposed_Mean,Proposed_Std,Delta_Mean,CI_Lower,CI_Upper,P_Value,Significant
Default,PosDeg_Emerg,TimelyRate,0.98939393939394,0.00863540114528893,0.999090909090909,0.00365979909033131,0.00969696969696961,0.00818038721527223,0.011213552178667,9.9031893796564e-14,***
Default,PosDeg_Emerg,LossRate,0.0106060606060606,0.00863540114528902,0.000909090909090908,0.00365979909033135,-0.00969696969696967,-0.0112135521786671,-0.00818038721527228,9.9031893796564e-14,***
Default,PosDeg_Emerg,AvgDelay,0.0121064064322879,0.000176701258684725,0.012754749177298,0.00032558245489175,0.00064834274501012,0.000589575401865247,0.000707110088154993,0,***
Default,PosDeg_Emerg,AvgTxCost,2.03,9.03362056653392e-16,2.99246060606061,0.126567859899323,0.962460606060606,0.935560165760536,0.989361046360676,0,***
Default,PosDeg_Emerg,EmgTimely,1,0,1,0,0,0,0,1,n.s.
ForestGeometry,PosDeg_Emerg,TimelyRate,0.963636363636364,0.0186461095397657,0.99030303030303,0.00922575024372581,0.0266666666666666,0.0235005999704987,0.0298327333628345,0,***
ForestGeometry,PosDeg_Emerg,LossRate,0.0354545454545454,0.0183921997665914,0.00606060606060605,0.00803715131579076,-0.0293939393939394,-0.0325498246937262,-0.0262380540941526,0,***
ForestGeometry,PosDeg_Emerg,AvgDelay,0.0172644604717812,0.000757622967392949,0.019467348255426,0.000501492314470377,0.00220288778364486,0.00207128006321905,0.00233449550407067,0,***
ForestGeometry,PosDeg_Emerg,AvgTxCost,2.22818181818182,1.35504308498009e-15,3.49667575757576,0.22637297595434,1.26849393939394,1.22038115049119,1.31660672829669,0,***
ForestGeometry,PosDeg_Emerg,EmgTimely,0.822222222222222,0.163377505951187,0.916666666666666,0.0953919119120566,0.0944444444444443,0.067032241612352,0.121856647276537,6.05467069703103e-05,***
