Scene,SceneRole,GeometryType,DensityClass,VegetationClass,Config,Method,TimelyRateMean,TimelyRateStd,TimelyRateCI95,LossRateMean,LossRateStd,LossRateCI95,AvgTxCostMean,AvgTxCostStd,AvgTxCostCI95,EmergencyTimelyRateMean,EmergencyTimelyRateStd,EmergencyTimelyRateCI95
10014,Primary,CurvedBlind,Medium,Dense,Default,Link-delay-aware,0.968485856905158,0.00631054107017387,0.00174919274240105,0.0315141430948419,0.00631054107017387,0.00174919274240105,1.62945091514143,2.24298922669111e-16,6.21724893790088e-17,1,0,0
10014,Primary,CurvedBlind,Medium,Dense,Default,Confidence-driven,0.971414309484193,0.0060944670241059,0.00168930007250153,0.028585690515807,0.0060944670241059,0.00168930007250153,1.91525990016639,0.041592658725601,0.0115288968047205,1,0,0
10014,Primary,CurvedBlind,Medium,Dense,Default,Oracle,0.993677204658902,0.0030625383234431,0.000848892313530916,0.00632279534109816,0.0030625383234431,0.000848892313530916,1.89899833610649,0.0264313511279929,0.00732639674646239,1,0,0
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Link-delay-aware,0.959467554076539,0.00862136864200173,0.00238972146610844,0.0403993344425956,0.00865590239257697,0.00239929373339937,2.2112146422629,0,0,0.833333333333333,0.161484047217268,0.0447610942175854
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Confidence-driven,0.972146422628952,0.00680508825050285,0.00188627422701336,0.0273211314475873,0.00670707433906285,0.00185910615685286,2.57919234608985,0.0498813562435427,0.0138264065397997,0.923333333333333,0.0964799980445467,0.0267428910595362
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Oracle,0.971381031613977,0.00565504029159511,0.00156749719652346,0.0280532445923461,0.0055543310785998,0.00153958202688818,2.56564825291181,0.0383610167414974,0.0106331313478804,0.93,0.101519074311085,0.0281396517391385
10006,Reference,Mixed,Medium,Mixed,Default,Link-delay-aware,0.944492512479201,0.00672952901211799,0.00186533027467481,0.0555074875207986,0.00672952901211799,0.00186533027467481,2.14675540765392,4.48597845338221e-16,1.24344978758018e-16,0.997434210526316,0.00276338165939644,0.000765970316863378
10006,Reference,Mixed,Medium,Mixed,Default,Confidence-driven,0.980965058236273,0.0046355585427141,0.00128491127301503,0.0190349417637271,0.0046355585427141,0.00128491127301503,2.4973703826955,0.025613791443454,0.00709978076365321,0.999407894736842,0.00127660504766974,0.000353856865752866
10006,Reference,Mixed,Medium,Mixed,Default,Oracle,0.98865224625624,0.00416740099528874,0.00115514462144736,0.0113477537437604,0.00416740099528874,0.00115514462144736,2.326768718802,0.00816870701020277,0.00226425006321266,0.997434210526316,0.00276338165939644,0.000765970316863378
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,Link-delay-aware,0.876905158069883,0.00795130934760682,0.00220399050552987,0.117504159733777,0.00858939340053659,0.00238085838136097,2.47332778702164,4.48597845338221e-16,1.24344978758018e-16,0.962894736842105,0.00874211725882218,0.00242319127509132
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,Confidence-driven,0.888519134775374,0.00701111538091401,0.00194338203397403,0.105524126455907,0.00739614712320058,0.00205010738790365,2.79636838602329,0.0346053660975527,0.00959211810094484,0.967828947368421,0.00746840491062825,0.00207013622472524
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,Oracle,0.910915141430948,0.00966830569885564,0.00267991761272018,0.0781031613976706,0.00920242375337112,0.00255078172582946,2.77349417637272,0.0134053426367553,0.0037157714035709,0.96421052631579,0.00815668193749892,0.00226091688311503
10017,LongRange,LongMixed,Medium,Mixed,Default,Link-delay-aware,0.907054908485857,0.0105663053248994,0.00292883040975097,0.0929450915141431,0.0105663053248994,0.00292883040975097,1.92312811980033,2.24298922669111e-16,6.21724893790088e-17,0.986111111111111,0.0226225282757766,0.00627064491534332
10017,LongRange,LongMixed,Medium,Mixed,Default,Confidence-driven,0.955840266222962,0.00897111697333425,0.00248666675749165,0.0441597337770382,0.00897111697333425,0.00248666675749165,2.3721387687188,0.0358786305447147,0.00994504899947898,0.998888888888889,0.00549857399228215,0.00152412695106509
10017,LongRange,LongMixed,Medium,Mixed,Default,Oracle,0.978236272878536,0.00661162439046819,0.0018326487809341,0.0217637271214642,0.00661162439046819,0.0018326487809341,2.44344925124792,0.0264360035703852,0.00732768633769973,0.986111111111111,0.0226225282757766,0.00627064491534332
10017,LongRange,LongMixed,Medium,Mixed,ForestGeometry,Link-delay-aware,0.806655574043261,0.0127341052873581,0.00352971390280548,0.175806988352745,0.0124768693985201,0.00345841175219161,2.94129783693843,4.48597845338221e-16,1.24344978758018e-16,0.622222222222222,0.0767423793881497,0.0212719022929425
10017,LongRange,LongMixed,Medium,Mixed,ForestGeometry,Confidence-driven,0.842495840266223,0.0112027146917844,0.0031052340862935,0.139866888519135,0.0110237542006038,0.0030556287689572,3.61981930116472,0.0563714048675475,0.0156253562375672,0.643333333333333,0.0753675799587829,0.0208908273332261
10017,LongRange,LongMixed,Medium,Mixed,ForestGeometry,Oracle,0.876239600665557,0.0123415501257248,0.00342090316342746,0.106156405990017,0.0122547646823392,0.00339684746582116,4.02323727121464,0.0419021966921403,0.011614696351629,0.641111111111111,0.0754678028487503,0.0209186077009955
