Scene,SceneRole,GeometryType,DensityClass,VegetationClass,Config,Method,TimelyRateMean,TimelyRateStd,TimelyRateCI95,LossRateMean,LossRateStd,LossRateCI95,AvgTxCostMean,AvgTxCostStd,AvgTxCostCI95,EmergencyTimelyRateMean,EmergencyTimelyRateStd,EmergencyTimelyRateCI95
10014,Primary,CurvedBlind,Medium,Dense,Default,Link-delay-aware,0.965890183028286,0.00823585269268857,0.011414309484193,0.0341098169717138,0.00823585269268857,0.011414309484193,1.62945091514143,0,0,1,0,0
10014,Primary,CurvedBlind,Medium,Dense,Default,Confidence-driven,0.969217970049917,0.00823585269268857,0.011414309484193,0.0307820299500832,0.00823585269268857,0.011414309484193,1.89791181364393,0.0154716375584074,0.0214425956738762,1,0,0
10014,Primary,CurvedBlind,Medium,Dense,Default,Oracle,0.995008319467554,0,0,0.00499168053244592,0,0,1.89363560732113,0.0200601840586202,0.0278019966722133,1,0,0
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Link-delay-aware,0.963394342762063,0.00470620153867918,0.006522462562396,0.0357737104825291,0.00588275192334898,0.008153078202995,2.2112146422629,0,0,0.666666666666667,0.235702260395516,0.326666666666667
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Confidence-driven,0.979201331114809,0.0011765503846698,0.001630615640599,0.019134775374376,0.0011765503846698,0.001630615640599,2.57435940099834,0.038402604555622,0.0532232945091512,0.833333333333333,0,0
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Oracle,0.974209650582363,0.00823585269268857,0.011414309484193,0.0241264559068219,0.00823585269268857,0.011414309484193,2.55262895174709,0.0300020348090798,0.0415806988352745,0.833333333333333,0,0
10006,Reference,Mixed,Medium,Mixed,Default,Link-delay-aware,0.94675540765391,0.00235310076933959,0.003261231281198,0.0532445923460898,0.00235310076933959,0.003261231281198,2.14675540765392,0,0,0.998355263157895,0.00232600914863995,0.0032236842105263
10006,Reference,Mixed,Medium,Mixed,Default,Confidence-driven,0.979201331114809,0.00823585269268857,0.011414309484193,0.0207986688851913,0.00823585269268857,0.011414309484193,2.47861896838602,0.0260017635012023,0.0360366056572376,1,0,0
10006,Reference,Mixed,Medium,Mixed,Default,Oracle,0.986688851913478,0.00470620153867918,0.006522462562396,0.0133111480865225,0.00470620153867918,0.006522462562396,2.32585690515808,0.00164717053853759,0.00228286189683843,0.998355263157895,0.00232600914863995,0.0032236842105263
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,Link-delay-aware,0.885191347753744,0.00235310076933959,0.003261231281198,0.113144758735441,0.00470620153867918,0.006522462562396,2.47332778702164,0,0,0.975328947368421,0.00697802744591984,0.00967105263157889
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,Confidence-driven,0.896838602329451,0,0,0.101497504159734,0.00235310076933959,0.003261231281198,2.7634775374376,0.0646632091414516,0.0896186356073206,0.978618421052632,0.00232600914863995,0.0032236842105263
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,Oracle,0.919301164725458,0.0011765503846698,0.001630615640599,0.0732113144758736,0.00235310076933959,0.003261231281198,2.77153078202995,0.00164717053853759,0.00228286189683843,0.972039473684211,0.00697802744591992,0.00967105263157901
10017,LongRange,LongMixed,Medium,Mixed,Default,Link-delay-aware,0.910981697171381,0.00352965115400939,0.004891846921797,0.089018302828619,0.00352965115400939,0.004891846921797,1.92312811980033,0,0,1,0,0
10017,LongRange,LongMixed,Medium,Mixed,Default,Confidence-driven,0.955074875207987,0.00705930230801877,0.009783693843594,0.0449251247920133,0.00705930230801877,0.009783693843594,2.36202995008319,0.0146362867852919,0.020284858569051,1,0,0
10017,LongRange,LongMixed,Medium,Mixed,Default,Oracle,0.977537437603993,0.00352965115400939,0.004891846921797,0.0224625623960066,0.00352965115400939,0.004891846921797,2.43707154742096,0.0228250774625936,0.03163394342762,1,0,0
10017,LongRange,LongMixed,Medium,Mixed,ForestGeometry,Link-delay-aware,0.82279534109817,0.0152951550007074,0.0211980033277871,0.1630615640599,0.011765503846698,0.01630615640599,2.94129783693844,0,0,0.625,0.0589255650988789,0.0816666666666666
10017,LongRange,LongMixed,Medium,Mixed,ForestGeometry,Confidence-driven,0.862728785357737,0.00588275192334898,0.008153078202995,0.123128119800333,0.00235310076933959,0.003261231281198,3.60490016638935,0.0167187809661576,0.0231710482529115,0.680555555555556,0.058925565098879,0.0816666666666667
10017,LongRange,LongMixed,Medium,Mixed,ForestGeometry,Oracle,0.888519134775374,0.00705930230801877,0.009783693843594,0.0973377703826955,0.0105889534620282,0.014675540765391,4.01688851913478,0.0199307635163066,0.0276226289517474,0.680555555555556,0.058925565098879,0.0816666666666667
