Candidate,MeanTimelyDelta_pp,MeanEmgDelta_pp,MeanCostDeltaPct,MaxCostDeltaPct,MinTimelyDelta_pp,MinEmgDelta_pp,Scene10017DefaultEmgDelta_pp,Scene10017ForestCostDeltaPct,Scene10019ForestTimelyDelta_pp,Scene10019ForestEmgDelta_pp,EmgGuard,CostGuard,BoundaryGuard,TimelyGuard,SelectionScore,Status
RiskEmgGuard,0.843039378813086,-0.492470492470491,11.2197063155412,46.4748712707441,-0.332778702163061,-0.555555555555556,-0.555555555555554,46.4748712707441,-0.332778702163061,-0.366300366300365,0,0,1,1,-0.680395593414384,NeedsCalibration
RiskBase,0.820854132002217,-0.468050468050467,11.1143805295115,46.4748712707441,-0.266222961730445,-0.555555555555556,-0.555555555555554,46.4748712707441,-0.266222961730445,-0.293040293040292,0,0,1,1,-0.687211054434351,NeedsCalibration
RiskBal075,0.732113144758732,-0.492470492470491,9.5177358577195,45.0268005459303,-0.332778702163061,-0.555555555555556,-0.555555555555554,45.0268005459303,-0.332778702163061,-0.366300366300365,0,0,1,1,-0.711301299237812,NeedsCalibration
RiskBal095,0.64337215751525,-0.480260480260479,8.73976008953799,44.4291402103616,-0.299500831946753,-0.555555555555556,-0.555555555555554,44.4291402103616,-0.299500831946753,-0.329670329670328,0,0,1,1,-0.758644800619468,NeedsCalibration
RiskCost075,0.665557404326119,-0.504680504680504,9.38299542854964,44.9493307083156,-0.36605657237937,-0.555555555555556,-0.555555555555554,44.9493307083156,-0.36605657237937,-0.402930402930401,0,0,1,1,-0.778370436148041,NeedsCalibration
RiskCost095,0.587909040488073,-0.504680504680504,8.63364067952786,44.4203510877797,-0.36605657237937,-0.555555555555556,-0.555555555555554,44.4203510877797,-0.36605657237937,-0.402930402930401,0,0,1,1,-0.822958565104716,NeedsCalibration
