Method,MeanTimelyDelta_pp,MeanEmgDelta_pp,MeanCostDeltaPct,MaxCostDeltaPct,MinTimelyDelta_pp,MinEmgDelta_pp,Scene10017DefaultEmgDelta_pp,Scene10017ForestCostDeltaPct,Scene10019ForestTimelyDelta_pp,Scene10019ForestEmgDelta_pp,EmgGuard,CostGuard,BoundaryGuard,TimelyGuard,SelectionScore,Status
Risk-constrained-v3,0.843039378813089,-0.468050468050467,11.0913235505404,46.4748712707441,-0.266222961730445,-0.555555555555556,-0.555555555555554,46.4748712707441,-0.266222961730445,-0.293040293040292,0,0,1,1,-0.664334098254347,NeedsCalibration
Risk-constrained-v4,0.798668885191345,-0.443630443630443,10.9489080855943,46.1195396006476,-0.199667221297839,-0.555555555555556,-0.555555555555554,46.1195396006476,-0.199667221297839,-0.219780219780219,0,0,1,1,-0.685115482315765,NeedsCalibration
Risk-constrained,0.820854132002217,-0.468050468050467,11.1143805295115,46.4748712707441,-0.266222961730445,-0.555555555555556,-0.555555555555554,46.4748712707441,-0.266222961730445,-0.293040293040292,0,0,1,1,-0.687211054434351,NeedsCalibration
Risk-constrained-v2,-0.876317249029401,-0.0244200244200243,9.40104824881418,43.0743597438099,-4.19301164725459,-0.073260073260073,0,43.0743597438099,-0.0665557404326167,-0.073260073260073,1,0,1,0,-1.43204590358004,Reject
