Scene,SceneRole,GeometryType,DensityClass,VegetationClass,Config,BaselineMethod,ProposedMethod,DeltaTimely_pp,DeltaEmergency_pp,DeltaLoss_pp,DeltaDelay_pct,DeltaCost_pct,DeltaCost_abs,TimelyGainPerCostPct,EmergencyGainPerCostPct,CostEfficiencyClass
10011,Boundary,Open,Low,Sparse,ForestGeometry,Link-delay-aware,Risk-constrained-v6,12.8885191347754,3.4,-13.2113144758735,-31.7652757550675,36.8378368071591,0.86793743760399,0.349871769133595,0.0922964075713381,CostlyButMeaningful
10011,Boundary,Open,Low,Sparse,ForestGeometry,Confidence-heuristic,Risk-constrained-v6,4.0998336106489,0.1,-4.3993344425956,-15.8078338798729,7.31158194011581,0.21966722129784,0.560731404534318,0.0136769307680652,CostlyButMeaningful
10019,DenseBlind,ShortRangeOccluded,High,Dense,Default,DCC-like,Risk-constrained-v6,-0.0133111480865034,0,0.0133111480865225,-67.1288847683918,-33.5302108987355,-1.53590682196341,NaN,NaN,DominantOrCostSaving
10019,DenseBlind,ShortRangeOccluded,High,Dense,Default,AoI-aware,Risk-constrained-v6,0.193011647254593,0.212454212454205,-0.193011647254575,-5.68617351201214,80.4385982211518,1.35733777038268,0.00239949043771177,0.00264119734993516,WeakGainWithCost
10019,DenseBlind,ShortRangeOccluded,High,Dense,Default,Link-delay-aware,Risk-constrained-v6,0,0,0,-0.0067699920869748,21.8065632696526,0.54509151414308,0,0,WeakGainWithCost
10019,DenseBlind,ShortRangeOccluded,High,Dense,Default,Confidence-heuristic,Risk-constrained-v6,0,0,0,0,2.15645641756237,0.0642728785357698,0,0,WeakGainWithCost
10019,DenseBlind,ShortRangeOccluded,High,Dense,ForestGeometry,DCC-like,Risk-constrained-v6,0.572379367720499,0.644688644688696,-6.1464226289518,-27.9363757981467,-12.0649274596568,-0.45592778702162,NaN,NaN,DominantOrCostSaving
10019,DenseBlind,ShortRangeOccluded,High,Dense,ForestGeometry,AoI-aware,Risk-constrained-v6,-0.831946755407598,-0.915750915750901,0.525790349417599,-0.190765949543,0.226706547158802,0.00751647254574994,-3.66970767202785,-4.0393668697598,CostInefficientBoundary
10019,DenseBlind,ShortRangeOccluded,High,Dense,ForestGeometry,Link-delay-aware,Risk-constrained-v6,-0.715474209650602,-0.787545787545707,-2.7287853577371,2.59333262447909,16.9256808974026,0.48102728785357,-0.042271517109861,-0.0465296369652439,CostInefficientBoundary
10019,DenseBlind,ShortRangeOccluded,High,Dense,ForestGeometry,Confidence-heuristic,Risk-constrained-v6,-0.672212978369402,-0.7399267399267,-0.625623960066601,1.24923517772273,-0.526808048675716,-0.0175986688852001,NaN,NaN,CostInefficientBoundary
10017,LongRange,LongMixed,Medium,Mixed,Default,DCC-like,Risk-constrained-v6,8.47587354409319,-1.22222222222219,-8.4692179700499,-57.4746794290547,-39.3024343193432,-1.85804808652247,NaN,NaN,DominantOrCostSaving
10017,LongRange,LongMixed,Medium,Mixed,Default,AoI-aware,Risk-constrained-v6,3.0415973377704,3.88888888888891,-3.04159733777038,-7.40168493156241,-13.801534256873,-0.45944825291181,NaN,NaN,DominantOrCostSaving
10017,LongRange,LongMixed,Medium,Mixed,Default,Link-delay-aware,Risk-constrained-v6,11.0848585690516,4.94444444444441,-11.0981697171381,-44.0456309063568,40.1677871986267,0.82231547420965,0.275963884050615,0.123094767954095,CostlyButMeaningful
10017,LongRange,LongMixed,Medium,Mixed,Default,Confidence-heuristic,Risk-constrained-v6,0.173044925124799,0,-0.17304492512479,3.94305678115032,-3.77205077878248,-0.11248252911813,NaN,NaN,DominantOrCostSaving
