Method,MeanTimelyDelta_pp,MeanEmgDelta_pp,MeanCostDeltaPct,MaxCostDeltaPct,MinTimelyDelta_pp,MinEmgDelta_pp,Scene10017DefaultEmgDelta_pp,Scene10017ForestCostDeltaPct,Scene10019ForestTimelyDelta_pp,Scene10019ForestEmgDelta_pp,EmgGuard,CostGuard,BoundaryGuard,TimelyGuard,SelectionScore,Status
Risk-constrained,0.820854132002217,-0.468050468050467,11.1143805295115,46.4748712707441,-0.266222961730445,-0.555555555555556,-0.555555555555554,46.4748712707441,-0.266222961730445,-0.293040293040292,0,0,1,1,-0.687211054434351,NeedsCalibration
Risk-constrained-v2,-0.876317249029401,-0.0244200244200243,9.40104824881418,43.0743597438099,-4.19301164725459,-0.073260073260073,0,43.0743597438099,-0.0665557404326167,-0.073260073260073,1,0,1,0,-1.43204590358004,Reject
