Config,Profile,Vegetation,Stage,Metric,Baseline_Mean,Baseline_Std,Proposed_Mean,Proposed_Std,Delta_Mean,CI_Lower,CI_Upper,P_Value,Significant
FG_blind_medium,blind,medium,PosDeg_Emerg,TimelyRate,0.920909090909091,0.0226969494679684,0.975454545454546,0.0171687460293519,0.0545454545454548,0.0462874696191499,0.0628034394717597,8.88178419700125e-16,***
FG_blind_medium,blind,medium,PosDeg_Emerg,LossRate,0.0790909090909091,0.0226969494679685,0.0236363636363636,0.0161489849629991,-0.0554545454545455,-0.0632800483079528,-0.0476290426011382,0,***
FG_blind_medium,blind,medium,PosDeg_Emerg,AvgDelay,0.024698953277899,0.00111718345232262,0.0280135331599538,0.00101444951750195,0.00331457988205481,0.00302735476217634,0.00360180500193328,0,***
FG_blind_medium,blind,medium,PosDeg_Emerg,AvgTxCost,3.00009090909091,4.6811112914356e-16,3.94103636363637,0.0474918039422565,0.940945454545455,0.922642479408005,0.959248429682906,0,***
FG_blind_medium,blind,medium,PosDeg_Emerg,EmgTimely,0.966101694915254,0.0195711955657501,0.989830508474576,0.00875250473719194,0.0237288135593222,0.0174182317652563,0.0300393953533881,4.59749776160479e-06,***
FG_blind_sparse,blind,sparse,PosDeg_Emerg,TimelyRate,0.993636363636364,0.00613589597918679,0.996363636363636,0.00469452526813018,0.0027272727272727,0.00103488942795506,0.00441965602659034,0.04953447520608,*
FG_blind_sparse,blind,sparse,PosDeg_Emerg,LossRate,0.00636363636363634,0.00613589597918684,0.00363636363636362,0.00469452526813018,-0.00272727272727272,-0.00441965602659038,-0.00103488942795507,0.0495344752060798,*
FG_blind_sparse,blind,sparse,PosDeg_Emerg,AvgDelay,0.0141210445288858,0.000470472737132174,0.0144042125294645,0.000483893695961948,0.00028316800057876,0.000208263345510847,0.000358072655646673,4.08526216255645e-06,***
FG_blind_sparse,blind,sparse,PosDeg_Emerg,AvgTxCost,2.40718181818182,4.6811112914356e-16,2.86944545454545,0.0622349063058802,0.462263636363635,0.438278783225964,0.486248489501306,0,***
FG_blind_sparse,blind,sparse,PosDeg_Emerg,EmgTimely,0.994915254237288,0.00818721850067203,0.998305084745763,0.00535979264435321,0.00338983050847459,0.000635666817949153,0.00614399419900003,0.133614461953005,n.s.
FG_curved_dense,curved,dense,PosDeg_Emerg,TimelyRate,0.943636363636364,0.0103208402217738,0.985454545454546,0.010670798097975,0.0418181818181821,0.0365434040467896,0.0470929595895746,0,***
