WTimely,WReliability,WCost,WPosRisk,WEvent,Objective,EmergencyTimelyMean,PosDegEmergencyTimelyMean,TimelyMean,AvgTxCostMean,PosDegAvgTxCostMean,LossRateMean
0.9,0.55,0.1,0.18,0.12,1.04732790363046,0.794642857142857,0.721590909090909,0.93698347107438,4.99769886363636,14.9089488636364,0
0.9,0.55,0.1,0.18,0.22,1.04732790363046,0.794642857142857,0.721590909090909,0.93698347107438,4.99769886363636,14.9089488636364,0
0.9,0.55,0.1,0.18,0.32,1.04732790363046,0.794642857142857,0.721590909090909,0.93698347107438,4.99769886363636,14.9089488636364,0
0.9,0.55,0.1,0.28,0.12,1.04732790363046,0.794642857142857,0.721590909090909,0.93698347107438,4.99769886363636,14.9089488636364,0
0.9,0.55,0.1,0.28,0.22,1.04732790363046,0.794642857142857,0.721590909090909,0.93698347107438,4.99769886363636,14.9089488636364,0
0.9,0.55,0.1,0.28,0.32,1.04732790363046,0.794642857142857,0.721590909090909,0.93698347107438,4.99769886363636,14.9089488636364,0
0.9,0.55,0.1,0.38,0.12,1.04732790363046,0.794642857142857,0.721590909090909,0.93698347107438,4.99769886363636,14.9089488636364,0
0.9,0.55,0.1,0.38,0.22,1.04732790363046,0.794642857142857,0.721590909090909,0.93698347107438,4.99769886363636,14.9089488636364,0
0.9,0.55,0.1,0.38,0.32,1.04732790363046,0.794642857142857,0.721590909090909,0.93698347107438,4.99769886363636,14.9089488636364,0
1.1,0.55,0.1,0.18,0.12,1.04587248007674,0.794642857142857,0.721590909090909,0.9375,5.01018595041322,14.9556676136364,0
1.1,0.55,0.1,0.18,0.22,1.04587248007674,0.794642857142857,0.721590909090909,0.9375,5.01018595041322,14.9556676136364,0
1.1,0.55,0.1,0.18,0.32,1.04587248007674,0.794642857142857,0.721590909090909,0.9375,5.01018595041322,14.9556676136364,0
1.1,0.55,0.1,0.28,0.12,1.04587248007674,0.794642857142857,0.721590909090909,0.9375,5.01018595041322,14.9556676136364,0
1.1,0.55,0.1,0.28,0.22,1.04587248007674,0.794642857142857,0.721590909090909,0.9375,5.01018595041322,14.9556676136364,0
1.1,0.55,0.1,0.28,0.32,1.04587248007674,0.794642857142857,0.721590909090909,0.9375,5.01018595041322,14.9556676136364,0
1.1,0.55,0.1,0.38,0.12,1.04587248007674,0.794642857142857,0.721590909090909,0.9375,5.01018595041322,14.9556676136364,0
1.1,0.55,0.1,0.38,0.22,1.04587248007674,0.794642857142857,0.721590909090909,0.9375,5.01018595041322,14.9556676136364,0
1.1,0.55,0.1,0.38,0.32,1.04587248007674,0.794642857142857,0.721590909090909,0.9375,5.01018595041322,14.9556676136364,0
1.3,0.55,0.07,0.18,0.12,1.03983603527155,0.796428571428571,0.724431818181818,0.93853305785124,5.08372159090909,15.2940056818182,0
1.3,0.55,0.07,0.18,0.22,1.03983603527155,0.796428571428571,0.724431818181818,0.93853305785124,5.08372159090909,15.2940056818182,0
1.3,0.55,0.07,0.18,0.32,1.03983603527155,0.796428571428571,0.724431818181818,0.93853305785124,5.08372159090909,15.2940056818182,0
1.3,0.55,0.07,0.28,0.12,1.03983603527155,0.796428571428571,0.724431818181818,0.93853305785124,5.08372159090909,15.2940056818182,0
1.3,0.55,0.07,0.28,0.22,1.03983603527155,0.796428571428571,0.724431818181818,0.93853305785124,5.08372159090909,15.2940056818182,0
1.3,0.55,0.07,0.28,0.32,1.03983603527155,0.796428571428571,0.724431818181818,0.93853305785124,5.08372159090909,15.2940056818182,0
1.3,0.55,0.07,0.38,0.12,1.03983603527155,0.796428571428571,0.724431818181818,0.93853305785124,5.08372159090909,15.2940056818182,0
1.3,0.55,0.07,0.38,0.22,1.03983603527155,0.796428571428571,0.724431818181818,0.93853305785124,5.08372159090909,15.2940056818182,0
1.3,0.55,0.07,0.38,0.32,1.03983603527155,0.796428571428571,0.724431818181818,0.93853305785124,5.08372159090909,15.2940056818182,0
0.9,0.55,0.07,0.18,0.12,1.03893474763872,0.794642857142857,0.721590909090909,0.93801652892562,5.05675103305785,15.1913068181818,0
0.9,0.55,0.07,0.18,0.22,1.03893474763872,0.794642857142857,0.721590909090909,0.93801652892562,5.05675103305785,15.1913068181818,0
0.9,0.55,0.07,0.18,0.32,1.03893474763872,0.794642857142857,0.721590909090909,0.93801652892562,5.05675103305785,15.1913068181818,0
0.9,0.55,0.07,0.28,0.12,1.03893474763872,0.794642857142857,0.721590909090909,0.93801652892562,5.05675103305785,15.1913068181818,0
0.9,0.55,0.07,0.28,0.22,1.03893474763872,0.794642857142857,0.721590909090909,0.93801652892562,5.05675103305785,15.1913068181818,0
