Scene,Config,Metric,Baseline_Mean,Baseline_Std,Proposed_Mean,Proposed_Std,Delta_Mean,DeltaPct,CI_Lower,CI_Upper,P_Value,P_Value_Display,P_Value_Holm,P_Value_Holm_Display,Significant,Significant_Holm,EffectSize_RBC,EffectSize_CohenDz,PracticalNote,P_Value_Holm_Family,P_Value_Holm_Family_Display,Significant_Holm_Family
10006,ForestGeometry,AvgTxCost,2.26455906821964,4.48597845338221e-16,2.68555108153078,0.037909553466644,0.420992013311141,18.5904628949299,0.414874765527456,0.427109261094826,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,11.1051694048985,SeeDelta,1.1125369292536e-306,p < 1e-15,***
10006,ForestGeometry,EmgTimely,0.800657894736842,0.00483817205873451,0.800986842105263,0.00461627883091837,0.000328947368421069,0.0328947368421151,-0.000116447621231675,0.000774342358073812,0.399395606090906,p = 0.3994,0.399395606090906,p = 0.3994,n.s.,n.s.,0.226666666666667,0.11917591430623,Below1pp,1,p = 1,n.s.
10011,Default,TimelyRate,0.997271214642263,0.00186438521997885,0.997371048252912,0.00187435930627205,9.98336106489184e-05,0.00998336106488029,3.54226990842721e-05,0.000164244522213565,0.0769740809715007,p = 0.07697,0.307896323886003,p = 0.3079,n.s.,n.s.,1,0.250106360353674,Below1pp,0.923688971658009,p = 0.9237,n.s.
10011,Default,LossRate,0.0027287853577371,0.00186438521997885,0.00262895174708818,0.00187435930627205,-9.98336106489184e-05,-0.00998336106489187,-0.000164244522213565,-3.54226990842721e-05,0.0769740809715007,p = 0.07697,0.307896323886003,p = 0.3079,n.s.,n.s.,-1,-0.250106360353674,Below1pp,0.923688971658009,p = 0.9237,n.s.
10011,Default,AvgDelay,0.0126206571274601,0.000386880293712166,0.0126060125788376,0.000391848394077316,-1.46445486225208e-05,-0.116036340062342,-2.46169391650656e-05,-4.67215807997601e-06,0.0938174565644685,p = 0.09382,0.307896323886003,p = 0.3079,n.s.,n.s.,-0.619047619047619,-0.236964951173035,Sub-ms,0.938174565644685,p = 0.9382,n.s.
10011,Default,AvgTxCost,1.71880199667221,4.48597845338221e-16,1.95318136439268,0.0355054136002654,0.234379367720465,13.6362052274927,0.228650062234286,0.240108673206644,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,6.60122905084854,SeeDelta,1.1125369292536e-306,p < 1e-15,***
10011,Default,EmgTimely,1,0,1,0,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10011,ForestGeometry,TimelyRate,0.590316139767055,0.0137261284430038,0.679001663893511,0.010576086295384,0.0886855241264558,8.86855241264559,0.087115028720961,0.0902560195319507,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,9.11220475922884,Meaningful,1.1125369292536e-306,p < 1e-15,***
10011,ForestGeometry,LossRate,0.40522462562396,0.0142072081715434,0.316539101497504,0.0106967752112149,-0.0886855241264559,-8.86855241264558,-0.0902560195319507,-0.087115028720961,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-9.11220475922885,Meaningful,1.1125369292536e-306,p < 1e-15,***
10011,ForestGeometry,AvgDelay,0.155707425932175,0.00399629932432301,0.138147613490291,0.00349065243521222,-0.0175598124418842,-11.2774405823991,-0.0179264000592317,-0.0171932248245367,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-7.72946588987763,Meaningful,1.1125369292536e-306,p < 1e-15,***
