Seed,Baseline,Metric,BaselineValue,V6Value,Delta
1,Confidence-heuristic,TimelyRate,0.613976705490849,0.608985024958403,-0.00499168053244603
1,Confidence-heuristic,EmergencyTimelyRate,0.575091575091575,0.56959706959707,-0.00549450549450503
1,Confidence-heuristic,LossRate,0.339434276206323,0.3261231281198,-0.013311148086523
1,Confidence-heuristic,AvgDelay_s,0.0406236622158277,0.0409585121750675,0.000334849959239797
1,Confidence-heuristic,AvgTxCost,3.36757071547421,3.32149750415973,-0.0460732113144799
1,Link-delay-aware,TimelyRate,0.612312811980033,0.608985024958403,-0.00332778702162995
1,Link-delay-aware,EmergencyTimelyRate,0.573260073260073,0.56959706959707,-0.00366300366300298
1,Link-delay-aware,LossRate,0.354409317803661,0.3261231281198,-0.028286189683861
1,Link-delay-aware,AvgDelay_s,0.0401389280179429,0.0409585121750675,0.000819584157124596
1,Link-delay-aware,AvgTxCost,2.84199667221298,3.32149750415973,0.47950083194675
2,Confidence-heuristic,TimelyRate,0.615640599001664,0.618968386023295,0.00332778702163095
2,Confidence-heuristic,EmergencyTimelyRate,0.576923076923077,0.580586080586081,0.00366300366300398
2,Confidence-heuristic,LossRate,0.301164725457571,0.299500831946755,-0.00166389351081603
2,Confidence-heuristic,AvgDelay_s,0.0408917677344612,0.0410696091540734,0.000177841419612197
2,Confidence-heuristic,AvgTxCost,3.48327787021631,3.32149750415973,-0.16178036605658
2,Link-delay-aware,TimelyRate,0.622296173044925,0.618968386023295,-0.00332778702163006
2,Link-delay-aware,EmergencyTimelyRate,0.584249084249084,0.580586080586081,-0.00366300366300298
2,Link-delay-aware,LossRate,0.332778702163062,0.299500831946755,-0.033277870216307
2,Link-delay-aware,AvgDelay_s,0.0400182874814482,0.0410696091540734,0.0010513216726252
2,Link-delay-aware,AvgTxCost,2.84199667221298,3.32149750415973,0.47950083194675
3,Confidence-heuristic,TimelyRate,0.62063227953411,0.613976705490849,-0.006655574043261
3,Confidence-heuristic,EmergencyTimelyRate,0.582417582417582,0.575091575091575,-0.00732600732600697
3,Confidence-heuristic,LossRate,0.3261231281198,0.317803660565724,-0.00831946755407598
3,Confidence-heuristic,AvgDelay_s,0.0403384609862451,0.0410182378136686,0.000679776827423498
3,Confidence-heuristic,AvgTxCost,3.30951747088186,3.32149750415973,0.0119800332778697
3,Link-delay-aware,TimelyRate,0.62063227953411,0.613976705490849,-0.006655574043261
3,Link-delay-aware,EmergencyTimelyRate,0.582417582417582,0.575091575091575,-0.00732600732600697
3,Link-delay-aware,LossRate,0.347753743760399,0.317803660565724,-0.029950083194675
3,Link-delay-aware,AvgDelay_s,0.0398904104133168,0.0410182378136686,0.0011278274003518
3,Link-delay-aware,AvgTxCost,2.84199667221298,3.32149750415973,0.47950083194675
4,Confidence-heuristic,TimelyRate,0.632279534109817,0.633943427620632,0.00166389351081508
4,Confidence-heuristic,EmergencyTimelyRate,0.595238095238095,0.597069597069597,0.00183150183150194
4,Confidence-heuristic,LossRate,0.316139767054909,0.304492512479201,-0.011647254575708
4,Confidence-heuristic,AvgDelay_s,0.0399686645085186,0.0403905155526826,0.000421851044164
4,Confidence-heuristic,AvgTxCost,3.3989683860233,3.32149750415973,-0.0774708818635701
4,Link-delay-aware,TimelyRate,0.637271214642263,0.633943427620632,-0.00332778702163095
4,Link-delay-aware,EmergencyTimelyRate,0.600732600732601,0.597069597069597,-0.00366300366300409
4,Link-delay-aware,LossRate,0.332778702163062,0.304492512479201,-0.028286189683861
4,Link-delay-aware,AvgDelay_s,0.0394940009397225,0.0403905155526826,0.0008965146129601
4,Link-delay-aware,AvgTxCost,2.84199667221298,3.32149750415973,0.47950083194675
5,Confidence-heuristic,TimelyRate,0.622296173044925,0.600665557404326,-0.021630615640599
5,Confidence-heuristic,EmergencyTimelyRate,0.584249084249084,0.56043956043956,-0.0238095238095239
