Scene,SceneRole,GeometryType,Config,BaselineMethod,ProposedMethod,TimelyDelta_pp,TimelyHolmP,TimelyEffectRBC,EmgDelta_pp,CostDelta_pct,PracticalClass
10011,Boundary,Open,Default,Link-delay-aware,Risk-constrained-v6,0.232945091514158,p = 1.776e-14,1,0,9.85759922555682,WeakNonnegative
10011,Boundary,Open,ForestGeometry,Link-delay-aware,Risk-constrained-v6,12.8885191347754,p < 2.3e-308,1,3.4,36.837836807159,CostlyGain
10019,DenseBlind,ShortRangeOccluded,Default,Link-delay-aware,Risk-constrained-v6,0,p = 1,0,0,21.8065632696525,WeakNonnegative
10019,DenseBlind,ShortRangeOccluded,ForestGeometry,Link-delay-aware,Risk-constrained-v6,-0.715474209650591,p < 2.3e-308,-0.957482993197279,-0.787545787545785,16.9256808974027,Boundary
10017,LongRange,LongMixed,Default,Link-delay-aware,Risk-constrained-v6,11.0848585690516,p < 2.3e-308,1,4.94444444444444,40.1677871986264,CostlyGain
10017,LongRange,LongMixed,ForestGeometry,Link-delay-aware,Risk-constrained-v6,0.905158069883527,p < 2.3e-308,1,0,37.8392914407877,WeakNonnegative
10013,HeldOutHighNLOS,ShortHighNLOS,Default,Link-delay-aware,Risk-constrained-v6,0.0232945091514059,p = 0.01421,1,0.025688073394492,21.7745963043114,WeakNonnegative
10013,HeldOutHighNLOS,ShortHighNLOS,ForestGeometry,Link-delay-aware,Risk-constrained-v6,-0.589018302828614,p < 2.3e-308,-0.960884353741497,-0.693577981651383,17.1677333736498,Boundary
10007,HeldOutLongMixed,LongMixed,Default,Link-delay-aware,Risk-constrained-v6,3.95673876871879,p < 2.3e-308,1,0,25.3328419268046,CostlyGain
10007,HeldOutLongMixed,LongMixed,ForestGeometry,Link-delay-aware,Risk-constrained-v6,1.3810316139767,p < 2.3e-308,1,0,22.7450718646889,CostlyGain
10015,HeldOutBoundary,LongLowNLOS,Default,Link-delay-aware,Risk-constrained-v6,2.10316139767056,p < 2.3e-308,1,0,21.1255478835181,CostlyGain
10015,HeldOutBoundary,LongLowNLOS,ForestGeometry,Link-delay-aware,Risk-constrained-v6,6.60232945091515,p < 2.3e-308,1,0.15384615384616,38.3133592736706,CostlyGain
10014,Primary,CurvedBlind,Default,Confidence-heuristic,Risk-constrained-v6,0.342762063227942,p = 1.202e-07,0.748792270531401,0,-4.39938762531785,WeakNonnegative
10014,Primary,CurvedBlind,ForestGeometry,Confidence-heuristic,Risk-constrained-v6,1.0316139767055,p < 2.3e-308,1,0.333333333333332,9.39662594257281,MeaningfulGain
10006,Reference,Mixed,Default,Confidence-heuristic,Risk-constrained-v6,0.176372712146422,p = 0.00484,0.559663865546218,0,4.53034868052494,WeakNonnegative
10006,Reference,Mixed,ForestGeometry,Confidence-heuristic,Risk-constrained-v6,0.522462562396009,p < 2.3e-308,1,-0.00657894736842968,10.8645532884469,WeakNonnegative
10011,Boundary,Open,Default,Confidence-heuristic,Risk-constrained-v6,0.123128119800342,p = 2.476e-04,0.675579322638146,0,-3.62852923467816,WeakNonnegative
10011,Boundary,Open,ForestGeometry,Confidence-heuristic,Risk-constrained-v6,4.09983361064892,p < 2.3e-308,1,0.0999999999999945,7.31158194011568,MeaningfulGain
10019,DenseBlind,ShortRangeOccluded,Default,Confidence-heuristic,Risk-constrained-v6,0,p = 1,0,0,2.15645641756227,WeakNonnegative
10019,DenseBlind,ShortRangeOccluded,ForestGeometry,Confidence-heuristic,Risk-constrained-v6,-0.672212978369391,p = 4.441e-14,-0.88,-0.739926739926722,-0.52680804867557,Boundary
10017,LongRange,LongMixed,Default,Confidence-heuristic,Risk-constrained-v6,0.173044925124799,p = 0.05784,0.369337979094077,0,-3.77205077878266,WeakNonnegative
10017,LongRange,LongMixed,ForestGeometry,Confidence-heuristic,Risk-constrained-v6,0.6189683860233,p < 2.3e-308,1,0,12.1231386110573,WeakNonnegative
10013,HeldOutHighNLOS,ShortHighNLOS,Default,Confidence-heuristic,Risk-constrained-v6,0,p = 1,0,0,2.53657114341941,WeakNonnegative
10013,HeldOutHighNLOS,ShortHighNLOS,ForestGeometry,Confidence-heuristic,Risk-constrained-v6,-0.459234608985026,p = 3.115e-08,-0.76,-0.535779816513771,6.2515709512415,Boundary
10007,HeldOutLongMixed,LongMixed,Default,Confidence-heuristic,Risk-constrained-v6,0.0632279534110047,p = 0.2727,0.300813008130081,0,2.89913835569838,WeakNonnegative
10007,HeldOutLongMixed,LongMixed,ForestGeometry,Confidence-heuristic,Risk-constrained-v6,0.11980033277873,p = 9.603e-04,0.578947368421053,0,9.01612608783216,WeakNonnegative
10015,HeldOutBoundary,LongLowNLOS,Default,Confidence-heuristic,Risk-constrained-v6,0.0166389351081375,p = 1,0.207792207792208,0,-1.07569696694796,WeakNonnegative
10015,HeldOutBoundary,LongLowNLOS,ForestGeometry,Confidence-heuristic,Risk-constrained-v6,2.78868552412647,p < 2.3e-308,1,0,12.9758998633225,MeaningfulGain
10014,Primary,CurvedBlind,Default,Risk-constrained-v6,Constrained Oracle,0.425956738768718,p < 2.3e-308,0.972946859903382,-1.66666666666667,5.10491278615215,Risk
10014,Primary,CurvedBlind,ForestGeometry,Risk-constrained-v6,Constrained Oracle,0.286189683860238,p = 2.067e-10,0.852913968547641,-0.333333333333332,5.73769835032029,Boundary
10006,Reference,Mixed,Default,Risk-constrained-v6,Constrained Oracle,0.525790349417632,p < 2.3e-308,1,0.111842105263149,-4.0983563472744,WeakNonnegative
