Scene,SceneRole,GeometryType,DensityClass,VegetationClass,Config,Full_BaseTimely,Full_ConfTimely,Full_DeltaTimely,Full_DeltaPctPt,Full_P_HolmFamily,PosDeg_BaseTimely,PosDeg_ConfTimely,PosDeg_DeltaTimely,PosDeg_DeltaPctPt,PosDeg_P_HolmFamily,Full_DeltaDelay_s,Full_DeltaTxCost,Full_DeltaTxCostPct,PosDeg_QPosMean,PosDeg_QLinkMean,PosDeg_BlindScoreMean,PosDeg_NlosRatio,PosDeg_LowQPosRatio,PosDeg_BlindTriggerRatio,PosDeg_JointActivationRatio,PeakGainStage,PeakGainPctPt,ApplicabilityClass,Interpretation
10014,Primary,CurvedBlind,Medium,Dense,Default,0.968552412645591,0.972462562396007,0.00391014975041601,0.391014975041581,1.1125369292536e-307,0.989090909090909,0.997272727272727,0.0081818181818181,0.818181818181829,6.28980953987224e-08,-0.000468885990897175,0.0469758735440935,2.88292658021036,0.473591392834609,0.892068940407812,0.8416368743455,1,0.566666666666667,0.983333333333333,0.566666666666667,Normal,1,Mixed,The method reacts weakly and mainly adds transmission cost; engineering benefit should be qualified carefully.
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,0.965640599001664,0.974875207986689,0.00923460898502486,0.923460898502515,5.19584375524573e-14,0.960909090909091,0.990909090909091,0.03,2.99999999999998,4.78017625482607e-12,-0.000936980771258359,0.132153078203001,6.10456089650009,0.449066815330702,0,0.977302174257663,1,0.916666666666667,1,0.916666666666667,PosDeg_Emerg,2.99999999999998,Active,Critical trigger overlap is present; the confidence-driven logic is activated and produces measurable gain.
10006,Reference,Mixed,Medium,Mixed,Default,0.945840266222962,0.982778702163062,0.0369384359400997,3.69384359400998,1.1125369292536e-307,1,1,0,0,1,-0.0132578257556303,0.358298668885177,16.6902418229725,0.462247725085515,0.905174660591228,0.619568139831867,0.109090909090909,0.655,0.818181818181818,0.655,Normal,17.68,Active,Critical trigger overlap is present; the confidence-driven logic is activated and produces measurable gain.
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,0.868635607321132,0.880615640599002,0.0119800332778701,1.198003327787,1.1125369292536e-307,0.995909090909091,1,0.00409090909090906,0.409090909090915,0.00350620573250726,-0.00176062448569377,0.318798668885187,13.2697542022479,0.451886806592856,0.803374520048625,0.635403620855235,0.109090909090909,0.835454545454546,1,0.835454545454546,LinkDeg_Emerg,8.69230769230766,Active,Critical trigger overlap is present; the confidence-driven logic is activated and produces measurable gain.
10011,Boundary,Open,Low,Sparse,Default,0.997504159733777,0.997504159733777,0,0,1,1,1,0,0,1,0,0.0207820299500896,1.2090997095841,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Normal,0,Mixed,The method reacts weakly and mainly adds transmission cost; engineering benefit should be qualified carefully.
10011,Boundary,Open,Low,Sparse,ForestGeometry,0.97828618968386,0.99567387687188,0.0173876871880199,1.73876871880196,1.1125369292536e-307,1,1,0,0,1,-0.00276833783139053,0.119417637271218,6.94772507260425,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Recovery,6.92052980132454,Mixed,The method reacts weakly and mainly adds transmission cost; engineering benefit should be qualified carefully.
