Scene,SceneRole,GeometryType,DensityClass,VegetationClass,Config,Method,Stage,TimelyRateMean,TimelyRateStd,TimelyRateCI95,LossRateMean,LossRateStd,LossRateCI95,AvgTxCostMean,AvgTxCostStd,AvgTxCostCI95,EmergencyTimelyRateMean,EmergencyTimelyRateStd,EmergencyTimelyRateCI95
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Link-delay-aware,Full,0.965890183028286,0.00800861291081178,0.00496378970857204,0.0337770382695507,0.00800092710010573,0.00495902599374283,2.16482529118136,4.6811112914356e-16,2.90138283768708e-16,0.783333333333333,0.176558317578563,0.109431978985539
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Confidence-driven,Normal,0.8936,0.0367671350831449,0.0227885064207571,0.1064,0.0367671350831449,0.0227885064207571,3.536,4.6811112914356e-16,2.90138283768708e-16,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Confidence-driven,Coop_1,0.998,0.00322030594359767,0.00199596630269189,0.00200000000000001,0.00322030594359767,0.00199596630269189,2,0,0,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Confidence-driven,LinkDeg_Emerg,1,0,0,0,0,0,2,0,0,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Confidence-driven,PosDeg_Emerg,0.988181818181818,0.00862439361864103,0.00534545454545454,0.00545454545454545,0.00766612766101425,0.00475151515151515,2.71936363636364,0.0884719376218045,0.0548354750510756,0.866666666666667,0.105409255338946,0.0653333333333333
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Confidence-driven,Recovery,0.997350993377484,0.00463050264092782,0.00287001527112432,0.00264900662251656,0.00463050264092782,0.00287001527112432,1.38275496688742,0.012066120968914,0.00747865925783764,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Confidence-driven,Full,0.974542429284526,0.00706148076889705,0.00437675112510559,0.0242928452579035,0.00702435505224073,0.00435374036752318,2.29604991680533,0.016733072948314,0.0103712660630026,0.866666666666667,0.105409255338946,0.0653333333333333
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Oracle,Normal,0.8936,0.0367671350831449,0.0227885064207571,0.1064,0.0367671350831449,0.0227885064207571,3.57632,4.6811112914356e-16,2.90138283768708e-16,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Oracle,Coop_1,0.998,0.00322030594359767,0.00199596630269189,0.00200000000000001,0.00322030594359767,0.00199596630269189,2,0,0,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Oracle,LinkDeg_Emerg,1,0,0,0,0,0,2,0,0,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Oracle,PosDeg_Emerg,0.988181818181818,0.00862439361864103,0.00534545454545454,0.00636363636363635,0.00748429638498695,0.00463881495902334,2.62362727272727,0.0107757379759166,0.00667887159272154,0.866666666666667,0.105409255338946,0.0653333333333333
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Oracle,Recovery,0.997350993377484,0.00463050264092782,0.00287001527112432,0.00264900662251656,0.00463050264092782,0.00287001527112432,1.38331125827815,2.3405556457178e-16,1.45069141884354e-16,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Oracle,Full,0.974542429284526,0.00706148076889705,0.00437675112510559,0.024459234608985,0.00706148076889705,0.00437675112510559,2.28705324459235,0.00197226485416124,0.00122242242129687,0.866666666666667,0.105409255338946,0.0653333333333333
10006,Reference,Mixed,Medium,Mixed,Default,Link-delay-aware,Normal,0.7432,0.0383573837596999,0.0237741527620977,0.2568,0.0383573837596999,0.0237741527620977,1.5236,2.3405556457178e-16,1.45069141884354e-16,0.957894736842105,0.0483650833406675,0.0299769892257534
10006,Reference,Mixed,Medium,Mixed,Default,Link-delay-aware,Coop_1,0.998,0.00322030594359767,0.00199596630269189,0.00200000000000001,0.00322030594359767,0.00199596630269189,1.962,0,0,1,0,0
10006,Reference,Mixed,Medium,Mixed,Default,Link-delay-aware,LinkDeg_Emerg,0.995384615384615,0.0074314752544561,0.00460607608313508,0.0046153846153846,0.0074314752544561,0.00460607608313508,2.15230769230769,4.6811112914356e-16,2.90138283768708e-16,1,0,0
10006,Reference,Mixed,Medium,Mixed,Default,Link-delay-aware,PosDeg_Emerg,1,0,0,0,0,0,2.55,4.6811112914356e-16,2.90138283768708e-16,1,0,0
10006,Reference,Mixed,Medium,Mixed,Default,Link-delay-aware,Recovery,1,0,0,0,0,0,2.55,4.6811112914356e-16,2.90138283768708e-16,1,0,0
10006,Reference,Mixed,Medium,Mixed,Default,Link-delay-aware,Full,0.945590682196339,0.0071480748170155,0.00443042267218382,0.0544093178036605,0.0071480748170155,0.00443042267218382,2.14675540765392,4.6811112914356e-16,2.90138283768708e-16,0.997368421052631,0.0030228177087917,0.00187356182660958
10006,Reference,Mixed,Medium,Mixed,Default,Confidence-driven,Normal,0.9216,0.0225644755213933,0.0139856068235248,0.0784,0.0225644755213933,0.0139856068235248,2.08604,0.00135252849631087,0.000838305847130496,0.994736842105263,0.0166435666324652,0.0103157894736842
10006,Reference,Mixed,Medium,Mixed,Default,Confidence-driven,Coop_1,0.998,0.00322030594359767,0.00199596630269189,0.00200000000000001,0.00322030594359767,0.00199596630269189,1.986,4.6811112914356e-16,2.90138283768708e-16,1,0,0
10006,Reference,Mixed,Medium,Mixed,Default,Confidence-driven,LinkDeg_Emerg,0.995384615384615,0.0074314752544561,0.00460607608313508,0.0046153846153846,0.0074314752544561,0.00460607608313508,2.39230769230769,0.0648347923252477,0.0401850206128703,1,0,0
10006,Reference,Mixed,Medium,Mixed,Default,Confidence-driven,PosDeg_Emerg,1,0,0,0,0,0,2.87127272727273,0.0863377951770433,0.0535127198596452,1,0,0
10006,Reference,Mixed,Medium,Mixed,Default,Confidence-driven,Recovery,1,0,0,0,0,0,3.14284768211921,0.0132185165031784,0.00819292140995934,1,0,0
10006,Reference,Mixed,Medium,Mixed,Default,Confidence-driven,Full,0.982695507487521,0.00484786985766215,0.00300474086785658,0.0173044925124792,0.00484786985766215,0.00300474086785658,2.50343594009983,0.0173293197788544,0.0107408236773067,0.999671052631579,0.00104022291452907,0.00064473684210526
10006,Reference,Mixed,Medium,Mixed,Default,Oracle,Normal,0.9456,0.0225644755213932,0.0139856068235247,0.0544,0.0225644755213932,0.0139856068235247,2.22792,0,0,0.957894736842105,0.0483650833406675,0.0299769892257534
10006,Reference,Mixed,Medium,Mixed,Default,Oracle,Coop_1,0.998,0.00322030594359767,0.00199596630269189,0.00200000000000001,0.00322030594359767,0.00199596630269189,1.962,0,0,1,0,0
10006,Reference,Mixed,Medium,Mixed,Default,Oracle,LinkDeg_Emerg,0.995384615384615,0.0074314752544561,0.00460607608313508,0.0046153846153846,0.0074314752544561,0.00460607608313508,2.15230769230769,4.6811112914356e-16,2.90138283768708e-16,1,0,0
10006,Reference,Mixed,Medium,Mixed,Default,Oracle,PosDeg_Emerg,1,0,0,0,0,0,2.55,4.6811112914356e-16,2.90138283768708e-16,1,0,0
10006,Reference,Mixed,Medium,Mixed,Default,Oracle,Recovery,1,0,0,0,0,0,2.55,4.6811112914356e-16,2.90138283768708e-16,1,0,0
10006,Reference,Mixed,Medium,Mixed,Default,Oracle,Full,0.987687188019967,0.00471925621435,0.00292502530585296,0.0123128119800333,0.00471925621435,0.00292502530585296,2.2932445923461,0,0,0.997368421052631,0.0030228177087917,0.00187356182660958
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,Link-delay-aware,Normal,0.4288,0.0256333116601556,0.0158876911685325,0.5488,0.0259092433098477,0.0160587153768773,2.75296,4.6811112914356e-16,2.90138283768708e-16,0.515789473684211,0.128442141878759,0.0796092643139258
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,Link-delay-aware,Coop_1,0.998,0.00322030594359767,0.00199596630269189,0.00200000000000001,0.00322030594359767,0.00199596630269189,1.962,0,0,1,0,0
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,Link-delay-aware,LinkDeg_Emerg,0.896923076923077,0.0261990559475791,0.016238343110744,0.103076923076923,0.0261990559475791,0.016238343110744,2.15230769230769,4.6811112914356e-16,2.90138283768708e-16,0.938888888888889,0.0409924881873679,0.0254074074074074
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,Link-delay-aware,PosDeg_Emerg,0.996363636363636,0.00469452526813017,0.00290969690657879,0.00363636363636362,0.00469452526813017,0.00290969690657879,2.55,4.6811112914356e-16,2.90138283768708e-16,0.996363636363636,0.00469452526813017,0.00290969690657879
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,Link-delay-aware,Recovery,0.998013245033113,0.00319897941416987,0.00198274798280651,0.00198675496688743,0.00319897941416987,0.00198274798280651,2.55,4.6811112914356e-16,2.90138283768708e-16,0.998013245033113,0.00319897941416987,0.00198274798280651
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,Link-delay-aware,Full,0.868386023294509,0.00681316478716669,0.0042228432850946,0.126955074875208,0.00674965853647312,0.00418348170311613,2.4024459234609,4.6811112914356e-16,2.90138283768708e-16,0.963815789473684,0.00992915037076471,0.00615415115877668
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,Confidence-driven,Normal,0.436,0.0282842712474619,0.0175307729435984,0.5392,0.0348099602604389,0.0215754368978553,2.801504,0.0522060709964741,0.0323576580393136,0.515789473684211,0.128442141878759,0.0796092643139258
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,Confidence-driven,Coop_1,0.998,0.00322030594359767,0.00199596630269189,0.00200000000000001,0.00322030594359767,0.00199596630269189,1.986,4.6811112914356e-16,2.90138283768708e-16,1,0,0
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,Confidence-driven,LinkDeg_Emerg,0.975384615384616,0.0180582737042656,0.0111926340011762,0.0246153846153846,0.0180582737042656,0.0111926340011762,2.89073846153846,0.124901387532305,0.0774146820334187,0.983333333333333,0.0268358828633138,0.0166330525224323
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,Confidence-driven,PosDeg_Emerg,1,0,0,0,0,0,2.99454545454545,0.144067247842202,0.0892938053250141,1,0,0
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,Confidence-driven,Recovery,1,0,0,0,0,0,3.10112582781457,0.0364202285987055,0.0225734915540787,1,0,0
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,Confidence-driven,Full,0.879534109816972,0.00689172471081933,0.00427153523023865,0.115307820299501,0.00744322469633756,0.004613358462661,2.71822961730449,0.0312981629533229,0.0193988023762741,0.96875,0.00907507969147306,0.00562479266742823
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,Oracle,Normal,0.5936,0.0284222135348783,0.0176162704591207,0.3496,0.0244549472386355,0.0151573333333333,4.05816,0,0,0.494736842105263,0.0752547739983411,0.046643392164651
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,Oracle,Coop_1,0.998,0.00322030594359767,0.00199596630269189,0.00200000000000001,0.00322030594359767,0.00199596630269189,1.962,0,0,1,0,0
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,Oracle,LinkDeg_Emerg,0.972307692307692,0.0141374858995797,0.00876250454291253,0.0276923076923077,0.0141374858995797,0.00876250454291253,2.70907692307692,0.00726867677534433,0.0045051725403886,0.938888888888889,0.0409924881873679,0.0254074074074074
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,Oracle,PosDeg_Emerg,0.996363636363636,0.00469452526813017,0.00290969690657879,0.00363636363636362,0.00469452526813017,0.00290969690657879,2.55,4.6811112914356e-16,2.90138283768708e-16,0.996363636363636,0.00469452526813017,0.00290969690657879
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,Oracle,Recovery,0.998013245033113,0.00319897941416987,0.00198274798280651,0.00198675496688743,0.00319897941416987,0.00198274798280651,2.55,4.6811112914356e-16,2.90138283768708e-16,0.998013245033113,0.00319897941416987,0.00198274798280651
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,Oracle,Full,0.910815307820299,0.00638187459285303,0.00395552685317516,0.0773710482529119,0.00503768777720048,0.0031223912332819,2.73412645590683,0.000786129767716182,0.000487248278078679,0.9625,0.00713983359478056,0.00442531470972247
10011,Boundary,Open,Low,Sparse,Default,Link-delay-aware,Normal,1,0,0,0,0,0,1.4572,0,0,1,0,0
10011,Boundary,Open,Low,Sparse,Default,Link-delay-aware,Coop_1,0.998,0.00322030594359767,0.00199596630269189,0.00200000000000001,0.00322030594359767,0.00199596630269189,1.34866666666667,0,0,1,0,0
10011,Boundary,Open,Low,Sparse,Default,Link-delay-aware,LinkDeg_Emerg,1,0,0,0,0,0,1.93846153846154,2.3405556457178e-16,1.45069141884354e-16,NaN,NaN,NaN
10011,Boundary,Open,Low,Sparse,Default,Link-delay-aware,PosDeg_Emerg,1,0,0,0,0,0,2,0,0,NaN,NaN,NaN
10011,Boundary,Open,Low,Sparse,Default,Link-delay-aware,Recovery,0.990728476821192,0.00558459630934811,0.00346136865342162,0.00927152317880793,0.00558459630934811,0.00346136865342162,2.00364238410596,4.6811112914356e-16,2.90138283768708e-16,1,0,0
10011,Boundary,Open,Low,Sparse,Default,Link-delay-aware,Full,0.997171381031614,0.00136983794067981,0.000849034351901111,0.00282861896838602,0.00136983794067981,0.000849034351901111,1.71880199667221,2.3405556457178e-16,1.45069141884354e-16,1,0,0
10011,Boundary,Open,Low,Sparse,Default,Confidence-driven,Normal,1,0,0,0,0,0,1.5196,2.3405556457178e-16,1.45069141884354e-16,1,0,0
10011,Boundary,Open,Low,Sparse,Default,Confidence-driven,Coop_1,0.998,0.00322030594359767,0.00199596630269189,0.00200000000000001,0.00322030594359767,0.00199596630269189,1.37266666666667,2.3405556457178e-16,1.45069141884354e-16,1,0,0
10011,Boundary,Open,Low,Sparse,Default,Confidence-driven,LinkDeg_Emerg,1,0,0,0,0,0,1.93846153846154,2.3405556457178e-16,1.45069141884354e-16,NaN,NaN,NaN
10011,Boundary,Open,Low,Sparse,Default,Confidence-driven,PosDeg_Emerg,1,0,0,0,0,0,2.00890909090909,0.0281730191542275,0.0174618181818182,NaN,NaN,NaN
10011,Boundary,Open,Low,Sparse,Default,Confidence-driven,Recovery,0.990728476821192,0.00558459630934811,0.00346136865342162,0.00927152317880793,0.00558459630934811,0.00346136865342162,2.00761589403973,4.6811112914356e-16,2.90138283768708e-16,1,0,0
10011,Boundary,Open,Low,Sparse,Default,Confidence-driven,Full,0.997171381031614,0.00136983794067981,0.000849034351901111,0.00282861896838602,0.00136983794067981,0.000849034351901111,1.7403993344426,0.00515645941258747,0.0031960066555741,1,0,0
10011,Boundary,Open,Low,Sparse,Default,Oracle,Normal,1,0,0,0,0,0,1.4572,0,0,1,0,0
10011,Boundary,Open,Low,Sparse,Default,Oracle,Coop_1,0.998,0.00322030594359767,0.00199596630269189,0.00200000000000001,0.00322030594359767,0.00199596630269189,1.34866666666667,0,0,1,0,0
10011,Boundary,Open,Low,Sparse,Default,Oracle,LinkDeg_Emerg,1,0,0,0,0,0,1.93846153846154,2.3405556457178e-16,1.45069141884354e-16,NaN,NaN,NaN
10011,Boundary,Open,Low,Sparse,Default,Oracle,PosDeg_Emerg,1,0,0,0,0,0,2,0,0,NaN,NaN,NaN
10011,Boundary,Open,Low,Sparse,Default,Oracle,Recovery,0.990728476821192,0.00558459630934811,0.00346136865342162,0.00927152317880793,0.00558459630934811,0.00346136865342162,2.00364238410596,4.6811112914356e-16,2.90138283768708e-16,1,0,0
10011,Boundary,Open,Low,Sparse,Default,Oracle,Full,0.997171381031614,0.00136983794067981,0.000849034351901111,0.00282861896838602,0.00136983794067981,0.000849034351901111,1.71880199667221,2.3405556457178e-16,1.45069141884354e-16,1,0,0
