Config,Method,TimelyRateMean,TimelyRateStd,TimelyRateCI95,LossRateMean,LossRateStd,LossRateCI95,AvgDelayMean,AvgDelayStd,AvgDelayCI95,AvgTxCostMean,AvgTxCostStd,AvgTxCostCI95,EmergencyTimelyRateMean,EmergencyTimelyRateStd,EmergencyTimelyRateCI95
Generic,Link-delay-aware,0.968552412645591,0.00624674839452812,0.0027377581935065,0.0314475873544093,0.00624674839452812,0.0027377581935065,0.0238820861282624,0.00274235988531636,0.00120189221197784,1.62945091514143,9.11251831401531e-16,3.9937372376846e-16,1,0,0
Generic,Confidence-driven,0.971131447587354,0.00620872766157456,0.00272109487259255,0.0288685524126456,0.00620872766157456,0.00272109487259255,0.0238589104157184,0.00278955020062971,0.00122257427955022,1.91855324459234,0.0413702576603122,0.0181313148415274,1,0,0
Generic,Oracle,0.993261231281198,0.00330471906656327,0.00144835698995753,0.00673876871880199,0.00330471906656327,0.00144835698995753,0.015690086336771,0.00127436927246857,0.000558516959048628,1.89860232945091,0.024703113915397,0.0108266170262668,1,0,0
ForestParam,Link-delay-aware,0.959983361064892,0.008283924425121,0.00363058995446812,0.0398502495840266,0.00835398740805182,0.0036612964106059,0.0364402474348964,0.00233101747919383,0.00102161345388265,2.2112146422629,0,0,0.825,0.157418873564722,0.068991863237504
ForestParam,Confidence-driven,0.971963394342762,0.00698199035643528,0.00305999219082651,0.0273710482529118,0.00694432311731013,0.00304348379541363,0.035194601348949,0.00222465254360454,0.000974996965508244,2.57372961730449,0.0425326874826139,0.0186407721734683,0.916666666666667,0.0854981960070962,0.0374712365321917
ForestParam,Oracle,0.970549084858569,0.0056901112140045,0.00249380119291339,0.028702163061564,0.00583612435649115,0.00255779427410626,0.0362718965283348,0.00180812485712695,0.000792445658099219,2.55883777038269,0.0299639575705183,0.0131322834165093,0.916666666666667,0.101162829777814,0.0443365649791687
ForestGeometryDemo,Link-delay-aware,0.791014975041597,0.007088141130259,0.00310651481866878,0.203494176372712,0.00748216718046122,0.00327920434916773,0.0980582121172178,0.00130683303786184,0.000572744831548721,1.86504159733777,2.27812957850383e-16,9.9843430942115e-17,0.953271028037383,0.0109326663900112,0.00479145230378491
ForestGeometryDemo,Confidence-driven,0.797670549084858,0.00784903411745646,0.00343999087349215,0.196838602329451,0.00763637539556004,0.0033467890792911,0.0963974303096858,0.00171356090892447,0.000751001180484522,2.14918386023295,0.0326776354015055,0.0143216051639371,0.952803738317757,0.0107096356688772,0.00469370478049372
ForestGeometryDemo,Oracle,0.806073211314476,0.00792432301318272,0.00347298768689593,0.188519134775374,0.00778753058725674,0.00341303576291312,0.0944024522822675,0.00198759390390723,0.000871101435836946,2.26605990016639,0.0143173102950962,0.00627483789865938,0.953271028037383,0.0109326663900112,0.00479145230378491
