Method,Normal_1,Degraded,Outage,Recovery,Full
Fixed constraints,0.211856504147165,2.42416771850688,1.94994000359844,0.286398260456099,1.46206707430295
Adaptive constraints,0.211767435397801,2.4049353061077,1.91996786154832,0.281206972781221,1.44718829181185
