Candidate,ActualCostWeight,MeanTimelyDelta_pp,MeanEmgDelta_pp,MeanCostDeltaPct,MaxCostDeltaPct,MinTimelyDelta_pp,MinEmgDelta_pp,Scene10017DefaultEmgDelta_pp,Scene10017ForestCostDeltaPct,Scene10019ForestTimelyDelta_pp,Scene10019ForestEmgDelta_pp,EmgGuard,CostGuard,BoundaryGuard,TimelyGuard,SelectionScore,Status
V4Cost0060,0.06,0.255130338325016,-0.492470492470491,-2.27993605754917,11.5417502156474,-0.332778702163061,-0.555555555555556,-0.555555555555554,11.5417502156474,-0.332778702163061,-0.366300366300365,0,1,1,1,-0.602216019021337,NeedsCalibration
V4Cost0035,0.035,0.843039378813086,-0.443630443630443,10.9489080855943,46.1195396006476,-0.199667221297839,-0.555555555555556,-0.555555555555554,46.1195396006476,-0.199667221297839,-0.219780219780219,0,0,1,1,-0.640744988694024,NeedsCalibration
V4Cost0090,0.09,-0.210759844703275,-0.553520553520552,-9.4189611838657,-6.3830374956525,-0.499168053244592,-0.555555555555556,-0.555555555555554,-6.3830374956525,-0.499168053244592,-0.549450549450547,0,1,0,1,-1.09863123257466,Reject
V4Cost0130,0.13,-0.687742651136995,-0.614570614570613,-14.6777931727741,-9.48206496421457,-0.89850249584027,-0.73260073260073,-0.555555555555554,-18.9858859247224,-0.665557404326123,-0.73260073260073,0,1,0,0,-1.60613906953341,Reject
V4Cost0180,0.18,-0.931780366056571,-0.687830687830686,-15.9617266123671,-10.6325611598131,-1.29783693843594,-0.952380952380949,-0.555555555555554,-20.948622556153,-0.865224625623962,-0.952380952380949,0,1,0,0,-1.88680682108302,Reject
V4Cost0250,0.25,-1.05379922351636,-0.590150590150589,-17.091921082858,-11.9933934696989,-1.86356073211315,-0.659340659340657,-0.555555555555554,-21.9117848322344,-0.599001663893506,-0.659340659340657,0,1,0,0,-1.95998562970276,Reject
