Scene,SceneRole,Config,BaselineMethod,ProposedMethod,Metric,Baseline_Mean,Baseline_Std,Proposed_Mean,Proposed_Std,Delta_Mean,DeltaPct,CI_Lower,CI_Upper,P_Value,P_Value_Display,P_Value_Holm,P_Value_Holm_Display,Significant,Significant_Holm,EffectSize_RBC,EffectSize_CohenDz,PracticalNote,P_Value_Holm_Family,P_Value_Holm_Family_Display,Significant_Holm_Family
10006,Reference,ForestGeometry,AoI-greedy,Risk-constrained-v6,LossRate,0.286222961730449,0.0045659263432465,0.285890183028286,0.00506126022372303,-0.000332778702163042,-0.0332778702163083,-0.000936811793610707,0.000271254389284623,0.529598694242945,p = 0.5296,1,p = 1,n.s.,n.s.,-0.13780487804878,-0.0889000889001288,Below1pp,1,p = 1,n.s.
10006,Reference,ForestGeometry,AoI-greedy,Risk-constrained-v6,AvgDelay,0.086734851283287,0.00109790230240474,0.086104227800985,0.00136926565336346,-0.000630623482301994,-0.727070460111017,-0.000821388468973081,-0.000439858495630908,0.00016204029099165,p = 1.620e-04,0.000648161163966599,p = 6.482e-04,***,***,-0.530980392156863,-0.533431766870162,Sub-ms,0.00421304756578289,p = 0.004213,**
10006,Reference,ForestGeometry,AoI-greedy,Risk-constrained-v6,AvgTxCost,3.48270549084859,0.00720713702371207,2.89883727121463,0.0175759194000457,-0.583868219633951,-16.7647887875724,-0.586776846519962,-0.580959592747939,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-32.3917361397711,SeeDelta,1.78005908680576e-306,p < 1e-15,***
10006,Reference,ForestGeometry,AoI-greedy,Risk-constrained-v6,EmgTimely,0.799868421052631,0.00383845448433506,0.799868421052631,0.00383845448433506,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10011,Boundary,Default,AoI-greedy,Risk-constrained-v6,TimelyRate,0.999267886855241,0.00101739646109017,0.995108153078203,0.0021369133440131,-0.0041597337770384,-0.415973377703849,-0.00445807452805337,-0.00386139302602343,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-2.24988521286633,Below1pp,1.78005908680576e-306,p < 1e-15,***
10011,Boundary,Default,AoI-greedy,Risk-constrained-v6,LossRate,0.000732113144758736,0.00101739646109022,0.004891846921797,0.00213691334401308,0.00415973377703827,0.415973377703827,0.0038613930260233,0.00445807452805324,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,2.24988521286629,Below1pp,1.78005908680576e-306,p < 1e-15,***
10011,Boundary,Default,AoI-greedy,Risk-constrained-v6,AvgDelay,0.0124051881603525,0.000367655544231652,0.013062506390905,0.000488508813437589,0.00065731823055252,5.29873648070362,0.00061048925798118,0.00070414720312386,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,2.26500127789239,Sub-ms,1.78005908680576e-306,p < 1e-15,***
10011,Boundary,Default,AoI-greedy,Risk-constrained-v6,AvgTxCost,2.649231281198,0.00965348817697463,1.88823460898503,0.0329345515357784,-0.760996672212975,-28.7251882315404,-0.766490512550304,-0.755502831875645,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-22.3518836044074,SeeDelta,1.78005908680576e-306,p < 1e-15,***
10011,Boundary,Default,AoI-greedy,Risk-constrained-v6,EmgTimely,1,0,1,0,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10011,Boundary,ForestGeometry,AoI-greedy,Risk-constrained-v6,TimelyRate,0.756173044925125,0.0106790657001912,0.801863560732113,0.0107351596301574,0.0456905158069884,4.56905158069882,0.0439443970454642,0.0474366345685125,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,4.22240303952906,Meaningful,1.78005908680576e-306,p < 1e-15,***
