Method,Normal_1,Degraded,Outage,Recovery,Full
GNSS only,0.709180327014045,4.76421531249414,NaN,0.715406396732991,2.67607567559158
IMU DR,1.2889310185795,5.66569295750723,11.0861313478442,19.7953734468282,11.2745273971086
Baseline fusion,0.23058515961424,2.34446166421521,4.8254351875403,0.423309465443678,2.30558842035546
Label-adaptive + ZUPT,0.253581701529146,2.35724751491101,3.005259487414,0.285378239247733,1.71326049696653
Residual-adaptive,0.209949708759113,2.32736703496718,3.00334515380814,0.435547143236977,1.708424702768
Residual-adaptive + NHC,0.210123111493002,2.24418883473034,2.85466621694062,0.397608730020473,1.63422314934268
