Scene,SceneRole,GeometryType,DensityClass,VegetationClass,Config,Method,Stage,AvgDelayMean,AvgDelayStd,AvgDelayCI95,TimelyRateMean,TimelyRateStd,TimelyRateCI95,LossRateMean,LossRateStd,LossRateCI95,AvgTxCostMean,AvgTxCostStd,AvgTxCostCI95,EmergencyTimelyRateMean,EmergencyTimelyRateStd,EmergencyTimelyRateCI95
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Link-delay-aware,Recovery,0.0169493331497406,0,0,0.774834437086093,0,0,0.225165562913907,0,0,1.12384105960265,0,0,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Link-delay-aware,Full,0.0139222592415273,0,0,0.753743760399334,0,0,0.246256239600666,0,0,1.69833610648918,0,0,0,0,0
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Confidence-heuristic,Normal,0.0170408108366292,0,0,0.272,0,0,0.728,0,0,1.5304,0,0,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Confidence-heuristic,Coop_1,0.0122732570272648,0,0,0.973333333333333,0,0,0.0266666666666666,0,0,2.01866666666667,0,0,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Confidence-heuristic,LinkDeg_Emerg,0.0120683686061023,0,0,0.984615384615385,0,0,0.0153846153846153,0,0,2.32307692307692,0,0,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Confidence-heuristic,PosDeg_Emerg,0.0129467646146626,0,0,0.836363636363636,0,0,0.163636363636364,0,0,3.75281818181818,0,0,0,0,0
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Confidence-heuristic,Recovery,0.0246884881086181,0,0,0.874172185430464,0,0,0.125827814569536,0,0,1.79622516556291,0,0,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Confidence-heuristic,Full,0.016225729615605,0,0,0.778702163061564,0,0,0.221297836938436,0,0,2.21154742096506,0,0,0,0,0
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Confidence-lyapunov,Normal,0.0131326799663795,0,0,0.256,0,0,0.744,0,0,1.312,0,0,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Confidence-lyapunov,Coop_1,0.0122732570272648,0,0,0.973333333333333,0,0,0.0266666666666666,0,0,2.00933333333333,0,0,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Confidence-lyapunov,LinkDeg_Emerg,0.0134004978974442,0,0,0.984615384615385,0,0,0.0153846153846153,0,0,2.30461538461538,0,0,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Confidence-lyapunov,PosDeg_Emerg,0.0143117424928827,0,0,0.836363636363636,0,0,0.163636363636364,0,0,3.125,0,0,0,0,0
