Stage,Timely_LinkD,Timely_Heur,Timely_Constr,Loss_LinkD,Loss_Heur,Loss_Constr,Cost_LinkD,Cost_Heur,Cost_Constr
Normal,0.824,0.848,0.824,0.176,0.152,0.176,1.312,1.3512,1.312
Coop_1,1,1,1,0,0,0,2,2,2
LinkDeg_Emerg,1,1,1,0,0,0,2,2,2
PosDeg_Emerg,0.990909090909091,1,0.990909090909091,0.00909090909090904,0,0.00909090909090904,2.03,2.16090909090909,2.03
Recovery,0.993377483443709,0.993377483443709,0.993377483443709,0.00662251655629142,0.00662251655629142,0.00662251655629142,1.07284768211921,1.07284768211921,1.07284768211921
Full,0.960066555740433,0.966722129783694,0.960066555740433,0.0399334442595674,0.0332778702163061,0.0399334442595674,1.62945091514143,1.66156405990017,1.62945091514143
