Scene,SceneRole,GeometryType,Config,Stage,BaselineMethod,ProposedMethod,Metric,Baseline_Mean,Baseline_Std,Proposed_Mean,Proposed_Std,Delta_Mean,DeltaPct,CI_Lower,CI_Upper,P_Value,P_Value_Display,P_Value_Holm,P_Value_Holm_Display,Significant,Significant_Holm,EffectSize_RBC,EffectSize_CohenDz,PracticalNote,P_Value_Holm_Family,P_Value_Holm_Family_Display,Significant_Holm_Family
10006,Reference,Mixed,Default,PosDeg_Emerg,DCC-like,Risk-constrained-v6,AvgTxCost,4.59,8.97195690676443e-16,3.15,8.97195690676443e-16,-1.44,-31.3725490196079,-1.44,-1.44,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-Inf,SeeDelta,8.90029543402881e-306,p < 1e-15,***
10006,Reference,Mixed,Default,PosDeg_Emerg,DCC-like,Risk-constrained-v6,EmgTimely,1,0,1,0,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10006,Reference,Mixed,ForestGeometry,PosDeg_Emerg,DCC-like,Risk-constrained-v6,TimelyRate,0.892727272727273,0.00410685410411475,0.893636363636364,0.00527534961339992,0.000909090909090899,0.0909090909090859,0.000168170283636374,0.00165001153454543,0.161513427598995,p = 0.1615,0.323026855197989,p = 0.323,n.s.,n.s.,0.384615384615385,0.197989898732233,Below1pp,1,p = 1,n.s.
10006,Reference,Mixed,ForestGeometry,PosDeg_Emerg,DCC-like,Risk-constrained-v6,LossRate,0.106909090909091,0.00433073558455401,0.105454545454545,0.00580796877272669,-0.00145454545454545,-0.145454545454543,-0.00225857236224723,-0.000650518546843661,0.0389998213215355,p = 0.039,0.116999463964606,p = 0.117,*,n.s.,-0.571428571428571,-0.291920179679905,Below1pp,1,p = 1,n.s.
10006,Reference,Mixed,ForestGeometry,PosDeg_Emerg,DCC-like,Risk-constrained-v6,AvgDelay,0.042171188827841,0.000751860777498227,0.0122970666832939,0.000468400111259789,-0.0298741221445471,-70.8401232569107,-0.029960362692724,-0.0297878815963703,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-55.8973278733678,Meaningful,8.90029543402881e-306,p < 1e-15,***
10006,Reference,Mixed,ForestGeometry,PosDeg_Emerg,DCC-like,Risk-constrained-v6,AvgTxCost,4.35109090909091,8.97195690676443e-16,3.1536,0.00829128990434842,-1.19749090909091,-27.521624670929,-1.19882882711297,-1.19615299106885,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-144.427576758941,SeeDelta,8.90029543402881e-306,p < 1e-15,***
10006,Reference,Mixed,ForestGeometry,PosDeg_Emerg,DCC-like,Risk-constrained-v6,EmgTimely,0.892727272727273,0.00410685410411475,0.893636363636364,0.00527534961339992,0.000909090909090899,0.0909090909090859,0.000168170283636374,0.00165001153454543,0.161513427598995,p = 0.1615,0.323026855197989,p = 0.323,n.s.,n.s.,0.384615384615385,0.197989898732233,Below1pp,1,p = 1,n.s.
10011,Boundary,Open,Default,PosDeg_Emerg,DCC-like,Risk-constrained-v6,TimelyRate,1,0,1,0,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10011,Boundary,Open,Default,PosDeg_Emerg,DCC-like,Risk-constrained-v6,LossRate,0,0,0,0,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10011,Boundary,Open,Default,PosDeg_Emerg,DCC-like,Risk-constrained-v6,AvgDelay,0.0156094647350475,0.000323461286263543,0.0120674774545689,0.000221077232603464,-0.00354198728047854,-22.6912795576252,-0.00356774141366237,-0.00351623314729471,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-22.1925630986928,Meaningful,8.90029543402881e-306,p < 1e-15,***
