Stage,Timely_LinkDelay,Timely_Conf,Timely_Oracle,Loss_LinkDelay,Loss_Conf,Loss_Oracle,Cost_LinkDelay,Cost_Conf,Cost_Oracle,TimelyGain_ConfVsLinkDelay,LossReduction_ConfVsLinkDelay,CostDelta_ConfVsLinkDelay,TimelyGainPerCost,LossReductionPerCost
Normal,0.936,0.944,0.984,0.0639999999999999,0.056,0.016,1.312,1.3456,1.6228,0.0079999999999999,0.0079999999999999,0.0335999999999999,0.238095238095236,0.238095238095236
Coop_1,1,1,1,0,0,0,2,2.03733333333333,2.07466666666667,0,0,0.0373333333333337,0,0
LinkDeg_Emerg,1,1,1,0,0,0,2,2.63076923076923,3.14307692307692,0,0,0.630769230769231,0,0
PosDeg_Emerg,1,1,1,0,0,0,2.03,3.88672727272727,3.73545454545455,0,0,1.85672727272727,0,0
Recovery,0.993377483443709,1,1,0.00662251655629142,0,0,1.07284768211921,1.32370860927152,1.35033112582782,0.00662251655629142,0.00662251655629142,0.250860927152318,0.0263991552270328,0.0263991552270328
Full,0.985024958402662,0.988352745424293,0.996672212978369,0.0149750415973378,0.0116472545757071,0.00332778702163061,1.62945091514143,2.11683860232945,2.21821963394343,0.00332778702163061,0.00332778702163061,0.48738768718802,0.00682780281305475,0.00682780281305475
