Config,Metric,Baseline_Mean,Baseline_Std,Proposed_Mean,Proposed_Std,Delta_Mean,DeltaPct,CI_Lower,CI_Upper,P_Value,P_Value_Display,P_Value_Holm,P_Value_Holm_Display,Significant,Significant_Holm,EffectSize_RBC,EffectSize_CohenDz,PracticalNote,P_Value_Holm_Family,P_Value_Holm_Family_Display,Significant_Holm_Family
Generic,TimelyRate,0.968718801996672,0.00734964781962386,0.970881863560732,0.00643228702426137,0.0021630615640598,0.216306156405965,0.00120475309665066,0.00312137003146894,0.00594423468286842,p = 0.005944,0.0208511272177194,p = 0.02085,**,*,0.861111111111111,0.869894486653726,Below1pp,0.0312766908265791,p = 0.03128,*
Generic,LossRate,0.0312811980033278,0.00734964781962393,0.0291181364392679,0.00643228702426133,-0.0021630615640599,-0.21630615640599,-0.00312137003146915,-0.00120475309665065,0.00594423468287175,p = 0.005944,0.0208511272177194,p = 0.02085,**,*,-0.861111111111111,-0.86989448665367,Below1pp,0.0312766908265791,p = 0.03128,*
Generic,AvgDelay,0.0246704048065502,0.00303953347657869,0.0242379415860797,0.00290758429413841,-0.00043246322047046,-1.75296361718248,-0.000621127477682991,-0.00024379896325793,0.00521278180442986,p = 0.005213,0.0208511272177194,p = 0.02085,**,*,-0.745454545454545,-0.883410529826577,Sub-ms,0.0312766908265791,p = 0.03128,*
Generic,AvgTxCost,1.77064891846922,2.3405556457178e-16,1.90477371048253,0.0320692955585412,0.134124792013309,7.57489475266865,0.121765532718859,0.146484051307759,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,4.18234294446754,SeeDelta,3.3376107877608e-307,p < 1e-15,***
Generic,EmgTimely,0.933333333333333,0.0860662965823872,1,0,0.0666666666666668,6.66666666666668,0.0334973794263846,0.099835953906949,0.0143058866349626,p = 0.01431,0.0208511272177194,p = 0.02085,*,*,1,0.774596669241483,Meaningful,0.0429176599048877,p = 0.04292,*
ForestParam,TimelyRate,0.946422628951747,0.00682894907226697,0.973544093178037,0.00528793630018986,0.0271214642262892,2.71214642262892,0.0244680282318165,0.0297749002207619,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,3.93919554204841,Meaningful,3.3376107877608e-307,p < 1e-15,***
ForestParam,LossRate,0.0530782029950083,0.00658354441518534,0.0254575707154742,0.00560424540391306,-0.0276206322795341,-2.76206322795341,-0.0301891992488178,-0.0250520653102504,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-4.14424809148381,Meaningful,3.3376107877608e-307,p < 1e-15,***
ForestParam,AvgDelay,0.0391728801497189,0.00258223291735318,0.034473412946453,0.00209647572600984,-0.00469946720326589,-11.9967364801989,-0.00563420819981756,-0.00376472620671422,8.98016327965934e-10,p = 8.980e-10,1.79603265593187e-09,p = 1.796e-09,***,***,-1,-1.9375831806421,Meaningful,6.28611429576154e-09,p = 6.286e-09,***
ForestParam,AvgTxCost,2.36911813643927,4.6811112914356e-16,2.5621996672213,0.0283543292035768,0.193081530782028,8.14993257669396,0.182153990883077,0.204009070680979,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,6.80959614299998,SeeDelta,3.3376107877608e-307,p < 1e-15,***
ForestParam,EmgTimely,0.866666666666666,0.105409255338946,0.883333333333333,0.0805076485899415,0.0166666666666666,1.66666666666667,-0.00364529055095834,0.0369786238842916,0.317310527664727,p = 0.3173,0.317310527664727,p = 0.3173,n.s.,n.s.,1,0.316227766016838,Meaningful,0.317310527664727,p = 0.3173,n.s.
ForestGeometryDemo,TimelyRate,0.810482529118137,0.00942709848533451,0.844425956738769,0.00838392482408809,0.0339434276206323,3.39434276206324,0.0312194702339085,0.0366673850073561,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,4.80240087739393,Meaningful,3.3376107877608e-307,p < 1e-15,***
ForestGeometryDemo,LossRate,0.1891846921797,0.00967191527179379,0.155241264559068,0.0081532668508704,-0.0339434276206323,-3.39434276206323,-0.0367499979366179,-0.0311368573046467,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-4.66103958610135,Meaningful,3.3376107877608e-307,p < 1e-15,***
ForestGeometryDemo,AvgDelay,0.0888933750729756,0.00341264492210138,0.0870958458604581,0.00267589621189545,-0.00179752921251745,-2.02211830863862,-0.00279799529943594,-0.000797063125598955,0.0285488322623735,p = 0.02855,0.0285488322623735,p = 0.02855,*,*,-0.6,-0.692431168711972,Meaningful,0.057097664524747,p = 0.0571,n.s.
ForestGeometryDemo,AvgTxCost,1.89547420965058,0,2.19753577371048,0.0281762902084282,0.302061564059902,15.9359363752876,0.291202639017225,0.312920489102578,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,10.7204164148461,SeeDelta,3.3376107877608e-307,p < 1e-15,***
ForestGeometryDemo,EmgTimely,0.966355140186916,0.00653463456803832,0.986915887850467,0.00482614747190984,0.0205607476635513,2.05607476635513,0.0182827711531634,0.0228387241739392,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,3.47850542618517,Meaningful,3.3376107877608e-307,p < 1e-15,***
