Config,Profile,Vegetation,Variant,Method,Stage,TimelyRateMean,TimelyRateStd,TimelyRateCI95,LossRateMean,LossRateStd,LossRateCI95,AvgDelayMean,AvgDelayStd,AvgDelayCI95,AvgTxCostMean,AvgTxCostStd,AvgTxCostCI95,EmergencyTimelyRateMean,EmergencyTimelyRateStd,EmergencyTimelyRateCI95
FG_Blind_Medium_Base,Blind,Medium,Base,Link-delay-aware,Normal,0.404,0.015663120165961,0.00970810245791283,0.596,0.0156631201659609,0.00970810245791282,0.0149777498340674,0.00165611874958372,0.00102647303558134,1,0,0,NaN,NaN,NaN
FG_Blind_Medium_Base,Blind,Medium,Base,Link-delay-aware,Coop_1,0.933333333333333,0.00628539361054709,0.00389572732079963,0.0666666666666667,0.00628539361054709,0.00389572732079963,0.0121761658966386,0.000376044303196255,0.000233074673849296,1.034,2.3405556457178e-16,1.45069141884354e-16,NaN,NaN,NaN
FG_Blind_Medium_Base,Blind,Medium,Base,Link-delay-aware,LinkDeg_Emerg,0.870769230769231,0.0291902553246312,0.0180923076923077,0.129230769230769,0.0291902553246312,0.0180923076923077,0.0238812900937922,0.00175367544798001,0.00108693930369726,2.37030769230769,4.6811112914356e-16,2.90138283768708e-16,NaN,NaN,NaN
FG_Blind_Medium_Base,Blind,Medium,Base,Link-delay-aware,PosDeg_Emerg,0.920909090909091,0.0226969494679685,0.0140677150262794,0.0790909090909091,0.0226969494679685,0.0140677150262794,0.0246989532778989,0.00111718345232262,0.000692437477623563,3.00009090909091,0,0,0.966101694915254,0.01957119556575,0.0121303526859901
FG_Blind_Medium_Base,Blind,Medium,Base,Link-delay-aware,Recovery,0.966887417218543,0.0103541186751069,0.00641754924269647,0.0324503311258278,0.0110154304193154,0.00682743450829948,0.0142950748639464,0.000683925722174897,0.000423901554359848,2.20913907284768,4.6811112914356e-16,2.90138283768708e-16,0.977083333333333,0.0118259627541155,0.00732980765415528
FG_Blind_Medium_Base,Blind,Medium,Base,Link-delay-aware,Full,0.822628951747088,0.00538877772667384,0.00333999903845203,0.17720465890183,0.0057237291848448,0.00354760410308134,0.0170083535402431,0.000285036150540125,0.000176667236433912,1.82655574043261,0,0,0.971028037383178,0.0102850928468655,0.00637476659111049
FG_Blind_Medium_Base,Blind,Medium,Base,Confidence-driven,Normal,0.4344,0.0206731172728686,0.0128133308359346,0.5656,0.0206731172728686,0.0128133308359346,0.0194782464902944,0.00255156004400538,0.00158147329984434,1.385568,0.0689111680676249,0.0427115844740063,NaN,NaN,NaN
FG_Blind_Medium_Base,Blind,Medium,Base,Confidence-driven,Coop_1,0.939333333333333,0.00798145999825244,0.00494696015900824,0.0606666666666667,0.00798145999825244,0.00494696015900824,0.0128134226452635,0.000494305485233933,0.000306373713877776,1.12748,0.0190528517680117,0.0118090798716627,NaN,NaN,NaN
FG_Blind_Medium_Base,Blind,Medium,Base,Confidence-driven,LinkDeg_Emerg,0.890769230769231,0.0311514718943332,0.0193078823159514,0.109230769230769,0.0311514718943332,0.0193078823159514,0.0255351452880356,0.00194041123525723,0.00120267934375556,2.67418461538462,0.0978374398097879,0.0606402734467579,NaN,NaN,NaN
FG_Blind_Medium_Base,Blind,Medium,Base,Confidence-driven,PosDeg_Emerg,0.975454545454546,0.0171687460293519,0.0106412990362579,0.0236363636363636,0.0161489849629991,0.0100092445790459,0.0280135331599538,0.00101444951750196,0.00062876232512675,3.94103636363637,0.0474918039422555,0.0294357250469475,0.989830508474576,0.00875250473719188,0.0054248586393842
