Scene,SceneRole,GeometryType,DensityClass,VegetationClass,Config,Method,HeuristicTimely,MethodTimely,MethodMinusHeuristicTimely_pp,HeuristicEmgTimely,MethodEmgTimely,MethodMinusHeuristicEmg_pp,HeuristicTxCost,MethodTxCost,MethodCostDeltaPct,HeuristicDelay,MethodDelay,MethodDelayDeltaPct
10017,LongRange,LongMixed,Medium,Mixed,Default,V4Cost0060,0.953410981697171,0.957737104825291,0.432612312811975,1,0.994444444444444,-0.555555555555554,2.35737104825291,2.25337770382696,-4.41141179293886,0.0266933048710288,0.0247150988814987,-7.41086950112761
10017,LongRange,LongMixed,Medium,Mixed,Default,Risk-constrained-v6,0.953410981697171,0.95873544093178,0.5324459234609,1,1,0,2.35737104825291,2.28931780366057,-2.88682787729918,0.0266933048710288,0.0243951577299656,-8.60945151665135
10017,LongRange,LongMixed,Medium,Mixed,ForestGeometry,V4Cost0060,0.524459234608985,0.531447587354409,0.698835274542431,0.0166666666666667,0.0111111111111111,-0.555555555555556,2.65037936772046,2.95627953410981,11.5417502156474,0.127405584219692,0.125104970150553,-1.80574037098022
10017,LongRange,LongMixed,Medium,Mixed,ForestGeometry,Risk-constrained-v6,0.524459234608985,0.531780366056572,0.732113144758728,0.0166666666666667,0.0166666666666667,0,2.65037936772046,2.99221963394343,12.8977862711394,0.127405584219692,0.125111232187501,-1.80082532978669
10019,DenseBlind,ShortRangeOccluded,High,Dense,ForestGeometry,V4Cost0060,0.663560732113145,0.660232945091514,-0.332778702163061,0.62967032967033,0.626007326007326,-0.366300366300365,3.36307820299501,2.89325124792014,-13.9701465953561,0.039987107221515,0.039934252573177,-0.132179224781599
10019,DenseBlind,ShortRangeOccluded,High,Dense,ForestGeometry,Risk-constrained-v6,0.663560732113145,0.662895174708819,-0.0665557404326167,0.62967032967033,0.628937728937729,-0.073260073260073,3.36307820299501,3.3177237936772,-1.34859811696963,0.039987107221515,0.0400003878572581,0.0332122943266143
