Scene,Config,Metric,Baseline_Mean,Baseline_Std,Proposed_Mean,Proposed_Std,Delta_Mean,CI_Lower,CI_Upper,P_Value,Significant
10014,Default,TimelyRate,0.968718801996672,0.00691845418946763,0.972712146422629,0.00711140118683288,0.00399334442595674,0.00330401952604371,0.00468266932586976,1.67399427652981e-12,***
10014,Default,LossRate,0.0312811980033278,0.00691845418946763,0.027287853577371,0.00711140118683288,-0.00399334442595674,-0.00468266932586976,-0.00330401952604371,1.67399427652981e-12,***
10014,Default,AvgDelay,0.0242200511076674,0.00290337977505987,0.0236815379299527,0.00305459221725523,-0.000538513177714722,-0.000694107194235042,-0.000382919161194402,2.46638044725245e-05,***
10014,Default,AvgTxCost,1.62945091514143,2.3405556457178e-16,1.67366888519135,0.0126188190257344,0.0442179700499164,0.0393547744725738,0.049081165627259,0,***
10014,Default,EmgTimely,1,0,1,0,0,0,0,1,n.s.
10014,ForestGeometry,TimelyRate,0.965890183028286,0.00800861291081178,0.974542429284526,0.00706148076889705,0.00865224625623959,0.0070584063640299,0.0102460861484493,3.71311870139834e-11,***
10014,ForestGeometry,LossRate,0.0337770382695507,0.00800092710010573,0.0242928452579035,0.00702435505224073,-0.00948419301164725,-0.0109666422625781,-0.00800174376071639,6.43929354282591e-15,***
10014,ForestGeometry,AvgDelay,0.0325502439568629,0.00259055219515535,0.0316710702307089,0.00243586114444577,-0.000879173726153963,-0.00111081319431777,-0.000647534257990161,3.73969930467233e-06,***
10014,ForestGeometry,AvgTxCost,2.16482529118136,4.6811112914356e-16,2.29604991680533,0.016733072948314,0.131224625623961,0.124775828300563,0.137673422947358,0,***
10014,ForestGeometry,EmgTimely,0.783333333333333,0.176558317578563,0.866666666666667,0.105409255338946,0.0833333333333334,0.0287465885130314,0.137920078153635,0.0628117239873174,n.s.
10006,Default,TimelyRate,0.945590682196339,0.0071480748170155,0.982695507487521,0.00484786985766215,0.0371048252911813,0.0346480880707573,0.0395615625116054,0,***
10006,Default,LossRate,0.0544093178036605,0.0071480748170155,0.0173044925124792,0.00484786985766215,-0.0371048252911813,-0.0395615625116054,-0.0346480880707573,0,***
10006,Default,AvgDelay,0.0337106669503067,0.00313427073435695,0.020316416587226,0.00212047155713239,-0.0133942503630807,-0.0141888296260953,-0.0125996711000661,0,***
10006,Default,AvgTxCost,2.14675540765392,4.6811112914356e-16,2.50343594009983,0.0173293197788544,0.356680532445914,0.350001946190338,0.363359118701491,0,***
10006,Default,EmgTimely,0.997368421052631,0.0030228177087917,0.999671052631579,0.00104022291452907,0.00230263157894736,0.00144697377914556,0.00315828937874915,0.00103948249750907,**
10006,ForestGeometry,TimelyRate,0.868386023294509,0.00681316478716669,0.879534109816972,0.00689172471081933,0.0111480865224626,0.00986380303782071,0.0124323700071044,0,***
10006,ForestGeometry,LossRate,0.126955074875208,0.00674965853647312,0.115307820299501,0.00744322469633756,-0.0116472545757071,-0.0129649016288902,-0.0103296075225241,0,***
10006,ForestGeometry,AvgDelay,0.061980838881881,0.00187826523986865,0.0603584822828457,0.00200251569454074,-0.00162235659903524,-0.0018861165493007,-0.00135859664876978,6.61692922676593e-14,***
10006,ForestGeometry,AvgTxCost,2.4024459234609,4.6811112914356e-16,2.71822961730449,0.0312981629533229,0.315783693843585,0.303721623110727,0.327845764576444,0,***
10006,ForestGeometry,EmgTimely,0.963815789473684,0.00992915037076471,0.96875,0.00907507969147306,0.00493421052631576,0.00403778453102609,0.00583063652160544,1.98130400974605e-11,***
10011,Default,TimelyRate,0.997171381031614,0.00136983794067981,0.997171381031614,0.00136983794067981,0,0,0,1,n.s.
10011,Default,LossRate,0.00282861896838602,0.00136983794067981,0.00282861896838602,0.00136983794067981,0,0,0,1,n.s.
10011,Default,AvgDelay,0.0126794637817114,0.000353030740201804,0.0126794637817114,0.000353030740201804,0,0,0,1,n.s.
10011,Default,AvgTxCost,1.71880199667221,2.3405556457178e-16,1.7403993344426,0.00515645941258747,0.0215973377703827,0.0196100780625684,0.023584597478197,0,***
10011,Default,EmgTimely,1,0,1,0,0,0,0,1,n.s.
10011,ForestGeometry,TimelyRate,0.97820299500832,0.00619848411356561,0.996173044925125,0.0019292875353218,0.0179700499168053,0.0156129712117897,0.0203271286218209,0,***
10011,ForestGeometry,LossRate,0.0217970049916805,0.00619848411356561,0.0038269550748752,0.0019292875353218,-0.0179700499168053,-0.0203271286218209,-0.0156129712117897,0,***
