Scene,Config,Metric,Baseline_Mean,Baseline_Std,Proposed_Mean,Proposed_Std,Delta_Mean,DeltaPct,CI_Lower,CI_Upper,P_Value,P_Value_Display,P_Value_Holm,P_Value_Holm_Display,Significant,Significant_Holm,EffectSize_RBC,EffectSize_CohenDz,PracticalNote,P_Value_Holm_Family,P_Value_Holm_Family_Display,Significant_Holm_Family
10014,Strict-75ms,TimelyRate,0.73910149750416,0.00886716312444207,0.770382695507488,0.00880449687542292,0.0312811980033278,3.12811980033277,0.028632070237049,0.0339303257696065,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,4.55075543179372,Meaningful,1.00128323632824e-306,p < 1e-15,***
10014,Strict-75ms,LossRate,0.26089850249584,0.00886716312444207,0.229450915141431,0.00864406513398037,-0.0314475873544093,-3.14475873544093,-0.0341420318726408,-0.0287531428361777,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-4.49801718430559,Meaningful,1.00128323632824e-306,p < 1e-15,***
10014,Strict-75ms,AvgDelay,0.105477293059137,0.00311965385673225,0.0935526749656467,0.00316232212004234,-0.0119246180934904,-11.3053888165339,-0.0132333116108773,-0.0106159245761035,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-3.51163647440188,Meaningful,1.00128323632824e-306,p < 1e-15,***
10014,Strict-75ms,AvgTxCost,1.69833610648918,0,2.17201331114809,0.0424124769598423,0.473677204658905,27.8906632703049,0.457331762985274,0.490022646332536,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,11.1683456994837,SeeDelta,1.00128323632824e-306,p < 1e-15,***
10014,Strict-75ms,EmgTimely,0.0166666666666667,0.052704627669473,0.0166666666666667,0.052704627669473,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10014,Forest-150ms,TimelyRate,0.73910149750416,0.00886716312444207,0.770549084858569,0.00864406513398037,0.0314475873544093,3.14475873544093,0.0287531428361777,0.0341420318726408,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,4.49801718430559,Meaningful,1.00128323632824e-306,p < 1e-15,***
10014,Forest-150ms,LossRate,0.26089850249584,0.00886716312444207,0.229450915141431,0.00864406513398037,-0.0314475873544093,-3.14475873544093,-0.0341420318726408,-0.0287531428361777,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-4.49801718430559,Meaningful,1.00128323632824e-306,p < 1e-15,***
10014,Forest-150ms,AvgDelay,0.106213565937673,0.00311062275964466,0.0942787417706279,0.00314617793526728,-0.011934824167045,-11.2366288257834,-0.013247132214127,-0.010622516119963,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-3.5049615383893,Meaningful,1.00128323632824e-306,p < 1e-15,***
10014,Forest-150ms,AvgTxCost,1.69833610648918,0,2.17533277870217,0.0417854995583934,0.476996672212982,28.0861173704322,0.460892862796664,0.493100481629299,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,11.4153636370052,SeeDelta,1.00128323632824e-306,p < 1e-15,***
10014,Forest-150ms,EmgTimely,0.0166666666666667,0.052704627669473,0.0333333333333333,0.0702728368926307,0.0166666666666667,1.66666666666667,-0.00364529055095835,0.0369786238842917,0.317310527664727,p = 0.3173,0.317310527664727,p = 0.3173,n.s.,n.s.,1,0.316227766016838,Meaningful,1,p = 1,n.s.
10014,Moderate-Forest,TimelyRate,0.803826955074875,0.00308307090619796,0.807820299500832,0.00503768777720051,0.00399334442595675,0.399334442595667,0.00285423232145053,0.00513245653046297,1.93501669611962e-05,p = 1.935e-05,7.74006678447847e-05,p = 7.740e-05,***,***,1,1.35105592507344,Below1pp,0.000328952838340335,p = 3.290e-04,***
10014,Moderate-Forest,LossRate,0.196173044925125,0.00308307090619796,0.192179700499168,0.00503768777720051,-0.00399334442595675,-0.399334442595672,-0.00513245653046297,-0.00285423232145053,1.93501669611962e-05,p = 1.935e-05,7.74006678447847e-05,p = 7.740e-05,***,***,-1,-1.35105592507344,Below1pp,0.000328952838340335,p = 3.290e-04,***
10014,Moderate-Forest,AvgDelay,0.0790678624497517,0.000502195965316912,0.0786779215505353,0.000645827763882973,-0.000389940899216455,-0.493172430789125,-0.000503586295105974,-0.000276295503326936,2.89549665901667e-05,p = 2.895e-05,7.74006678447847e-05,p = 7.740e-05,***,***,-0.963636363636364,-1.32236079983138,Sub-ms,0.000434324498852501,p = 4.343e-04,***
10014,Moderate-Forest,AvgTxCost,1.69833610648918,0,2.06959400998336,0.0412812067218341,0.371257903494176,21.8600960125404,0.355348444649607,0.387167362338746,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,8.99338786280718,SeeDelta,1.00128323632824e-306,p < 1e-15,***
10014,Moderate-Forest,EmgTimely,0.133333333333333,0.153156097245447,0.2,0.2330686329267,0.0666666666666667,6.66666666666667,0.0217552394342577,0.111578093899076,0.0704403213479941,p = 0.07044,0.0704403213479941,p = 0.07044,n.s.,n.s.,1,0.572077553547355,Meaningful,0.845283856175929,p = 0.8453,n.s.
