Scene,Config,Method,Stage,TimelyRateMean,TimelyRateStd,TimelyRateCI95,LossRateMean,LossRateStd,LossRateCI95,AvgTxCostMean,AvgTxCostStd,AvgTxCostCI95,EmergencyTimelyRateMean,EmergencyTimelyRateStd,EmergencyTimelyRateCI95
10014,Default,Link-delay-aware,Normal,0.864,0.0312544733640348,0.0136978769004159,0.136,0.0312544733640348,0.0136978769004159,1.312,2.27812957850383e-16,9.9843430942115e-17,NaN,NaN,NaN
10014,Default,Link-delay-aware,Coop_1,0.999,0.00244231699021684,0.0010703926152946,0.00100000000000001,0.00244231699021684,0.0010703926152946,2,0,0,NaN,NaN,NaN
10014,Default,Link-delay-aware,LinkDeg_Emerg,1,0,0,0,0,0,2,0,0,NaN,NaN,NaN
10014,Default,Link-delay-aware,PosDeg_Emerg,0.989090909090909,0.00757735230424083,0.00332092106898244,0.0109090909090909,0.00757735230424083,0.00332092106898244,2.03,4.55625915700765e-16,1.9968686188423e-16,1,0,0
10014,Default,Link-delay-aware,Recovery,0.99635761589404,0.00454524994141231,0.00199204361737007,0.00364238410596027,0.00454524994141231,0.00199204361737007,1.07284768211921,2.27812957850383e-16,9.9843430942115e-17,NaN,NaN,NaN
10014,Default,Link-delay-aware,Full,0.968552412645591,0.00624674839452812,0.0027377581935065,0.0314475873544093,0.00624674839452812,0.0027377581935065,1.62945091514143,9.11251831401531e-16,3.9937372376846e-16,1,0,0
10014,Default,Confidence-driven,Normal,0.874,0.0324053276971225,0.0142022610505288,0.126,0.0324053276971225,0.0142022610505288,1.34882,0.00447585334410047,0.00196162921760677,NaN,NaN,NaN
10014,Default,Confidence-driven,Coop_1,0.999,0.00244231699021684,0.0010703926152946,0.00100000000000001,0.00244231699021684,0.0010703926152946,2,0,0,NaN,NaN,NaN
10014,Default,Confidence-driven,LinkDeg_Emerg,1,0,0,0,0,0,2,0,0,NaN,NaN,NaN
10014,Default,Confidence-driven,PosDeg_Emerg,0.997272727272727,0.0042742031452875,0.00187325212137123,0.00272727272727271,0.0042742031452875,0.00187325212137123,2.19736363636364,0.0451163495140667,0.0197731119843782,1,0,0
10014,Default,Confidence-driven,Recovery,0.997682119205298,0.00388836389809537,0.00170415061548987,0.00231788079470199,0.00388836389809537,0.00170415061548987,1.10741721854305,0.0339398915195795,0.0148748132990027,NaN,NaN,NaN
10014,Default,Confidence-driven,Full,0.972462562396007,0.00639828006012425,0.00280416987408977,0.0275374376039933,0.00639828006012424,0.00280416987408977,1.67642678868552,0.0102778356519272,0.00450446007913889,1,0,0
10014,Default,Oracle,Normal,0.9696,0.0161258210725271,0.00706745269378914,0.0304,0.0161258210725271,0.00706745269378914,1.6228,4.55625915700765e-16,1.9968686188423e-16,NaN,NaN,NaN
10014,Default,Oracle,Coop_1,0.999,0.00244231699021684,0.0010703926152946,0.00100000000000001,0.00244231699021684,0.0010703926152946,2,0,0,NaN,NaN,NaN
10014,Default,Oracle,LinkDeg_Emerg,1,0,0,0,0,0,2,0,0,NaN,NaN,NaN
10014,Default,Oracle,PosDeg_Emerg,0.989090909090909,0.00757735230424083,0.00332092106898244,0.0109090909090909,0.00757735230424083,0.00332092106898244,2.03,4.55625915700765e-16,1.9968686188423e-16,1,0,0
10014,Default,Oracle,Recovery,0.99635761589404,0.00454524994141231,0.00199204361737007,0.00364238410596027,0.00454524994141231,0.00199204361737007,1.07284768211921,2.27812957850383e-16,9.9843430942115e-17,NaN,NaN,NaN
10014,Default,Oracle,Full,0.990515806988353,0.003704880281924,0.00162373537514061,0.00948419301164725,0.003704880281924,0.00162373537514061,1.69409317803661,0,0,1,0,0
10014,ForestGeometry,Link-delay-aware,Normal,0.8872,0.0326151401717217,0.0142942154218521,0.1128,0.0326151401717217,0.0142942154218522,3.46528,4.55625915700765e-16,1.9968686188423e-16,NaN,NaN,NaN
10014,ForestGeometry,Link-delay-aware,Coop_1,0.999,0.00244231699021684,0.0010703926152946,0.00100000000000001,0.00244231699021684,0.0010703926152946,2,0,0,NaN,NaN,NaN
10014,ForestGeometry,Link-delay-aware,LinkDeg_Emerg,1,0,0,0,0,0,2,0,0,NaN,NaN,NaN
10014,ForestGeometry,Link-delay-aware,PosDeg_Emerg,0.960909090909091,0.0212894466664811,0.00933051139012316,0.0381818181818182,0.0209807384893814,0.00919521406615899,2.22818181818182,9.11251831401531e-16,3.9937372376846e-16,0.825,0.157418873564722,0.068991863237504
10014,ForestGeometry,Link-delay-aware,Recovery,0.986092715231788,0.00801066647456025,0.00351082937731028,0.0139072847682119,0.00801066647456025,0.00351082937731028,1.27682119205298,2.27812957850383e-16,9.9843430942115e-17,NaN,NaN,NaN
10014,ForestGeometry,Link-delay-aware,Full,0.965640599001664,0.00694012524893963,0.00304164399848237,0.0341930116472545,0.00694432311731013,0.00304348379541363,2.16482529118136,4.55625915700765e-16,1.9968686188423e-16,0.825,0.157418873564722,0.068991863237504
10014,ForestGeometry,Confidence-driven,Normal,0.8944,0.0316400811762882,0.0138668769754632,0.1056,0.0316400811762882,0.0138668769754632,3.536,4.55625915700765e-16,1.9968686188423e-16,NaN,NaN,NaN
10014,ForestGeometry,Confidence-driven,Coop_1,0.999,0.00244231699021684,0.0010703926152946,0.00100000000000001,0.00244231699021684,0.0010703926152946,2,0,0,NaN,NaN,NaN
10014,ForestGeometry,Confidence-driven,LinkDeg_Emerg,1,0,0,0,0,0,2,0,0,NaN,NaN,NaN
10014,ForestGeometry,Confidence-driven,PosDeg_Emerg,0.990909090909091,0.00780359159344502,0.00342007480923144,0.00499999999999998,0.00623938855593871,0.00273453260202619,2.72372727272727,0.0821883439421174,0.0360206299064907,0.908333333333333,0.10080088647155,0.0441779363311544
10014,ForestGeometry,Confidence-driven,Recovery,0.995033112582782,0.00563375039220795,0.00246909997366764,0.00496688741721855,0.00563375039220795,0.00246909997366764,1.38327152317881,0.0116341495417716,0.00509889085021668,NaN,NaN,NaN
10014,ForestGeometry,Confidence-driven,Full,0.974875207986689,0.00617637346708898,0.00270691502166006,0.0243760399334442,0.00599378597189325,0.00262689252364464,2.29697836938436,0.0156349349620339,0.00685231237018358,0.908333333333333,0.10080088647155,0.0441779363311544
10014,ForestGeometry,Oracle,Normal,0.896,0.0313620622307976,0.0137450298002779,0.104,0.0313620622307976,0.0137450298002779,3.57632,9.11251831401531e-16,3.9937372376846e-16,NaN,NaN,NaN
10014,ForestGeometry,Oracle,Coop_1,0.999,0.00244231699021684,0.0010703926152946,0.00100000000000001,0.00244231699021684,0.0010703926152946,2,0,0,NaN,NaN,NaN
10014,ForestGeometry,Oracle,LinkDeg_Emerg,1,0,0,0,0,0,2,0,0,NaN,NaN,NaN
10014,ForestGeometry,Oracle,PosDeg_Emerg,0.990909090909091,0.00834239032256588,0.00365621376379437,0.00545454545454544,0.00685397304477319,0.00300388613023656,2.62489545454546,0.00937161248063331,0.00410729026283437,0.908333333333333,0.10080088647155,0.0441779363311544
10014,ForestGeometry,Oracle,Recovery,0.995033112582782,0.00563375039220795,0.00246909997366764,0.00496688741721855,0.00563375039220795,0.00246909997366764,1.38331125827815,2.27812957850383e-16,9.9843430942115e-17,NaN,NaN,NaN
10014,ForestGeometry,Oracle,Full,0.975207986688852,0.00617637346708898,0.00270691502166006,0.0241264559068219,0.00599925337015638,0.00262928871658322,2.28728535773711,0.00171527017116427,0.000751750297690199,0.908333333333333,0.10080088647155,0.0441779363311544
10006,Default,Link-delay-aware,Normal,0.7448,0.0364209309398636,0.0159621767675306,0.2552,0.0364209309398636,0.0159621767675306,1.5236,4.55625915700765e-16,1.9968686188423e-16,0.96578947368421,0.0392189379142418,0.0171884573915914
10006,Default,Link-delay-aware,Coop_1,0.999,0.00244231699021684,0.0010703926152946,0.00100000000000001,0.00244231699021684,0.0010703926152946,1.962,6.83438873551148e-16,2.99530292826345e-16,1,0,0
10006,Default,Link-delay-aware,LinkDeg_Emerg,0.992307692307692,0.00789214116988577,0.0034588833722023,0.00769230769230766,0.00789214116988577,0.0034588833722023,2.15230769230769,9.11251831401531e-16,3.9937372376846e-16,1,0,0
10006,Default,Link-delay-aware,PosDeg_Emerg,1,0,0,0,0,0,2.55,9.11251831401531e-16,3.9937372376846e-16,1,0,0
10006,Default,Link-delay-aware,Recovery,1,0,0,0,0,0,2.55,4.55625915700765e-16,1.9968686188423e-16,1,0,0
10006,Default,Link-delay-aware,Full,0.945840266222962,0.00721194524307534,0.00316077436345045,0.0541597337770382,0.00721194524307534,0.00316077436345045,2.14675540765392,0,0,0.997861842105263,0.0024511836196401,0.00107427858697445
10006,Default,Confidence-driven,Normal,0.9216,0.0234462431060815,0.0102757691068281,0.0784,0.0234462431060815,0.0102757691068281,2.08758,0.00318278262895172,0.00139491598992454,0.992105263157895,0.0192814499227644,0.00845046801548362
10006,Default,Confidence-driven,Coop_1,0.999,0.00244231699021684,0.0010703926152946,0.00100000000000001,0.00244231699021684,0.0010703926152946,1.986,2.27812957850383e-16,9.9843430942115e-17,1,0,0
10006,Default,Confidence-driven,LinkDeg_Emerg,0.993846153846154,0.00773268753769281,0.00338899973667713,0.00615384615384613,0.00773268753769281,0.00338899973667713,2.42553846153846,0.0983481128056471,0.0431029608756799,1,0,0
10006,Default,Confidence-driven,PosDeg_Emerg,1,0,0,0,0,0,2.86554545454545,0.0804629384966108,0.0352644376289701,1,0,0
10006,Default,Confidence-driven,Recovery,1,0,0,0,0,0,3.13788079470199,0.0185244890461287,0.00811871528409644,1,0,0
10006,Default,Confidence-driven,Full,0.982778702163062,0.00518568046141314,0.0022727246681772,0.0172212978369384,0.00518568046141314,0.0022727246681772,2.5050540765391,0.0152157789835213,0.0066686091630022,0.999506578947368,0.00120509062017277,0.000528154250967723
10006,Default,Oracle,Normal,0.9496,0.0218858281470958,0.00959188709823374,0.0504,0.0218858281470958,0.00959188709823374,2.22792,9.11251831401531e-16,3.9937372376846e-16,0.96578947368421,0.0392189379142418,0.0171884573915914
10006,Default,Oracle,Coop_1,0.999,0.00244231699021684,0.0010703926152946,0.00100000000000001,0.00244231699021684,0.0010703926152946,1.962,6.83438873551148e-16,2.99530292826345e-16,1,0,0
10006,Default,Oracle,LinkDeg_Emerg,0.992307692307692,0.00789214116988577,0.0034588833722023,0.00769230769230766,0.00789214116988577,0.0034588833722023,2.15230769230769,9.11251831401531e-16,3.9937372376846e-16,1,0,0
10006,Default,Oracle,PosDeg_Emerg,1,0,0,0,0,0,2.55,9.11251831401531e-16,3.9937372376846e-16,1,0,0
10006,Default,Oracle,Recovery,1,0,0,0,0,0,2.55,4.55625915700765e-16,1.9968686188423e-16,1,0,0
10006,Default,Oracle,Full,0.988435940099834,0.00459576525408566,0.00201418292928636,0.0115640599001664,0.00459576525408566,0.00201418292928636,2.2932445923461,9.11251831401531e-16,3.9937372376846e-16,0.997861842105263,0.0024511836196401,0.00107427858697445
10006,ForestGeometry,Link-delay-aware,Normal,0.4312,0.0329235158319527,0.0144293670138732,0.544,0.0361517270461738,0.0158441929591354,2.75296,9.11251831401531e-16,3.9937372376846e-16,0.481578947368421,0.13257242668097,0.0581024277681479
10006,ForestGeometry,Link-delay-aware,Coop_1,0.999,0.00244231699021684,0.0010703926152946,0.00100000000000001,0.00244231699021684,0.0010703926152946,1.962,6.83438873551148e-16,2.99530292826345e-16,1,0,0
10006,ForestGeometry,Link-delay-aware,LinkDeg_Emerg,0.893076923076923,0.0280032030912477,0.0122729448771534,0.106923076923077,0.0280032030912477,0.0122729448771534,2.15230769230769,9.11251831401531e-16,3.9937372376846e-16,0.95,0.0398991581366449,0.0174865770483562
10006,ForestGeometry,Link-delay-aware,PosDeg_Emerg,0.995909090909091,0.00549823017117543,0.00240970561806296,0.00409090909090907,0.00549823017117543,0.00240970561806296,2.55,9.11251831401531e-16,3.9937372376846e-16,0.995909090909091,0.00549823017117543,0.00240970561806296
10006,ForestGeometry,Link-delay-aware,Recovery,0.998013245033113,0.00311365792040814,0.00136462075066779,0.00198675496688743,0.00311365792040814,0.00136462075066779,2.55,4.55625915700765e-16,1.9968686188423e-16,0.998013245033113,0.00311365792040814,0.00136462075066779
10006,ForestGeometry,Link-delay-aware,Full,0.868635607321131,0.00779454406523601,0.00341610955516312,0.126206322795341,0.00820971479782982,0.00359806615131135,2.4024459234609,4.55625915700765e-16,1.9968686188423e-16,0.962171052631579,0.00927338070695436,0.00406423828982906
10006,ForestGeometry,Confidence-driven,Normal,0.4376,0.0328415654476554,0.0143934506743793,0.536,0.038933141071383,0.0170632014025875,2.798712,0.0423181724806881,0.0185467568286744,0.486842105263158,0.125336694818739,0.0549312284592098
