Method,MeanTimelyDelta_pp,MeanEmgDelta_pp,MeanCostDeltaPct,MaxCostDeltaPct,MinTimelyDelta_pp,MinEmgDelta_pp,Scene10017DefaultEmgDelta_pp,Scene10017ForestCostDeltaPct,Scene10019ForestTimelyDelta_pp,Scene10019ForestEmgDelta_pp,EmgGuard,CostGuard,BoundaryGuard,TimelyGuard,SelectionScore,Status
Risk-constrained-v5,0.28840820854132,-0.492470492470491,-2.27993605754917,11.5417502156474,-0.332778702163061,-0.555555555555556,-0.555555555555554,11.5417502156474,-0.332778702163061,-0.366300366300365,0,1,1,1,-0.568938148805032,NeedsCalibration
V4Cost0060,0.266222961730448,-0.492470492470491,-2.27993605754917,11.5417502156474,-0.332778702163061,-0.555555555555556,-0.555555555555554,11.5417502156474,-0.332778702163061,-0.366300366300365,0,1,1,1,-0.591123395615905,NeedsCalibration
