Config,Profile,Vegetation,Variant,Metric,Baseline_Mean,Baseline_Std,Proposed_Mean,Proposed_Std,Delta_Mean,CI_Lower,CI_Upper,P_Value,Significant
FG_Blind_Medium_Base,Blind,Medium,Base,TimelyRate,0.822628951747088,0.00538877772667384,0.844425956738769,0.00838392482408816,0.0217970049916805,0.0191887223827703,0.0244052876005907,0,***
FG_Blind_Medium_Base,Blind,Medium,Base,LossRate,0.17720465890183,0.0057237291848448,0.155241264559068,0.00815326685087043,-0.0219633943427621,-0.0244524645211774,-0.0194743241643467,0,***
FG_Blind_Medium_Base,Blind,Medium,Base,AvgDelay,0.0918905870145066,0.00171261012179189,0.0870958458604581,0.00267589621189547,-0.00479474115404851,-0.00560281563489713,-0.0039866666731999,4.81836792687318e-13,***
FG_Blind_Medium_Base,Blind,Medium,Base,AvgTxCost,1.82655574043261,0,2.19753577371048,0.028176290208428,0.370980033277869,0.360121108235192,0.381838958320545,0,***
FG_Blind_Medium_Base,Blind,Medium,Base,EmgTimely,0.971028037383178,0.0102850928468655,0.986915887850467,0.00482614747190955,0.0158878504672897,0.0124708857017079,0.0193048152328715,1.4601172715345e-08,***
FG_Blind_Medium_Plus,Blind,Medium,Plus,TimelyRate,0.815640599001664,0.0050101341278475,0.825291181364393,0.00496077199667174,0.00965058236272881,0.00827193256290276,0.0110292321625549,0,***
FG_Blind_Medium_Plus,Blind,Medium,Plus,LossRate,0.182196339434276,0.00539163119667879,0.172046589018303,0.00515538548580022,-0.0101497504159734,-0.0117044093710662,-0.00859509146088062,1.77635683940025e-15,***
FG_Blind_Medium_Plus,Blind,Medium,Plus,AvgDelay,0.0940585884250495,0.00155649759002212,0.0916328986491939,0.00163553560146101,-0.00242568977585555,-0.00290246916602958,-0.00194891038568152,5.65447910716443e-10,***
FG_Blind_Medium_Plus,Blind,Medium,Plus,AvgTxCost,1.92517470881864,2.3405556457178e-16,2.1947387687188,0.0240080913395342,0.269564059900164,0.260311526570005,0.278816593230324,0,***
FG_Blind_Medium_Plus,Blind,Medium,Plus,EmgTimely,0.969158878504673,0.0108364655021346,0.972897196261682,0.00929372828048368,0.00373831775700935,0.00187835772484399,0.0055982777891747,0.0143058866349626,*
FG_Curved_Dense_Base,Curved,Dense,Base,TimelyRate,0.803826955074875,0.00446813844950035,0.8261231281198,0.00613864215784213,0.0222961730449252,0.0196059710809207,0.0249863750089297,0,***
FG_Curved_Dense_Base,Curved,Dense,Base,LossRate,0.194841930116473,0.00467011301941672,0.169883527454243,0.00681316478716669,-0.0249584026622297,-0.0280113715640117,-0.0219054337604477,0,***
FG_Curved_Dense_Base,Curved,Dense,Base,AvgDelay,0.101078260865364,0.00147612529003997,0.0962551076065476,0.00227193045837559,-0.00482315325881649,-0.00556969674430843,-0.00407660977332455,3.5527136788005e-15,***
FG_Curved_Dense_Base,Curved,Dense,Base,AvgTxCost,1.61089850249584,4.6811112914356e-16,1.99814143094842,0.0597164476047396,0.387242928452578,0.364228669884187,0.410257187020969,0,***
FG_Curved_Dense_Base,Curved,Dense,Base,EmgTimely,0.88411214953271,0.0302678076049623,0.936448598130841,0.0175121113053647,0.0523364485981308,0.0399522244167164,0.0647206727795453,2.60446596733743e-07,***
FG_Curved_Dense_Plus,Curved,Dense,Plus,TimelyRate,0.941098169717138,0.0251389292942257,0.954242928452579,0.0232581656641839,0.013144758735441,0.0099822613322584,0.0163072561386235,4.07937465141117e-07,***
FG_Curved_Dense_Plus,Curved,Dense,Plus,LossRate,0.037936772046589,0.0175530031679223,0.0176372712146422,0.0117968368019039,-0.0202995008319467,-0.0238608702716763,-0.0167381313922172,3.76587649952853e-12,***
FG_Curved_Dense_Plus,Curved,Dense,Plus,AvgDelay,0.0209809399589781,0.00245011110863492,0.0206651227055744,0.00229065950262708,-0.000315817253403689,-0.000620630867991366,-1.10036388160124e-05,0.20669262102737,n.s.
FG_Curved_Dense_Plus,Curved,Dense,Plus,AvgTxCost,2.09571547420965,0.0715729011927538,2.35812146422629,0.0983038210451394,0.262405990016637,0.248581899768063,0.276230080265211,0,***
FG_Curved_Dense_Plus,Curved,Dense,Plus,EmgTimely,0.812105295526311,0.0846261608835705,0.846544420767895,0.0817593087342809,0.0344391252415839,0.0264264211834306,0.0424518292997371,1.62534635084199e-07,***
FG_Straight_Sparse_Base,Straight,Sparse,Base,TimelyRate,0.990848585690516,0.00179721039889292,0.991846921797005,0.00122772843156842,0.000998336106489184,0.000457585165587354,0.00153908704739101,0.0244488677837402,*
FG_Straight_Sparse_Base,Straight,Sparse,Base,LossRate,0.00915141430948418,0.00179721039889292,0.008153078202995,0.00122772843156842,-0.000998336106489184,-0.00153908704739101,-0.000457585165587354,0.0244488677837402,*
FG_Straight_Sparse_Base,Straight,Sparse,Base,AvgDelay,0.0165675847860752,0.000589863237380654,0.0161788709803391,0.000404963233904726,-0.000388713805736076,-0.000618095888801974,-0.000159331722670178,0.0388988309079767,*
FG_Straight_Sparse_Base,Straight,Sparse,Base,AvgTxCost,1.55292845257904,0,1.68275041597338,0.0194708184630448,0.129821963394342,0.122318060054131,0.137325866734552,0,***
FG_Straight_Sparse_Base,Straight,Sparse,Base,EmgTimely,0.999065420560748,0.00295539968240036,0.999065420560748,0.00295539968240036,0,0,0,1,n.s.
FG_Straight_Sparse_Plus,Straight,Sparse,Plus,TimelyRate,0.941098169717138,0.0251389292942257,0.954242928452579,0.0232581656641839,0.013144758735441,0.0099822613322584,0.0163072561386235,4.07937465141117e-07,***
FG_Straight_Sparse_Plus,Straight,Sparse,Plus,LossRate,0.037936772046589,0.0175530031679223,0.0176372712146422,0.0117968368019039,-0.0202995008319467,-0.0238608702716763,-0.0167381313922172,3.76587649952853e-12,***
FG_Straight_Sparse_Plus,Straight,Sparse,Plus,AvgDelay,0.0209809399589781,0.00245011110863492,0.0206651227055744,0.00229065950262708,-0.000315817253403689,-0.000620630867991366,-1.10036388160124e-05,0.20669262102737,n.s.
FG_Straight_Sparse_Plus,Straight,Sparse,Plus,AvgTxCost,2.09571547420965,0.0715729011927538,2.35812146422629,0.0983038210451394,0.262405990016637,0.248581899768063,0.276230080265211,0,***
FG_Straight_Sparse_Plus,Straight,Sparse,Plus,EmgTimely,0.812105295526311,0.0846261608835705,0.846544420767895,0.0817593087342809,0.0344391252415839,0.0264264211834306,0.0424518292997371,1.62534635084199e-07,***
