Scene,SceneRole,GeometryType,DensityClass,VegetationClass,Config,SelectorTimely_pct,SelectorEmgTimely_pct,SelectorCost,TimelyGainVsV6_pp,EmgGainVsV6_pp,CostDeltaVsV6,TimelyGainVsBudgeted_pp,EmgGainVsBudgeted_pp,CostDeltaVsBudgeted,FallbackRate_pct,Decision
10014,Primary,CurvedBlind,Medium,Dense,ModerateForestGeometry,81.630615640599,6.66666666666667,2.3006306156406,0.116472545757063,0,0.0693910149750407,0,0,0.00599001663893572,1.16472545757072,SelectorPromising
10006,Reference,Mixed,Medium,Mixed,ModerateForestGeometry,74.7254575707155,82.9276315789474,3.02524792013311,0.0831946755407653,-0.0328947368421151,-0.0493610648918352,-0.549084858569049,-1.08552631578949,0.156241264559066,11.3144758735441,SelectorNeutral
10011,Boundary,Open,Low,Sparse,ModerateForestGeometry,96.2728785357737,96,2.02967387687188,0.299500831946753,0,-0.0112146422628947,0.0166389351081375,0,0.0023194675540763,0.149750415973378,SelectorPromising
10019,DenseBlind,ShortRangeOccluded,High,Dense,ModerateForestGeometry,96.9051580698835,96.5934065934066,3.10326622296173,-0.0998336106489139,-0.109890109890109,-0.0691697171381018,0.831946755407653,0.915750915750912,0.441668885191337,85.1913477537438,SelectorNeutral
10017,LongRange,LongMixed,Medium,Mixed,ModerateForestGeometry,55.5241264559068,4.16666666666667,3.48422296173045,0.565723793677209,-0.277777777777777,0.530688851913478,0,0,0.0280199667221286,3.19467554076539,SelectorRisky
10013,HeldOutHighNLOS,ShortHighNLOS,High,Dense,ModerateForestGeometry,84.6921797004992,87.1559633027523,3.4837071547421,0.86522462562395,0.0733944954128485,-0.298464226289506,0.0332778702162972,0.0366972477064187,0.101247920133105,22.6622296173045,SelectorPromising
10007,HeldOutLongMixed,LongMixed,Medium,Mixed,ModerateForestGeometry,87.5707154742096,100,2.62805324459235,0.0998336106489139,0,-0.00101497504158798,0,0,0.0321131447587346,5.37437603993344,SelectorPromising
10015,HeldOutBoundary,LongLowNLOS,Low,Sparse,ModerateForestGeometry,93.1281198003328,100,1.31155906821963,-2.22044604925031e-14,0,-0.0319933444259561,0,0,0.000199667221297828,0.0332778702163062,SelectorNeutral
