Config,Method,Stage,TimelyRateMean,TimelyRateStd,TimelyRateCI95,LossRateMean,LossRateStd,LossRateCI95,AvgTxCostMean,AvgTxCostStd,AvgTxCostCI95,EmergencyTimelyRateMean,EmergencyTimelyRateStd,EmergencyTimelyRateCI95
Default,Link-delay-aware,Normal,0.8696,0.0288176191315971,0.0103122525672859,0.1304,0.0288176191315971,0.0103122525672859,1.312,0,0,NaN,NaN,NaN
Default,Link-delay-aware,Coop_1,0.998888888888889,0.00252699347859636,0.000904273002851842,0.00111111111111112,0.00252699347859636,0.000904273002851841,2,0,0,NaN,NaN,NaN
Default,Link-delay-aware,LinkDeg_Emerg,0.999487179487179,0.00280883362823161,0.0010051282051282,0.000512820512820511,0.00280883362823161,0.0010051282051282,2,0,0,NaN,NaN,NaN
Default,Link-delay-aware,PosDeg_Emerg,0.98939393939394,0.00863540114528902,0.00309013861358209,0.0106060606060606,0.00863540114528902,0.00309013861358209,2.03,9.03362056653392e-16,3.23263960335238e-16,1,0,0
Default,Link-delay-aware,Recovery,0.994481236203091,0.00552256852938273,0.00197622576782189,0.0055187637969095,0.00552256852938273,0.00197622576782189,1.07284768211921,6.77521542490044e-16,2.42447970251428e-16,NaN,NaN,NaN
Default,Link-delay-aware,Full,0.969217970049917,0.00587463217907412,0.00210221012686276,0.0307820299500832,0.00587463217907412,0.00210221012686276,1.62945091514143,0,0,1,0,0
Default,Confidence-driven,Normal,0.878666666666667,0.0303057219285269,0.010844763314199,0.121333333333333,0.0303057219285269,0.010844763314199,1.34952,0.00479931029527634,0.00171741113267056,NaN,NaN,NaN
Default,Confidence-driven,Coop_1,0.998888888888889,0.00252699347859636,0.000904273002851842,0.00111111111111112,0.00252699347859636,0.000904273002851841,2,0,0,NaN,NaN,NaN
Default,Confidence-driven,LinkDeg_Emerg,0.999487179487179,0.00280883362823161,0.0010051282051282,0.000512820512820511,0.00280883362823161,0.0010051282051282,2.18235897435898,0.0893858830457765,0.031986327451571,NaN,NaN,NaN
Default,Confidence-driven,PosDeg_Emerg,0.999090909090909,0.00365979909033135,0.00130964228490476,0.000909090909090908,0.00365979909033135,0.00130964228490476,2.99246060606061,0.126567859899323,0.0452917269890484,1,0,0
Default,Confidence-driven,Recovery,0.997350993377484,0.00510021256913218,0.00182508762849424,0.00264900662251656,0.00510021256913218,0.00182508762849424,1.14302207505519,0.0405946405821015,0.014526605568946,NaN,NaN,NaN
Default,Confidence-driven,Full,0.973599556295064,0.00614442815762941,0.00219875537787031,0.0264004437049362,0.00614442815762941,0.00219875537787031,1.85076594564614,0.0292619232857678,0.0104712447669391,1,0,0
Default,Oracle,Normal,0.972533333333333,0.0152490436858622,0.00545680020199059,0.0274666666666667,0.0152490436858622,0.00545680020199059,1.6228,4.51681028326696e-16,1.61631980167619e-16,NaN,NaN,NaN
Default,Oracle,Coop_1,0.998888888888889,0.00252699347859636,0.000904273002851842,0.00111111111111112,0.00252699347859636,0.000904273002851841,2,0,0,NaN,NaN,NaN
Default,Oracle,LinkDeg_Emerg,0.999487179487179,0.00280883362823161,0.0010051282051282,0.000512820512820511,0.00280883362823161,0.0010051282051282,2.19353846153846,0.0867386367419754,0.0310390225278732,NaN,NaN,NaN
Default,Oracle,PosDeg_Emerg,0.998787878787879,0.00394702259504822,0.00141242389605645,0.00121212121212121,0.00394702259504822,0.00141242389605645,2.94421212121212,0.11770690285844,0.0421208742348295,1,0,0
Default,Oracle,Recovery,0.997350993377484,0.00510021256913218,0.00182508762849424,0.00264900662251656,0.00510021256913218,0.00182508762849424,1.1324944812362,0.0353517546636469,0.0126504629380897,NaN,NaN,NaN
Default,Oracle,Full,0.993067110371603,0.003123065847609,0.0011175747606955,0.00693288962839711,0.003123065847609,0.0011175747606955,1.89733777038269,0.0268574746979287,0.00961082389005747,1,0,0
