Config,Method,TimelyRateMean,TimelyRateStd,TimelyRateCI95,LossRateMean,LossRateStd,LossRateCI95,AvgTxCostMean,AvgTxCostStd,AvgTxCostCI95,EmergencyTimelyRateMean,EmergencyTimelyRateStd,EmergencyTimelyRateCI95
Default,Link-delay-aware,0.969217970049917,0.00587463217907412,0.00210221012686276,0.0307820299500832,0.00587463217907412,0.00210221012686276,1.62945091514143,0,0,1,0,0
Default,Confidence-driven,0.973599556295064,0.00614442815762941,0.00219875537787031,0.0264004437049362,0.00614442815762941,0.00219875537787031,1.85076594564614,0.0292619232857678,0.0104712447669391,1,0,0
Default,Oracle,0.993067110371603,0.003123065847609,0.0011175747606955,0.00693288962839711,0.003123065847609,0.0011175747606955,1.89733777038269,0.0268574746979287,0.00961082389005747,1,0,0
ForestGeometry,Link-delay-aware,0.966777592900721,0.00686017676367921,0.00245488272713406,0.0330560177481974,0.0068914168727528,0.0024660618565939,2.16482529118137,9.03362056653392e-16,3.23263960335238e-16,0.822222222222222,0.163377505951187,0.0584638896602878
ForestGeometry,Confidence-driven,0.974986134220743,0.00614054263955089,0.00219736496308283,0.0243483083749306,0.00587029705649936,0.00210065882317257,2.47006489184692,0.0439517700525543,0.0157279389213751,0.916666666666667,0.0953919119120565,0.0341355572790823
ForestGeometry,Oracle,0.975818080976151,0.00620626562453558,0.00222088363121232,0.023516361619523,0.00598704086667292,0.00214243505911627,2.4804719911259,0.037291132110025,0.0133444602443564,0.911111111111111,0.104801704138309,0.0375028081820693
