Config,Stage,Metric,Baseline_Mean,Baseline_Std,Proposed_Mean,Proposed_Std,Delta_Mean,CI_Lower,CI_Upper,P_Value,Significant
Generic,PosDeg_Emerg,TimelyRate,0.989090909090909,0.00757735230424083,1,0,0.0109090909090909,0.00891545210564289,0.0129027297125389,1.21216814363834e-10,***
Generic,PosDeg_Emerg,LossRate,0.0109090909090909,0.00757735230424083,0,0,-0.0109090909090909,-0.0129027297125389,-0.00891545210564289,1.21216814363834e-10,***
Generic,PosDeg_Emerg,AvgDelay,0.0121129265687262,0.000155560970986275,0.0135801182568634,0.000486671500034074,0.00146719168813719,0.00135324593018616,0.00158113744608822,0,***
Generic,PosDeg_Emerg,AvgTxCost,2.03,4.55625915700765e-16,3.31576363636364,0.166937940924321,1.28576363636364,1.24184143987184,1.32968583285543,0,***
Generic,PosDeg_Emerg,EmgTimely,1,0,1,0,0,0,0,1,n.s.
ForestParam,PosDeg_Emerg,TimelyRate,0.958636363636364,0.0209548075210133,0.991818181818182,0.00716426296047647,0.0331818181818182,0.0279602164980604,0.038403419865576,7.63833440942108e-14,***
ForestParam,PosDeg_Emerg,LossRate,0.0404545454545454,0.0207461929930761,0.00454545454545453,0.0062567927419244,-0.0359090909090909,-0.0410843546676502,-0.0307338271505316,4.44089209850063e-16,***
ForestParam,PosDeg_Emerg,AvgDelay,0.0171574101413433,0.000829466649240522,0.0196037273301192,0.000567859534255688,0.00244631718877594,0.00226246583601107,0.0026301685415408,0,***
ForestParam,PosDeg_Emerg,AvgTxCost,2.22272727272727,9.11251831401531e-16,3.56408181818182,0.21346678783474,1.34135454545455,1.28519037961042,1.39751871129867,0,***
ForestParam,PosDeg_Emerg,EmgTimely,0.825,0.157418873564722,0.916666666666667,0.0854981960070962,0.0916666666666667,0.058377110361388,0.124956222971945,0.00119534547259437,**
ForestGeometryDemo,PosDeg_Emerg,TimelyRate,0.873636363636364,0.0312004282769147,0.878181818181818,0.0327644658408401,0.00454545454545455,0.0010318616461049,0.00805904744480419,0.12796064001005,n.s.
ForestGeometryDemo,PosDeg_Emerg,LossRate,0.101818181818182,0.0331865697587623,0.0972727272727273,0.034027852368936,-0.00454545454545455,-0.0080590474448042,-0.00103186164610491,0.127960640010049,n.s.
ForestGeometryDemo,PosDeg_Emerg,AvgDelay,0.0300500501158724,0.00161384254446566,0.0303732890916869,0.0015619254110597,0.000323238975814512,0.000107599753263806,0.000538878198365219,0.0777719821855705,n.s.
ForestGeometryDemo,PosDeg_Emerg,AvgTxCost,3.63163636363636,9.11251831401531e-16,3.99067272727273,0.0639377102811657,0.359036363636367,0.342214036377173,0.375858690895561,0,***
ForestGeometryDemo,PosDeg_Emerg,EmgTimely,0.941525423728814,0.0177976721147841,0.940677966101695,0.0169491525423729,-0.000847457627118642,-0.00184461105962403,0.000149695805386746,0.317310527664728,n.s.
