Config,Stage,Metric,Baseline_Mean,Baseline_Std,Proposed_Mean,Proposed_Std,Delta_Mean,CI_Lower,CI_Upper,P_Value,Significant
Generic,PosDeg_Emerg,TimelyRate,1,0,0.999090909090909,0.00287479787288033,-0.000909090909090904,-0.00201701584823408,0.000198834030052272,0.317310527664727,n.s.
Generic,PosDeg_Emerg,LossRate,0,0,0.000909090909090904,0.00287479787288033,0.000909090909090904,-0.000198834030052272,0.00201701584823408,0.317310527664727,n.s.
Generic,PosDeg_Emerg,AvgDelay,0.0135955304072963,0.000594597451377595,0.0146522063250622,0.0013245093000606,0.0010566759177659,0.000524846425702221,0.00158850540982958,0.0154594561676258,*
Generic,PosDeg_Emerg,AvgTxCost,3.2962,0.127319917658263,2.90054545454546,0.0811127841129654,-0.395654545454545,-0.427962432869827,-0.363346658039262,0,***
Generic,PosDeg_Emerg,EmgTimely,1,0,1,0,0,0,0,1,n.s.
ForestParam,PosDeg_Emerg,TimelyRate,0.989090909090909,0.00717100579769651,0.977272727272727,0.0161773912909565,-0.0118181818181818,-0.0165041789846205,-0.00713218465174311,0.0021148484968283,**
ForestParam,PosDeg_Emerg,LossRate,0.00545454545454545,0.00766612766101425,0.0172727272727273,0.0168447783147725,0.0118181818181818,0.00713218465174311,0.0165041789846205,0.0021148484968283,**
ForestParam,PosDeg_Emerg,AvgDelay,0.0197474842449853,0.000597965879300811,0.0199092010521255,0.00109715534157941,0.000161716807140188,-0.000164488646006391,0.000487922260286766,0.545723303934124,n.s.
ForestParam,PosDeg_Emerg,AvgTxCost,3.54067272727273,0.130320521729459,3.15929090909091,0.121132297958949,-0.381381818181818,-0.402995814292438,-0.359767822071198,0,***
ForestParam,PosDeg_Emerg,EmgTimely,0.883333333333333,0.0805076485899413,0.883333333333333,0.0805076485899413,0,0,0,1,n.s.
ForestGeometryDemo,PosDeg_Emerg,TimelyRate,0.975454545454546,0.0171687460293519,0.933636363636364,0.031796529429272,-0.0418181818181818,-0.0552561335309271,-0.0283802301054366,0.000149138023453066,***
ForestGeometryDemo,PosDeg_Emerg,LossRate,0.0236363636363636,0.0161489849629991,0.0654545454545455,0.0320123942939255,0.0418181818181818,0.0283802301054366,0.0552561335309271,0.000149138023453066,***
ForestGeometryDemo,PosDeg_Emerg,AvgDelay,0.0280135331599538,0.00101444951750196,0.0249505577981212,0.00146042977977046,-0.00306297536183257,-0.00377240084949848,-0.00235354987416665,1.42888663123841e-07,***
ForestGeometryDemo,PosDeg_Emerg,AvgTxCost,3.94103636363637,0.0474918039422555,3.08579090909091,0.176222712884213,-0.855245454545458,-0.914884932814752,-0.795605976276164,0,***
ForestGeometryDemo,PosDeg_Emerg,EmgTimely,0.989830508474576,0.00875250473719188,0.977966101694915,0.0160793779330596,-0.011864406779661,-0.0180612750833432,-0.00566753847597882,0.0196306144870619,*
