Scene,SceneRole,GeometryType,DensityClass,VegetationClass,Config,BaselineMethod,DeltaTimely_pp,DeltaEmergency_pp,DeltaLoss_pp,DeltaDelay_pct,DeltaCost_pct,CostEfficiencyClass,BoundaryEvidence
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,Confidence-heuristic,0.522462562395998,-0.00657894736849629,-0.429284525790402,-2.41204952572555,10.8645532884467,WeakGainWithCost,"Step55 class: WeakNonnegative"
10019,DenseBlind,ShortRangeOccluded,High,Dense,ForestGeometry,Confidence-heuristic,-0.672212978369402,-0.7399267399267,-0.625623960066601,1.24923517772273,-0.526808048675716,CostInefficientBoundary,"DeadlineReliabilityTradeoff: V6 improves packet loss versus heuristic but loses timely/emergency delivery, indicating deadline mismatch rather than pure reliability failure."
10013,HeldOutHighNLOS,ShortHighNLOS,High,Dense,ForestGeometry,Confidence-heuristic,-0.459234608984993,-0.535779816513804,-2.0865224625624,1.45731303779324,6.25157095124135,CostInefficientBoundary,"Step55 class: Boundary"
