Config,Profile,Vegetation,Method,TimelyRateMean,TimelyRateStd,TimelyRateCI95,LossRateMean,LossRateStd,LossRateCI95,AvgDelayMean,AvgDelayStd,AvgDelayCI95,AvgTxCostMean,AvgTxCostStd,AvgTxCostCI95,EmergencyTimelyRateMean,EmergencyTimelyRateStd,EmergencyTimelyRateCI95
FG_blind_medium,blind,medium,Link-delay-aware,0.822628951747088,0.0053887777266738,0.003339999038452,0.17720465890183,0.00572372918484473,0.0035476041030813,0.0918905870145066,0.0017126101217919,0.00106148675082927,1.82655574043261,2.3405556457178e-16,1.45069141884354e-16,0.971028037383178,0.0102850928468654,0.00637476659111038
FG_blind_medium,blind,medium,Confidence-driven,0.844425956738769,0.00838392482408809,0.00519641044244599,0.155241264559068,0.0081532668508704,0.00505344714950018,0.0870958458604581,0.00267589621189545,0.00165853765511401,2.19753577371048,0.0281762902084282,0.0174638456022166,0.986915887850467,0.00482614747190984,0.00299127719367932
FG_blind_medium,blind,medium,Oracle,0.857071547420965,0.00878525969569443,0.00544516037299654,0.142595673876872,0.00904746080916377,0.00560767430682123,0.0829489673537248,0.00330646991382797,0.00204937128473334,2.25747254575707,0.0197510762709183,0.0122418439021381,0.98785046728972,0.00451444758448296,0.00279808360190467
FG_blind_sparse,blind,sparse,Link-delay-aware,0.9738768718802,0.0042997332098312,0.00266500225373013,0.0259567387687188,0.00458703785427293,0.00284307551725114,0.0218962459634751,0.0011461517783216,0.000710392232094734,1.66765391014975,2.3405556457178e-16,1.45069141884354e-16,0.986915887850467,0.00653463456803852,0.00405020846672696
FG_blind_sparse,blind,sparse,Confidence-driven,0.977371048252912,0.00458703785427292,0.00284307551725113,0.0224625623960067,0.00485104150985464,0.00300670667825191,0.0213309060490121,0.00131153555083339,0.000812898156291745,1.85443427620632,0.016647474698982,0.0103182117184066,0.991588785046729,0.00530510478689296,0.00328813801307901
FG_blind_sparse,blind,sparse,Oracle,0.981031613976705,0.00385857507064358,0.00239156960621185,0.0186356073211315,0.00406056688135841,0.0025167654275617,0.0203863363028506,0.00139272169359959,0.000863217848906363,1.80352412645591,0.0111078398129605,0.00688471044387774,0.990654205607477,0.00440564972701904,0.00273064999121473
FG_curved_dense,curved,dense,Link-delay-aware,0.820465890183028,0.0058932008692798,0.00365264374133844,0.179201331114809,0.00560424540391307,0.00347354728840754,0.0956748999494108,0.00178993352736452,0.00110941229412716,1.59565723793677,0,0,0.932710280373832,0.0210366891166782,0.0130386749993654
FG_curved_dense,curved,dense,Confidence-driven,0.851580698835275,0.0040605668813585,0.00251676542756176,0.147920133111481,0.00425659098266221,0.00263826242429759,0.0869981267460809,0.00203377196992744,0.00126054492661012,1.95206322795341,0.052334857922306,0.0324374810029357,0.977570093457944,0.0109699793530587,0.00679926364557441
FG_curved_dense,curved,dense,Oracle,0.871381031613977,0.00617860119429123,0.00382953669544818,0.128119800332779,0.00560150024312936,0.00347184582012604,0.0788751093525372,0.00283579650403302,0.0017576448829635,2.05681198003328,0.0451477452882993,0.0279828624411036,0.974766355140187,0.0146450582847889,0.00907710116658697
FG_curved_medium,curved,medium,Link-delay-aware,0.875540765391015,0.00462710008089077,0.00286790634256418,0.124292845257903,0.00429973320983132,0.0026650022537302,0.0701731438081377,0.00170867380345271,0.001059046995446,1.56956738768719,0,0,0.962616822429906,0.0170630080219679,0.010575761940296
FG_curved_medium,curved,medium,Confidence-driven,0.89351081530782,0.00526169327815033,0.00326123128119797,0.106322795341098,0.00498859829656548,0.00309196525796148,0.0652839174349451,0.00220948298322091,0.00136945174095889,1.82728286189684,0.0403523012732438,0.0250106154471415,0.985981308411215,0.0118625749312522,0.00735250011664577
FG_curved_medium,curved,medium,Oracle,0.912146422628952,0.00428181010884501,0.0026538934006476,0.0876871880199667,0.00392575449122274,0.00243320784247227,0.0581104888567083,0.00186393377026936,0.00115527811986422,1.90981697171381,0.0317327870310033,0.0196681851705125,0.990654205607477,0.00763080916754893,0.00472962452247142
FG_curved_sparse,curved,sparse,Link-delay-aware,0.974542429284526,0.00342347184958648,0.00212188983583188,0.0254575707154742,0.00342347184958644,0.00212188983583186,0.0235367025596776,0.00116146648112367,0.000719884383233183,1.55808652246256,0,0,0.990654205607477,0.0116562535413517,0.00722462079431473
FG_curved_sparse,curved,sparse,Confidence-driven,0.978535773710483,0.00371644272163098,0.00230347506360617,0.0214642262895175,0.00371644272163081,0.00230347506360606,0.0227906608604645,0.00137510735733744,0.000852300370182504,1.71435274542429,0.0209137392892948,0.012962469906844,0.993457943925234,0.00990046640627457,0.00613637265339468
FG_curved_sparse,curved,sparse,Oracle,0.983361064891847,0.00271712672521717,0.00168409259202814,0.0166389351081531,0.00271712672521707,0.00168409259202808,0.02121628343396,0.00104809609910169,0.000649616692460183,1.68222129783694,0.0182574965090738,0.0113161135748843,0.999065420560748,0.00295539968240025,0.00183177570093451
FG_straight_dense,straight,dense,Link-delay-aware,0.903993344425957,0.00701778306728182,0.00434966700904435,0.0960066555740433,0.00701778306728186,0.00434966700904438,0.0657644387818662,0.00283629128155548,0.00175795154924907,1.88291181364393,4.6811112914356e-16,2.90138283768708e-16,0.993457943925234,0.00886619904720099,0.00549532710280369
FG_straight_dense,straight,dense,Confidence-driven,0.917138103161398,0.00507116115392673,0.00314313824712254,0.0828618968386024,0.00507116115392677,0.00314313824712256,0.0609321402657086,0.0022203298358569,0.00137617468987458,2.07909317803661,0.0359858741886277,0.0223042759015522,0.999065420560748,0.00295539968240025,0.00183177570093451
FG_straight_dense,straight,dense,Oracle,0.936272878535774,0.00848603815523889,0.00525970094080309,0.0637271214642263,0.00848603815523886,0.00525970094080308,0.0527655781471017,0.00332540397938473,0.0020611067401485,2.09357737104826,0.017519454615556,0.0108586704700249,0.993457943925234,0.00886619904720099,0.00549532710280369
FG_straight_medium,straight,medium,Link-delay-aware,0.968053244592346,0.00357726355997711,0.002217210925489,0.0319467554076539,0.00357726355997715,0.00221721092548903,0.0312335041219915,0.00140394916703405,0.000870176709037059,1.72883527454243,2.3405556457178e-16,1.45069141884354e-16,0.998130841121495,0.003940532909867,0.00244236760124602
FG_straight_medium,straight,medium,Confidence-driven,0.969051580698835,0.00315701596689004,0.00195673876871869,0.0309484193011647,0.00315701596689021,0.00195673876871879,0.0310429344798443,0.00133705594589643,0.0008287158610283,1.86589517470882,0.0217129114833704,0.0134578019645309,1,0,0
FG_straight_medium,straight,medium,Oracle,0.97171381031614,0.00384259746548826,0.0023816665839381,0.0282861896838602,0.00384259746548834,0.00238166658393815,0.0298129747323473,0.00140501921228652,0.000870839929955725,1.78638103161398,0.0147449012162646,0.00913898445664626,0.998130841121495,0.003940532909867,0.00244236760124602
FG_straight_sparse,straight,sparse,Link-delay-aware,0.995008319467554,0.00303784003053348,0.00188287275808936,0.00499168053244592,0.00303784003053336,0.00188287275808929,0.0147907247013528,0.0011872068728174,0.000735838443294131,1.56863560732113,2.3405556457178e-16,1.45069141884354e-16,0.999065420560748,0.00295539968240025,0.00183177570093451
FG_straight_sparse,straight,sparse,Confidence-driven,0.99567387687188,0.00284974655100745,0.00176629121165698,0.0043261231281198,0.00284974655100724,0.00176629121165685,0.0146247556847652,0.00122954834400929,0.000762081959030091,1.69576206322795,0.0188351733660642,0.0116741614003371,1,0,0
FG_straight_sparse,straight,sparse,Oracle,0.99567387687188,0.00325299574012557,0.00201622764849391,0.0043261231281198,0.00325299574012538,0.00201622764849379,0.0145466341830551,0.00125229342518035,0.000776179506395017,1.59408485856905,0.0144589192082653,0.00896173097168546,0.999065420560748,0.00295539968240025,0.00183177570093451
