Scene,Config,Metric,Baseline_Mean,Baseline_Std,Proposed_Mean,Proposed_Std,Delta_Mean,CI_Lower,CI_Upper,P_Value,Significant
10014,Default,TimelyRate,0.965890183028286,0.00823585269268857,0.969217970049917,0.00823585269268857,0.00332778702163061,0.00332778702163061,0.00332778702163061,0,***
10014,Default,LossRate,0.0341098169717138,0.00823585269268857,0.0307820299500832,0.00823585269268857,-0.00332778702163061,-0.00332778702163061,-0.00332778702163061,0,***
10014,Default,AvgDelay,0.0251170033189585,0.0024800996758926,0.0250375194104546,0.0024423850620651,-7.94839085039127e-05,-0.000137664030723229,-2.13037862845965e-05,0.00287821583332937,**
10014,Default,AvgTxCost,1.62945091514143,0,1.89791181364393,0.0154716375584074,0.268460898502495,0.244593710886621,0.292328086118368,0,***
10014,Default,EmgTimely,1,0,1,0,0,0,0,1,n.s.
10014,ForestGeometry,TimelyRate,0.963394342762063,0.00470620153867918,0.979201331114809,0.0011765503846698,0.0158069883527454,0.00673201207294534,0.0248819646325455,0.000144744875131497,***
10014,ForestGeometry,LossRate,0.0357737104825291,0.00588275192334898,0.019134775374376,0.0011765503846698,-0.0166389351081531,-0.0275289066439132,-0.00574896357239298,0.000858233105632156,***
10014,ForestGeometry,AvgDelay,0.0339205274490769,0.00113869248445017,0.032471873589836,0.00051438415927018,-0.00144865385924093,-0.00399875821956783,0.00110145050108597,0.215223794594145,n.s.
10014,ForestGeometry,AvgTxCost,2.2112146422629,0,2.57435940099834,0.038402604555622,0.363144758735441,0.303903313580906,0.422386203889976,0,***
10014,ForestGeometry,EmgTimely,0.666666666666667,0.235702260395516,0.833333333333333,0,0.166666666666667,-0.19693738294399,0.530270716277323,0.317310527664727,n.s.
10006,Default,TimelyRate,0.94675540765391,0.00235310076933959,0.979201331114809,0.00823585269268857,0.0324459234608985,0.0233709471810984,0.0415208997406985,6.21724893790088e-15,***
10006,Default,LossRate,0.0532445923460898,0.00235310076933959,0.0207986688851913,0.00823585269268857,-0.0324459234608985,-0.0415208997406985,-0.0233709471810984,6.21724893790088e-15,***
10006,Default,AvgDelay,0.0330036767846015,0.000201418966018563,0.0234792279191152,0.00390422212438813,-0.00952444886548638,-0.0158579805177275,-0.00319091721324523,0.00103541358996528,**
10006,Default,AvgTxCost,2.14675540765392,0,2.47861896838602,0.0260017635012023,0.331863560732105,0.291752165575389,0.371974955888821,0,***
10006,Default,EmgTimely,0.998355263157895,0.00232600914863995,1,0,0.00164473684210525,-0.00194346101589463,0.00523293470010514,0.317310527664727,n.s.
10006,ForestGeometry,TimelyRate,0.885191347753744,0.00235310076933959,0.896838602329451,0,0.0116472545757071,0.00801726406378712,0.0152772450876272,2.57616150634021e-12,***
10006,ForestGeometry,LossRate,0.113144758735441,0.00470620153867918,0.101497504159734,0.00235310076933959,-0.0116472545757071,-0.0152772450876272,-0.00801726406378712,2.57616150634021e-12,***
10006,ForestGeometry,AvgDelay,0.0605281236138465,0.00120180975832141,0.0594671842288053,0.0016464650584497,-0.00106093938504114,-0.00174688303079229,-0.000374995739289984,0.000740176816116822,***
10006,ForestGeometry,AvgTxCost,2.47332778702164,0,2.7634775374376,0.0646632091414516,0.290149750415966,0.190397611148404,0.389901889683527,2.22401652649751e-10,***
10006,ForestGeometry,EmgTimely,0.975328947368421,0.00697802744591984,0.978618421052632,0.00232600914863995,0.00328947368421051,-0.00388692203178925,0.0104658694002103,0.317310527664727,n.s.
10017,Default,TimelyRate,0.910981697171381,0.00352965115400939,0.955074875207987,0.00705930230801877,0.0440931780366057,0.0386481922687257,0.0495381638044858,0,***
10017,Default,LossRate,0.089018302828619,0.00352965115400939,0.0449251247920133,0.00705930230801877,-0.0440931780366057,-0.0495381638044858,-0.0386481922687257,0,***
10017,Default,AvgDelay,0.0362395637541595,0.00138194754483563,0.0254593213200417,0.000736411940306934,-0.0107802424341178,-0.0117760723408002,-0.00978441252743541,0,***
10017,Default,AvgTxCost,1.92312811980033,0,2.36202995008319,0.0146362867852919,0.438901830282861,0.416323289298719,0.461480371267003,0,***
10017,Default,EmgTimely,1,0,1,0,0,0,0,1,n.s.
10017,ForestGeometry,TimelyRate,0.82279534109817,0.0152951550007074,0.862728785357737,0.00588275192334898,0.0399334442595674,0.0254134822118872,0.0544534063072476,1.98024396880214e-09,***
10017,ForestGeometry,LossRate,0.1630615640599,0.011765503846698,0.123128119800333,0.00235310076933959,-0.0399334442595674,-0.0544534063072475,-0.0254134822118872,1.98024396880214e-09,***
10017,ForestGeometry,AvgDelay,0.0773726739439033,0.000238249632450911,0.0739996583155979,0.00117658203503294,-0.00337301562830546,-0.00555559344046255,-0.00119043781614837,0.000747593470737051,***
10017,ForestGeometry,AvgTxCost,2.94129783693844,0,3.60490016638935,0.0167187809661576,0.663602329450914,0.637811246863722,0.689393412038105,0,***
10017,ForestGeometry,EmgTimely,0.625,0.0589255650988789,0.680555555555556,0.058925565098879,0.0555555555555555,0.0555555555555554,0.0555555555555556,0,***
