Scene,SceneRole,GeometryType,DensityClass,VegetationClass,Config,Method,Stage,TimelyRateMean,TimelyRateStd,TimelyRateCI95,LossRateMean,LossRateStd,LossRateCI95,AvgTxCostMean,AvgTxCostStd,AvgTxCostCI95,EmergencyTimelyRateMean,EmergencyTimelyRateStd,EmergencyTimelyRateCI95
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Confidence-driven,PosDeg_Emerg,0.986363636363636,0.00642824346533229,0.00890909090909097,0.00454545454545452,0.00642824346533221,0.00890909090909086,3.57590909090909,0.175748176342184,0.243574545454545,0.833333333333333,0,0
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Confidence-driven,Recovery,1,0,0,0,0,0,1.45112582781457,0.0040272306743073,0.00558145695364212,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Confidence-driven,Full,0.979201331114809,0.0011765503846698,0.001630615640599,0.019134775374376,0.0011765503846698,0.001630615640599,2.57435940099834,0.038402604555622,0.0532232945091512,0.833333333333333,0,0
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Oracle,Normal,0.888,0.0452548339959391,0.0627200000000001,0.112,0.0452548339959391,0.0627200000000001,3.97472,0,0,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Oracle,Coop_1,1,0,0,0,0,0,2,0,0,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Oracle,LinkDeg_Emerg,1,0,0,0,0,0,2.22230769230769,0.0533049727356016,0.0738769230769235,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Oracle,PosDeg_Emerg,0.986363636363636,0.00642824346533229,0.00890909090909097,0.00454545454545452,0.00642824346533221,0.00890909090909086,3.379,0.136278761465044,0.188872727272727,0.833333333333333,0,0
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Oracle,Recovery,1,0,0,0,0,0,1.46456953642384,0.0028096958192844,0.00389403973509949,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Oracle,Full,0.974209650582363,0.00823585269268857,0.011414309484193,0.0241264559068219,0.00823585269268857,0.011414309484193,2.55262895174709,0.0300020348090798,0.0415806988352745,0.833333333333333,0,0
10006,Reference,Mixed,Medium,Mixed,Default,Link-delay-aware,Normal,0.744,0.0113137084989848,0.01568,0.256,0.0113137084989848,0.01568,1.5236,0,0,0.973684210526316,0.0372161463782394,0.0515789473684211
10006,Reference,Mixed,Medium,Mixed,Default,Link-delay-aware,Coop_1,1,0,0,0,0,0,1.962,0,0,1,0,0
10006,Reference,Mixed,Medium,Mixed,Default,Link-delay-aware,LinkDeg_Emerg,1,0,0,0,0,0,2.15230769230769,0,0,1,0,0
10006,Reference,Mixed,Medium,Mixed,Default,Link-delay-aware,PosDeg_Emerg,1,0,0,0,0,0,2.55,0,0,1,0,0
10006,Reference,Mixed,Medium,Mixed,Default,Link-delay-aware,Recovery,1,0,0,0,0,0,2.55,0,0,1,0,0
10006,Reference,Mixed,Medium,Mixed,Default,Link-delay-aware,Full,0.94675540765391,0.00235310076933959,0.003261231281198,0.0532445923460898,0.00235310076933959,0.003261231281198,2.14675540765392,0,0,0.998355263157895,0.00232600914863995,0.0032236842105263
10006,Reference,Mixed,Medium,Mixed,Default,Confidence-driven,Normal,0.9,0.0395979797464467,0.05488,0.1,0.0395979797464467,0.05488,2.1476,0,0,1,0,0
10006,Reference,Mixed,Medium,Mixed,Default,Confidence-driven,Coop_1,1,0,0,0,0,0,1.986,0,0,1,0,0
10006,Reference,Mixed,Medium,Mixed,Default,Confidence-driven,LinkDeg_Emerg,1,0,0,0,0,0,2.51384615384615,0.0935556664339122,0.129661538461538,1,0,0
10006,Reference,Mixed,Medium,Mixed,Default,Confidence-driven,PosDeg_Emerg,1,0,0,0,0,0,2.70409090909091,0.0944951789403845,0.130963636363637,1,0,0
10006,Reference,Mixed,Medium,Mixed,Default,Confidence-driven,Recovery,1,0,0,0,0,0,3.06258278145696,0.00561939163856818,0.00778807947019811,1,0,0
10006,Reference,Mixed,Medium,Mixed,Default,Confidence-driven,Full,0.979201331114809,0.00823585269268857,0.011414309484193,0.0207986688851913,0.00823585269268857,0.011414309484193,2.47861896838602,0.0260017635012023,0.0360366056572376,1,0,0
10006,Reference,Mixed,Medium,Mixed,Default,Oracle,Normal,0.936,0.0226274169979695,0.0313599999999999,0.064,0.0226274169979695,0.0313599999999999,2.31752,0,0,0.973684210526316,0.0372161463782394,0.0515789473684211
10006,Reference,Mixed,Medium,Mixed,Default,Oracle,Coop_1,1,0,0,0,0,0,1.962,0,0,1,0,0
10006,Reference,Mixed,Medium,Mixed,Default,Oracle,LinkDeg_Emerg,1,0,0,0,0,0,2.28153846153846,0.0152299922101713,0.0211076923076916,1,0,0
10006,Reference,Mixed,Medium,Mixed,Default,Oracle,PosDeg_Emerg,1,0,0,0,0,0,2.55,0,0,1,0,0
10006,Reference,Mixed,Medium,Mixed,Default,Oracle,Recovery,1,0,0,0,0,0,2.55,0,0,1,0,0
10006,Reference,Mixed,Medium,Mixed,Default,Oracle,Full,0.986688851913478,0.00470620153867918,0.006522462562396,0.0133111480865225,0.00470620153867918,0.006522462562396,2.32585690515808,0.00164717053853759,0.00228286189683843,0.998355263157895,0.00232600914863995,0.0032236842105263
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,Link-delay-aware,Normal,0.508,0.00565685424949239,0.00784000000000001,0.484,0.00565685424949239,0.00784000000000001,3.09376,0,0,0.657894736842105,0.0372161463782394,0.0515789473684211
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,Link-delay-aware,Coop_1,1,0,0,0,0,0,1.962,0,0,1,0,0
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,Link-delay-aware,LinkDeg_Emerg,0.884615384615385,0.0326356975932252,0.0452307692307692,0.115384615384615,0.0326356975932252,0.0452307692307692,2.15230769230769,0,0,0.944444444444444,0.0785674201318387,0.108888888888889
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,Link-delay-aware,PosDeg_Emerg,1,0,0,0,0,0,2.55,0,0,1,0,0
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,Link-delay-aware,Recovery,1,0,0,0,0,0,2.55,0,0,1,0,0
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,Link-delay-aware,Full,0.885191347753744,0.00235310076933959,0.003261231281198,0.113144758735441,0.00470620153867918,0.006522462562396,2.47332778702164,0,0,0.975328947368421,0.00697802744591984,0.00967105263157889
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,Confidence-driven,Normal,0.504,0,0,0.488,0.0113137084989848,0.01568,3.13696,0.0332623029870152,0.0460992,0.657894736842105,0.0372161463782394,0.0515789473684211
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,Confidence-driven,Coop_1,1,0,0,0,0,0,1.986,0,0,1,0,0
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,Confidence-driven,LinkDeg_Emerg,1,0,0,0,0,0,3.222,0.325704261980388,0.451403076923077,1,0,0
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,Confidence-driven,PosDeg_Emerg,1,0,0,0,0,0,2.79954545454545,0.190918830920368,0.2646,1,0,0
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,Confidence-driven,Recovery,1,0,0,0,0,0,3.00298013245033,0.00561939163856881,0.00778807947019898,1,0,0
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,Confidence-driven,Full,0.896838602329451,0,0,0.101497504159734,0.00235310076933959,0.003261231281198,2.7634775374376,0.0646632091414516,0.0896186356073206,0.978618421052632,0.00232600914863995,0.0032236842105263
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,Oracle,Normal,0.62,0.00565685424949239,0.00784000000000001,0.344,0.0226274169979695,0.03136,4.12032,0,0,0.605263157894737,0.0372161463782393,0.051578947368421
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,Oracle,Coop_1,1,0,0,0,0,0,1.962,0,0,1,0,0
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,Oracle,LinkDeg_Emerg,0.984615384615385,0.0217571317288168,0.0301538461538462,0.0153846153846154,0.0217571317288168,0.0301538461538462,2.86153846153846,0.089204240088149,0.123630769230769,0.944444444444444,0.0785674201318387,0.108888888888889
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,Oracle,PosDeg_Emerg,1,0,0,0,0,0,2.59363636363636,0.0617111372671897,0.0855272727272728,1,0,0
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,Oracle,Recovery,1,0,0,0,0,0,2.55,0,0,1,0,0
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,Oracle,Full,0.919301164725458,0.0011765503846698,0.001630615640599,0.0732113144758736,0.00235310076933959,0.003261231281198,2.77153078202995,0.00164717053853759,0.00228286189683843,0.972039473684211,0.00697802744591992,0.00967105263157901
10017,LongRange,LongMixed,Medium,Mixed,Default,Link-delay-aware,Normal,0.708,0.0169705627484772,0.02352,0.292,0.0169705627484772,0.02352,1.5944,0,0,1,0,0
10017,LongRange,LongMixed,Medium,Mixed,Default,Link-delay-aware,Coop_1,0.91,0.00471404520791035,0.00653333333333337,0.09,0.00471404520791035,0.00653333333333337,2.008,0,0,1,0,0
10017,LongRange,LongMixed,Medium,Mixed,Default,Link-delay-aware,LinkDeg_Emerg,0.992307692307692,0.0108785658644084,0.015076923076923,0.00769230769230766,0.0108785658644084,0.015076923076923,2.05076923076923,0,0,1,0,0
10017,LongRange,LongMixed,Medium,Mixed,Default,Link-delay-aware,PosDeg_Emerg,1,0,0,0,0,0,2,0,0,NaN,NaN,NaN
10017,LongRange,LongMixed,Medium,Mixed,Default,Link-delay-aware,Recovery,0.980132450331126,0.0187313054618952,0.0259602649006622,0.0198675496688742,0.0187313054618952,0.0259602649006622,2,0,0,NaN,NaN,NaN
10017,LongRange,LongMixed,Medium,Mixed,Default,Link-delay-aware,Full,0.910981697171381,0.00352965115400939,0.004891846921797,0.089018302828619,0.00352965115400939,0.004891846921797,1.92312811980033,0,0,1,0,0
10017,LongRange,LongMixed,Medium,Mixed,Default,Confidence-driven,Normal,0.92,0,0,0.08,0,0,2.5024,0,0,1,0,0
10017,LongRange,LongMixed,Medium,Mixed,Default,Confidence-driven,Coop_1,0.91,0.00471404520791035,0.00653333333333337,0.09,0.00471404520791035,0.00653333333333337,2.118,0.00659966329107434,0.00914666666666653,1,0,0
10017,LongRange,LongMixed,Medium,Mixed,Default,Confidence-driven,LinkDeg_Emerg,0.992307692307692,0.0108785658644084,0.015076923076923,0.00769230769230766,0.0108785658644084,0.015076923076923,2.34661538461538,0.126844077979003,0.175796923076924,1,0,0
10017,LongRange,LongMixed,Medium,Mixed,Default,Confidence-driven,PosDeg_Emerg,1,0,0,0,0,0,2.98090909090909,0.14142135623731,0.196000000000001,NaN,NaN,NaN
10017,LongRange,LongMixed,Medium,Mixed,Default,Confidence-driven,Recovery,0.980132450331126,0.0187313054618952,0.0259602649006622,0.0198675496688742,0.0187313054618952,0.0259602649006622,2.04403973509934,0.00327797845583165,0.00454304635761585,NaN,NaN,NaN
10017,LongRange,LongMixed,Medium,Mixed,Default,Confidence-driven,Full,0.955074875207987,0.00705930230801877,0.009783693843594,0.0449251247920133,0.00705930230801877,0.009783693843594,2.36202995008319,0.0146362867852919,0.020284858569051,1,0,0
10017,LongRange,LongMixed,Medium,Mixed,Default,Oracle,Normal,0.96,0.0113137084989848,0.01568,0.04,0.0113137084989848,0.01568,2.83904,0,0,1,0,0
10017,LongRange,LongMixed,Medium,Mixed,Default,Oracle,Coop_1,0.966666666666667,0,0,0.0333333333333333,0,0,2.28333333333333,0.00659966329107466,0.00914666666666696,1,0,0
10017,LongRange,LongMixed,Medium,Mixed,Default,Oracle,LinkDeg_Emerg,0.992307692307692,0.0108785658644084,0.015076923076923,0.00769230769230766,0.0108785658644084,0.015076923076923,2.21461538461538,0.00326356975932226,0.00452307692307656,1,0,0
10017,LongRange,LongMixed,Medium,Mixed,Default,Oracle,PosDeg_Emerg,1,0,0,0,0,0,2.85772727272727,0.108637314564115,0.150563636363636,NaN,NaN,NaN
10017,LongRange,LongMixed,Medium,Mixed,Default,Oracle,Recovery,0.980132450331126,0.0187313054618952,0.0259602649006622,0.0198675496688742,0.0187313054618952,0.0259602649006622,2.04635761589404,0.00655595691166329,0.0090860927152317,NaN,NaN,NaN
10017,LongRange,LongMixed,Medium,Mixed,Default,Oracle,Full,0.977537437603993,0.00352965115400939,0.004891846921797,0.0224625623960066,0.00352965115400939,0.004891846921797,2.43707154742096,0.0228250774625936,0.03163394342762,1,0,0
10017,LongRange,LongMixed,Medium,Mixed,ForestGeometry,Link-delay-aware,Normal,0.476,0.00565685424949239,0.00784000000000001,0.504,0,0,3.70272,0,0,0.416666666666667,0.353553390593274,0.49
10017,LongRange,LongMixed,Medium,Mixed,ForestGeometry,Link-delay-aware,Coop_1,0.823333333333333,0.0235702260395516,0.0326666666666667,0.136666666666667,0.0141421356237309,0.0195999999999999,4.1672,0,0,0.666666666666667,0,0
10017,LongRange,LongMixed,Medium,Mixed,ForestGeometry,Link-delay-aware,LinkDeg_Emerg,0.876923076923077,0.0217571317288168,0.0301538461538462,0.123076923076923,0.0217571317288168,0.0301538461538462,2.15846153846154,0,0,0.666666666666667,0,0
10017,LongRange,LongMixed,Medium,Mixed,ForestGeometry,Link-delay-aware,PosDeg_Emerg,1,0,0,0,0,0,2,0,0,NaN,NaN,NaN
10017,LongRange,LongMixed,Medium,Mixed,ForestGeometry,Link-delay-aware,Recovery,0.956953642384106,0.0234141318273691,0.0324503311258278,0.043046357615894,0.0234141318273691,0.0324503311258278,2.1158940397351,0,0,NaN,NaN,NaN
10017,LongRange,LongMixed,Medium,Mixed,ForestGeometry,Link-delay-aware,Full,0.82279534109817,0.0152951550007074,0.0211980033277871,0.1630615640599,0.011765503846698,0.01630615640599,2.94129783693844,0,0,0.625,0.0589255650988789,0.0816666666666666
10017,LongRange,LongMixed,Medium,Mixed,ForestGeometry,Confidence-driven,Normal,0.48,0.0226274169979695,0.03136,0.5,0.0169705627484772,0.02352,3.74472,0.0118793939239346,0.0164640000000008,0.416666666666667,0.353553390593274,0.49
10017,LongRange,LongMixed,Medium,Mixed,ForestGeometry,Confidence-driven,Coop_1,0.9,0.00942809041582062,0.0130666666666666,0.06,0.0188561808316413,0.0261333333333334,5.1688,0.0673165655689582,0.0932959999999984,0.666666666666667,0,0
10017,LongRange,LongMixed,Medium,Mixed,ForestGeometry,Confidence-driven,LinkDeg_Emerg,0.992307692307692,0.0108785658644084,0.015076923076923,0.00769230769230766,0.0108785658644084,0.015076923076923,2.98761538461539,0.039924336722378,0.0553323076923065,1,0,0
10017,LongRange,LongMixed,Medium,Mixed,ForestGeometry,Confidence-driven,PosDeg_Emerg,1,0,0,0,0,0,3.04727272727273,0.0707106781186551,0.0980000000000005,NaN,NaN,NaN
10017,LongRange,LongMixed,Medium,Mixed,ForestGeometry,Confidence-driven,Recovery,0.986754966887417,0.0187313054618953,0.0259602649006623,0.0132450331125828,0.0187313054618953,0.0259602649006623,2.60754966887417,0.0241633840458451,0.0334887417218545,NaN,NaN,NaN
10017,LongRange,LongMixed,Medium,Mixed,ForestGeometry,Confidence-driven,Full,0.862728785357737,0.00588275192334898,0.008153078202995,0.123128119800333,0.00235310076933959,0.003261231281198,3.60490016638935,0.0167187809661576,0.0231710482529115,0.680555555555556,0.058925565098879,0.0816666666666667
10017,LongRange,LongMixed,Medium,Mixed,ForestGeometry,Oracle,Normal,0.584,0.0226274169979695,0.03136,0.396,0.0282842712474619,0.0392,5.09184,0,0,0.416666666666667,0.353553390593274,0.49
10017,LongRange,LongMixed,Medium,Mixed,ForestGeometry,Oracle,Coop_1,0.9,0.00942809041582062,0.0130666666666666,0.06,0.0188561808316413,0.0261333333333334,5.3564,0,0,0.666666666666667,0,0
10017,LongRange,LongMixed,Medium,Mixed,ForestGeometry,Oracle,LinkDeg_Emerg,1,0,0,0,0,0,3.21369230769231,0.0842000997905218,0.116695384615385,1,0,0
10017,LongRange,LongMixed,Medium,Mixed,ForestGeometry,Oracle,PosDeg_Emerg,1,0,0,0,0,0,2.85318181818182,0.0636396103067889,0.0881999999999994,NaN,NaN,NaN
10017,LongRange,LongMixed,Medium,Mixed,ForestGeometry,Oracle,Recovery,1,0,0,0,0,0,2.98986754966887,0.00327797845583133,0.00454304635761542,NaN,NaN,NaN
10017,LongRange,LongMixed,Medium,Mixed,ForestGeometry,Oracle,Full,0.888519134775374,0.00705930230801877,0.009783693843594,0.0973377703826955,0.0105889534620282,0.014675540765391,4.01688851913478,0.0199307635163066,0.0276226289517474,0.680555555555556,0.058925565098879,0.0816666666666667
