Scene,Config,Metric,Baseline_Mean,Baseline_Std,Proposed_Mean,Proposed_Std,Delta_Mean,CI_Lower,CI_Upper,P_Value,Significant
10014,Default,TimelyRate,0.968552412645591,0.00624674839452812,0.972462562396007,0.00639828006012425,0.00391014975041597,0.00347758643771755,0.00434271306311439,0,***
10014,Default,LossRate,0.0314475873544093,0.00624674839452812,0.0275374376039933,0.00639828006012424,-0.00391014975041597,-0.00434271306311439,-0.00347758643771755,0,***
10014,Default,AvgDelay,0.0238820861282624,0.00274235988531636,0.0234132001373652,0.00289360937461088,-0.000468885990897166,-0.000581986065864029,-0.000355785915930303,1.07276923477784e-06,***
10014,Default,AvgTxCost,1.62945091514143,9.11251831401531e-16,1.67642678868552,0.0102778356519272,0.0469758735440927,0.0442717242385793,0.0496800228496061,0,***
10014,Default,EmgTimely,1,0,1,0,0,0,0,1,n.s.
10014,ForestGeometry,TimelyRate,0.965640599001664,0.00694012524893963,0.974875207986689,0.00617637346708898,0.00923460898502495,0.00781800096139324,0.0106512170086567,1.73194791841524e-14,***
10014,ForestGeometry,LossRate,0.0341930116472545,0.00694432311731013,0.0243760399334442,0.00599378597189325,-0.00981697171381031,-0.0111785746494439,-0.00845536877817676,0,***
10014,ForestGeometry,AvgDelay,0.0323898418697683,0.00208654396334727,0.03145286109851,0.00205314348362197,-0.000936980771258359,-0.00113167298905516,-0.000742288553461557,1.49398680093782e-08,***
10014,ForestGeometry,AvgTxCost,2.16482529118136,4.55625915700765e-16,2.29697836938436,0.0156349349620339,0.132153078202996,0.128039449619005,0.136266706786987,0,***
10014,ForestGeometry,EmgTimely,0.825,0.157418873564722,0.908333333333333,0.10080088647155,0.0833333333333333,0.04996786003937,0.116698806627297,0.00329532153683765,**
10006,Default,TimelyRate,0.945840266222962,0.00721194524307534,0.982778702163062,0.00518568046141314,0.0369384359400998,0.0355790572416207,0.0382978146385789,0,***
10006,Default,LossRate,0.0541597337770382,0.00721194524307534,0.0172212978369384,0.00518568046141314,-0.0369384359400998,-0.0382978146385789,-0.0355790572416207,0,***
10006,Default,AvgDelay,0.0334194337672715,0.00305810060342052,0.0201616080116412,0.00216513149637806,-0.0132578257556303,-0.0137755112315009,-0.0127401402797598,0,***
10006,Default,AvgTxCost,2.14675540765392,0,2.5050540765391,0.0152157789835213,0.358298668885182,0.354295322308667,0.362302015461698,0,***
10006,Default,EmgTimely,0.997861842105263,0.0024511836196401,0.999506578947368,0.00120509062017277,0.00164473684210525,0.00111941236855918,0.00217006131565132,0.000229717434880872,***
10006,ForestGeometry,TimelyRate,0.868635607321131,0.00779454406523601,0.880615640599001,0.00724017608871406,0.0119800332778702,0.0109499185523456,0.0130101480033948,0,***
10006,ForestGeometry,LossRate,0.126206322795341,0.00820971479782982,0.113893510815308,0.00810611803202906,-0.0123128119800333,-0.0133507307165448,-0.0112748932435217,0,***
10006,ForestGeometry,AvgDelay,0.0615826517840746,0.002224437996526,0.0598220272983809,0.00232596808973182,-0.00176062448569378,-0.00194729439249416,-0.0015739545788934,0,***
10006,ForestGeometry,AvgTxCost,2.4024459234609,4.55625915700765e-16,2.72124459234609,0.0299055665502291,0.318798668885182,0.310930366670929,0.326666971099435,0,***
10006,ForestGeometry,EmgTimely,0.962171052631579,0.00927338070695436,0.967269736842105,0.0082306065048585,0.00509868421052631,0.00418987937822415,0.00600748904282847,4.09614564489402e-11,***
10011,Default,TimelyRate,0.997504159733777,0.00137632311458987,0.997504159733777,0.00137632311458987,0,0,0,1,n.s.
10011,Default,LossRate,0.00249584026622296,0.00137632311458987,0.00249584026622296,0.00137632311458987,0,0,0,1,n.s.
10011,Default,AvgDelay,0.012572795240524,0.000325497650567462,0.012572795240524,0.000325497650567462,0,0,0,1,n.s.
10011,Default,AvgTxCost,1.71880199667221,2.27812957850383e-16,1.7395840266223,0.0036461674175538,0.0207820299500832,0.0198227053000422,0.0217413546001242,0,***
10011,Default,EmgTimely,1,0,1,0,0,0,0,1,n.s.
10011,ForestGeometry,TimelyRate,0.97828618968386,0.00538419399417141,0.99567387687188,0.00218617865335037,0.01738768718802,0.0160218312553354,0.0187535431207045,0,***
10011,ForestGeometry,LossRate,0.0217138103161397,0.00538419399417141,0.0043261231281198,0.00218617865335037,-0.01738768718802,-0.0187535431207045,-0.0160218312553354,0,***
10011,ForestGeometry,AvgDelay,0.0166310387884475,0.00101560235754555,0.013862700957057,0.000484392245529652,-0.00276833783139051,-0.00298323496509432,-0.00255344069768669,0,***
10011,ForestGeometry,AvgTxCost,1.71880199667221,2.27812957850383e-16,1.83821963394343,0.0120932343301809,0.119417637271214,0.116235847610155,0.122599426932274,0,***
10011,ForestGeometry,EmgTimely,0.995,0.0153896752812773,1,0,0.005,0.00095090044895401,0.009049099551046,0.146233191904869,n.s.
