Stage,DiffVsLink,DiffVsLinkDelay,PriLink,RateLink,ModeLink,PriLinkD,RateLinkD,ModeLinkD,PriConf,RateConf,ModeConf,TimelyLink,TimelyLinkD,TimelyConf,LossLink,LossLinkD,LossConf
Normal,88,2,1.216,1.6144,1.376,1,1.3456,0,1,1.3512,0,0.968,0.84,0.848,0.032,0.16,0.152
Coop_1,0,0,1,2,0,1,2,0,1,2,0,1,1,1,0,0,0
LinkDeg_Emerg,0,0,1,2,0,1,2,0,1,2,0,1,1,1,0,0,0
PosDeg_Emerg,21,18,1.12727272727273,2.13181818181818,0,1.10909090909091,2.06272727272727,0,1.10909090909091,2.06272727272727,0.163636363636364,1,0.990909090909091,1,0,0.00909090909090904,0
Recovery,7,0,1.04635761589404,1.13774834437086,0,1,1.07284768211921,0,1,1.07284768211921,0,1,0.993377483443709,0.993377483443709,0,0.00662251655629142,0.00662251655629142
Full,116,20,1.07986688851913,1.72728785357737,0.286189683860233,1.01996672212978,1.64242928452579,0,1.01996672212978,1.64359400998336,0.0299500831946755,0.993344425956739,0.963394342762063,0.966722129783694,0.00665557404326123,0.0366056572379367,0.0332778702163061
