Config,Profile,Vegetation,Method,Stage,TimelyRateMean,TimelyRateStd,TimelyRateCI95,LossRateMean,LossRateStd,LossRateCI95,AvgDelayMean,AvgDelayStd,AvgDelayCI95,AvgTxCostMean,AvgTxCostStd,AvgTxCostCI95,EmergencyTimelyRateMean,EmergencyTimelyRateStd,EmergencyTimelyRateCI95
FG_blind_medium,blind,medium,Link-delay-aware,Normal,0.404,0.015663120165961,0.00970810245791283,0.596,0.015663120165961,0.00970810245791285,0.0149777498340674,0.00165611874958372,0.00102647303558134,1,0,0,NaN,NaN,NaN
FG_blind_medium,blind,medium,Link-delay-aware,Coop_1,0.933333333333333,0.00628539361054705,0.00389572732079961,0.0666666666666667,0.00628539361054711,0.00389572732079965,0.0121761658966386,0.000376044303196253,0.000233074673849295,1.034,2.3405556457178e-16,1.45069141884354e-16,NaN,NaN,NaN
FG_blind_medium,blind,medium,Link-delay-aware,LinkDeg_Emerg,0.870769230769231,0.0291902553246311,0.0180923076923076,0.129230769230769,0.0291902553246312,0.0180923076923077,0.0238812900937922,0.00175367544798002,0.00108693930369727,2.37030769230769,4.6811112914356e-16,2.90138283768708e-16,NaN,NaN,NaN
FG_blind_medium,blind,medium,Link-delay-aware,PosDeg_Emerg,0.920909090909091,0.0226969494679684,0.0140677150262793,0.0790909090909091,0.0226969494679685,0.0140677150262793,0.024698953277899,0.00111718345232262,0.00069243747762356,3.00009090909091,4.6811112914356e-16,2.90138283768708e-16,0.966101694915254,0.0195711955657501,0.0121303526859902
FG_blind_medium,blind,medium,Link-delay-aware,Recovery,0.966887417218543,0.0103541186751068,0.00641754924269638,0.0324503311258278,0.0110154304193154,0.00682743450829947,0.0142950748639464,0.000683925722174899,0.000423901554359849,2.20913907284768,0,0,0.977083333333334,0.0118259627541157,0.00732980765415539
FG_blind_medium,blind,medium,Link-delay-aware,Full,0.822628951747088,0.0053887777266738,0.003339999038452,0.17720465890183,0.00572372918484473,0.0035476041030813,0.0170083535402431,0.000285036150540115,0.000176667236433906,1.82655574043261,2.3405556457178e-16,1.45069141884354e-16,0.971028037383178,0.0102850928468654,0.00637476659111038
FG_blind_medium,blind,medium,Confidence-driven,Normal,0.4344,0.0206731172728686,0.0128133308359346,0.5656,0.0206731172728686,0.0128133308359345,0.0194782464902944,0.00255156004400536,0.00158147329984434,1.385568,0.0689111680676249,0.0427115844740063,NaN,NaN,NaN
FG_blind_medium,blind,medium,Confidence-driven,Coop_1,0.939333333333333,0.00798145999825246,0.00494696015900826,0.0606666666666667,0.00798145999825247,0.00494696015900826,0.0128134226452635,0.000494305485233936,0.000306373713877777,1.12748,0.0190528517680142,0.0118090798716642,NaN,NaN,NaN
FG_blind_medium,blind,medium,Confidence-driven,LinkDeg_Emerg,0.890769230769231,0.031151471894333,0.0193078823159513,0.109230769230769,0.0311514718943331,0.0193078823159513,0.0255351452880356,0.00194041123525723,0.00120267934375556,2.67418461538462,0.0978374398097874,0.0606402734467576,NaN,NaN,NaN
FG_blind_medium,blind,medium,Confidence-driven,PosDeg_Emerg,0.975454545454546,0.0171687460293519,0.0106412990362579,0.0236363636363636,0.0161489849629991,0.0100092445790459,0.0280135331599538,0.00101444951750195,0.000628762325126738,3.94103636363637,0.0474918039422565,0.0294357250469481,0.989830508474576,0.00875250473719194,0.00542485863938423
FG_blind_medium,blind,medium,Confidence-driven,Recovery,0.974172185430464,0.0105637846481284,0.00654750155912278,0.0251655629139073,0.010724024548778,0.00664681927850881,0.0149643222347939,0.000787134159783556,0.000487870806731633,2.45738410596026,0.0562039423764358,0.0348355643925172,0.983333333333334,0.00878410461157871,0.00544444444444437
FG_blind_medium,blind,medium,Confidence-driven,Full,0.844425956738769,0.00838392482408809,0.00519641044244599,0.155241264559068,0.0081532668508704,0.00505344714950018,0.0188354209350766,0.000474764112716207,0.000294261845708456,2.19753577371048,0.0281762902084282,0.0174638456022166,0.986915887850467,0.00482614747190984,0.00299127719367932
FG_blind_medium,blind,medium,Oracle,Normal,0.4664,0.0253122719468465,0.0156887086927014,0.5336,0.0253122719468465,0.0156887086927014,0.0239564620581891,0.00277921548401765,0.001722575603429,1.78792,0.0771309535789621,0.0478062603164063,NaN,NaN,NaN
FG_blind_medium,blind,medium,Oracle,Coop_1,0.943333333333333,0.00955813918560287,0.00592419604380474,0.0566666666666667,0.00955813918560297,0.0059241960438048,0.0130128108720997,0.000555502904671213,0.000344304267417682,1.20263333333333,0.0128831883945654,0.00798508289496747,NaN,NaN,NaN
FG_blind_medium,blind,medium,Oracle,LinkDeg_Emerg,0.912307692307692,0.0308119361759996,0.0190974358974359,0.0876923076923077,0.0308119361759996,0.0190974358974359,0.027479303159921,0.00215144540276404,0.00133347967590961,2.86707692307692,0.06015233783931,0.0372828052546056,NaN,NaN,NaN
FG_blind_medium,blind,medium,Oracle,PosDeg_Emerg,0.981818181818182,0.014845392380504,0.0092012695255351,0.0172727272727273,0.0145011952897035,0.00898793395843218,0.0283730462131875,0.000903034067392567,0.000559706313706554,3.77108181818182,0.0388385192626156,0.0240723636363649,0.993220338983051,0.00875250473719194,0.00542485863938423
FG_blind_medium,blind,medium,Oracle,Recovery,0.980132450331126,0.00698074538668541,0.00432671081677719,0.019205298013245,0.00728811214976567,0.00451721871025712,0.0154094365396907,0.000536561984662674,0.000332564563569299,2.32898675496689,0.0223756150325103,0.0138685498797677,0.98125,0.00658807845868403,0.00408333333333327
FG_blind_medium,blind,medium,Oracle,Full,0.857071547420965,0.00878525969569443,0.00544516037299654,0.142595673876872,0.00904746080916377,0.00560767430682123,0.0198471886276526,0.000585972548886829,0.000363189548560082,2.25747254575707,0.0197510762709183,0.0122418439021381,0.98785046728972,0.00451444758448296,0.00279808360190467
FG_blind_sparse,blind,sparse,Link-delay-aware,Normal,1,0,0,0,0,0,0.0120310718510553,0.000198330642547567,0.000122926605809982,1,0,0,NaN,NaN,NaN
FG_blind_sparse,blind,sparse,Link-delay-aware,Coop_1,0.96,0.00628539361054717,0.00389572732079968,0.04,0.00628539361054709,0.00389572732079963,0.0121956696473822,0.000374273752878602,0.000231977275393015,1.02266666666667,2.3405556457178e-16,1.45069141884354e-16,NaN,NaN,NaN
FG_blind_sparse,blind,sparse,Link-delay-aware,LinkDeg_Emerg,0.913846153846154,0.0180582737042657,0.0111926340011763,0.0861538461538462,0.0180582737042657,0.0111926340011763,0.0179172398953433,0.000865626764795581,0.000536521027349951,1.93615384615385,2.3405556457178e-16,1.45069141884354e-16,NaN,NaN,NaN
FG_blind_sparse,blind,sparse,Link-delay-aware,PosDeg_Emerg,0.993636363636364,0.00613589597918679,0.00380306772889947,0.00636363636363634,0.00613589597918684,0.0038030677288995,0.0141210445288858,0.000470472737132174,0.000291602023564863,2.40718181818182,4.6811112914356e-16,2.90138283768708e-16,0.994915254237288,0.00818721850067203,0.00507449060006411
FG_blind_sparse,blind,sparse,Link-delay-aware,Recovery,0.977483443708609,0.0113423687228833,0.00703007296825019,0.0218543046357616,0.0121111405954483,0.00750656271145232,0.0145023270412981,0.000699421640955806,0.00043350602432564,2.20675496688742,0,0,0.977083333333334,0.0118259627541157,0.00732980765415539
FG_blind_sparse,blind,sparse,Link-delay-aware,Full,0.9738768718802,0.0042997332098312,0.00266500225373013,0.0259567387687188,0.00458703785427293,0.00284307551725114,0.013685742632195,0.000229488052810125,0.000142238168764692,1.66765391014975,2.3405556457178e-16,1.45069141884354e-16,0.986915887850467,0.00653463456803852,0.00405020846672696
