Scene,SceneRole,GeometryType,DensityClass,VegetationClass,Config,HeuristicTimely,V6Timely,V6MinusHeuristicTimely_pp,HeuristicEmgTimely,V6EmgTimely,V6MinusHeuristicEmg_pp,HeuristicTxCost,V6TxCost,V6CostDeltaPct,HeuristicDelay,V6Delay,V6DelayDeltaPct,V6MinusLinkTimely_pp,V6MinusLinkEmg_pp,V6MinusV4Emg_pp,V6CostDeltaVsV4Pct,OracleMinusV6Timely_pp,Decision
10014,Primary,CurvedBlind,Medium,Dense,Default,0.97287853577371,0.989184692179701,1.63061564059902,1,1,0,1.85548252911814,1.82258735440932,-1.77286361863252,0.022687648980014,0.0155713468208271,-31.3664151162413,1.93011647254576,0,0,0.313199719768749,0.415973377703793,MainCandidate
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,0.772379367720466,0.787354409317804,1.49750415973376,0.0333333333333333,0.0333333333333333,0,2.17201331114809,2.38191014975042,9.66369945916152,0.0928383635537822,0.0841432024491264,-9.3659138009457,4.90848585690516,0,0,0.188124632569124,1.01497504159732,MainCandidate
10006,Reference,Mixed,Medium,Mixed,Default,0.981198003327787,0.985524126455907,0.432612312811953,0.999013157894737,0.999013157894737,0,2.4728618968386,2.56023294509151,3.53319562101742,0.0221523813800416,0.0191063025888478,-13.7505703740643,4.05990016638934,0.0986842105263119,0.0986842105263119,13.408216512625,0.532445923460889,MainCandidate
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,0.707154742096506,0.709650582362729,0.249584026622307,0.800657894736842,0.800657894736842,0,2.68690682196339,2.95506821963394,9.98030134422726,0.0892019412351648,0.0874900938180856,-1.91906968993676,1.7803660565724,0,0.032894736842104,10.0791443558584,0.31613976705489,MainCandidate
10011,Boundary,Open,Low,Sparse,Default,0.99783693843594,0.99783693843594,0,1,1,0,1.94242928452579,1.8658153078203,-3.94423505225279,0.0124929631492758,0.0124929631492758,0,0.0166389351081486,0,0,1.08170964208933,0,MainCandidate
10011,Boundary,Open,Low,Sparse,ForestGeometry,0.673044925124792,0.711647254575707,3.8602329450915,0.275,0.275,0,3.39813477537437,3.70769051580699,9.10957807429848,0.140000654308497,0.123982540726211,-11.4414562284753,13.2113144758735,0,1,0.107820489666773,-1.74708818635607,MainCandidate
10019,DenseBlind,ShortRangeOccluded,High,Dense,Default,1,1,0,1,1,0,2.98415973377703,3.04475873544092,2.03068893993777,0.0120854816577448,0.0120854816577448,0,0,0,0,21.5492733214649,0,MainCandidate
10019,DenseBlind,ShortRangeOccluded,High,Dense,ForestGeometry,0.665890183028286,0.667054908485857,0.116472545757051,0.632234432234432,0.633516483516483,0.128205128205106,3.33284359400999,3.31750915141431,-0.460100876717979,0.0397078773255263,0.0397277541514227,0.0500576390259131,1.11022302462516e-14,-2.22044604925031e-14,0.421245421245409,14.7060583292387,-0.36605657237937,MainCandidate
10017,LongRange,LongMixed,Medium,Mixed,Default,0.951580698835275,0.962229617304493,1.06489184692181,0.994444444444444,0.994444444444444,0,2.35926788685524,2.29188019966722,-2.85629654705476,0.0281926615749778,0.0236369110040911,-16.1593489808361,5.92346089850253,0.833333333333353,0.833333333333353,1.59313183165906,1.49750415973375,MainCandidate
10017,LongRange,LongMixed,Medium,Mixed,ForestGeometry,0.522961730449251,0.529450915141431,0.648918469217985,0.0277777777777778,0.0277777777777778,0,2.66959733777038,3.00595008319468,12.5993812124946,0.127843457981443,0.125625556418865,-1.73485729938549,0.881863560732121,0,0,1.17915097097657,0.599001663893484,MainCandidate
