Scene,SceneRole,GeometryType,DensityClass,VegetationClass,Config,Seed,FallbackRate,FallbackCount,DenseBlindFallbackCount,HardLinkFallbackCount
10007,HeldOutLongMixed,LongMixed,Medium,Mixed,ModerateForestGeometry,3,0.0632279534109817,38,6,0
10007,HeldOutLongMixed,LongMixed,Medium,Mixed,ModerateForestGeometry,4,0.0565723793677205,34,4,0
10007,HeldOutLongMixed,LongMixed,Medium,Mixed,ModerateForestGeometry,5,0.0599001663893511,36,0,0
10007,HeldOutLongMixed,LongMixed,Medium,Mixed,ModerateForestGeometry,6,0.0399334442595674,24,0,0
10007,HeldOutLongMixed,LongMixed,Medium,Mixed,ModerateForestGeometry,7,0.0549084858569052,33,3,0
10007,HeldOutLongMixed,LongMixed,Medium,Mixed,ModerateForestGeometry,8,0.0532445923460899,32,8,0
10007,HeldOutLongMixed,LongMixed,Medium,Mixed,ModerateForestGeometry,9,0.0232945091514143,14,0,0
10007,HeldOutLongMixed,LongMixed,Medium,Mixed,ModerateForestGeometry,10,0.0632279534109817,38,13,0
10015,HeldOutBoundary,LongLowNLOS,Low,Sparse,ModerateForestGeometry,1,0,0,0,0
10015,HeldOutBoundary,LongLowNLOS,Low,Sparse,ModerateForestGeometry,2,0.00332778702163062,2,0,0
10015,HeldOutBoundary,LongLowNLOS,Low,Sparse,ModerateForestGeometry,3,0,0,0,0
10015,HeldOutBoundary,LongLowNLOS,Low,Sparse,ModerateForestGeometry,4,0,0,0,0
10015,HeldOutBoundary,LongLowNLOS,Low,Sparse,ModerateForestGeometry,5,0,0,0,0
10015,HeldOutBoundary,LongLowNLOS,Low,Sparse,ModerateForestGeometry,6,0,0,0,0
10015,HeldOutBoundary,LongLowNLOS,Low,Sparse,ModerateForestGeometry,7,0,0,0,0
10015,HeldOutBoundary,LongLowNLOS,Low,Sparse,ModerateForestGeometry,8,0,0,0,0
10015,HeldOutBoundary,LongLowNLOS,Low,Sparse,ModerateForestGeometry,9,0,0,0,0
10015,HeldOutBoundary,LongLowNLOS,Low,Sparse,ModerateForestGeometry,10,0,0,0,0
