Scene,SceneRole,GeometryType,DensityClass,VegetationClass,Config,Method,Stage,TimelyRateMean,TimelyRateStd,TimelyRateCI95,LossRateMean,LossRateStd,LossRateCI95,AvgTxCostMean,AvgTxCostStd,AvgTxCostCI95,EmergencyTimelyRateMean,EmergencyTimelyRateStd,EmergencyTimelyRateCI95
10014,Primary,CurvedBlind,Medium,Dense,Default,Link-delay-aware,Normal,0.86736,0.0290515094974708,0.00805266759279185,0.13264,0.0290515094974707,0.00805266759279185,1.312,2.24298922669111e-16,6.21724893790088e-17,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,Default,Link-delay-aware,Coop_1,0.9992,0.00218840481772879,0.000606594867546156,0.000800000000000005,0.00218840481772879,0.000606594867546155,2,0,0,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,Default,Link-delay-aware,LinkDeg_Emerg,0.999076923076923,0.00369073749972453,0.0010230202413448,0.00092307692307692,0.00369073749972453,0.0010230202413448,2,0,0,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,Default,Link-delay-aware,PosDeg_Emerg,0.988727272727273,0.00928548723725688,0.00257380574889751,0.0112727272727273,0.00928548723725687,0.00257380574889751,2.03,4.48597845338221e-16,1.24344978758018e-16,1,0,0
10014,Primary,CurvedBlind,Medium,Dense,Default,Link-delay-aware,Recovery,0.993774834437086,0.00633375031345924,0.00175562601641986,0.00622516556291391,0.00633375031345924,0.00175562601641986,1.07284768211921,2.24298922669111e-16,6.21724893790088e-17,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,Default,Link-delay-aware,Full,0.968485856905158,0.00631054107017387,0.00174919274240105,0.0315141430948419,0.00631054107017387,0.00174919274240105,1.62945091514143,2.24298922669111e-16,6.21724893790088e-17,1,0,0
10014,Primary,CurvedBlind,Medium,Dense,Default,Confidence-driven,Normal,0.86768,0.0291018198463146,0.00806661291001372,0.13232,0.0291018198463146,0.00806661291001372,1.313008,0.00292629458530746,0.000811127476047989,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,Default,Confidence-driven,Coop_1,0.9992,0.00218840481772879,0.000606594867546156,0.000800000000000005,0.00218840481772879,0.000606594867546155,2.00009333333333,0.000659966329107434,0.000182933333333331,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,Default,Confidence-driven,LinkDeg_Emerg,0.999076923076923,0.00369073749972453,0.0010230202413448,0.00092307692307692,0.00369073749972453,0.0010230202413448,2.17953846153846,0.101275645790994,0.0280721767958805,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,Default,Confidence-driven,PosDeg_Emerg,0.999090909090909,0.0033110516322031,0.000917776688299923,0.000909090909090906,0.0033110516322031,0.000917776688299922,3.32400727272727,0.178894393033986,0.0495869958647884,1,0,0
10014,Primary,CurvedBlind,Medium,Dense,Default,Confidence-driven,Recovery,0.997615894039735,0.00438880359687539,0.00121651429158143,0.00238410596026491,0.00438880359687539,0.00121651429158143,1.18953907284768,0.0844053529594061,0.0233959701988477,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,Default,Confidence-driven,Full,0.971414309484193,0.0060944670241059,0.00168930007250153,0.028585690515807,0.0060944670241059,0.00168930007250153,1.91525990016639,0.041592658725601,0.0115288968047205,1,0,0
10014,Primary,CurvedBlind,Medium,Dense,Default,Oracle,Normal,0.9744,0.015161713327339,0.00420261252080179,0.0256,0.015161713327339,0.00420261252080179,1.64536,0.0128364277566238,0.00355807624426459,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,Default,Oracle,Coop_1,0.9992,0.00218840481772879,0.000606594867546156,0.000800000000000005,0.00218840481772879,0.000606594867546155,2.00018666666667,0.00131993265821487,0.000365866666666661,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,Default,Oracle,LinkDeg_Emerg,0.999076923076923,0.00369073749972453,0.0010230202413448,0.00092307692307692,0.00369073749972453,0.0010230202413448,2.18661538461538,0.0931921261185013,0.025831539457981,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,Default,Oracle,PosDeg_Emerg,0.998181818181818,0.00410685410411476,0.00113836187945443,0.00181818181818181,0.00410685410411476,0.00113836187945443,2.93116363636364,0.115329361084168,0.0319676679306705,1,0,0
10014,Primary,CurvedBlind,Medium,Dense,Default,Oracle,Recovery,0.998543046357616,0.00307728589731138,0.000852980132450333,0.00145695364238411,0.00307728589731138,0.000852980132450333,1.13272847682119,0.028508734086582,0.00790221792470114,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,Default,Oracle,Full,0.993677204658902,0.0030625383234431,0.000848892313530916,0.00632279534109816,0.0030625383234431,0.000848892313530916,1.89899833610649,0.0264313511279929,0.00732639674646239,1,0,0
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Link-delay-aware,Normal,0.26224,0.0156942209564085,0.00435021610497686,0.73776,0.0156942209564085,0.00435021610497686,1.48,2.24298922669111e-16,6.21724893790088e-17,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Link-delay-aware,Coop_1,0.969466666666667,0.0145742294226935,0.0040397702904992,0.0305333333333333,0.0145742294226935,0.0040397702904992,2,0,0,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Link-delay-aware,LinkDeg_Emerg,0.988307692307692,0.0140933798170386,0.00390648557987852,0.0116923076923077,0.0140933798170386,0.00390648557987852,2,0,0,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Link-delay-aware,PosDeg_Emerg,0.811272727272727,0.0134414015926604,0.00372576643621015,0.188545454545455,0.0137208268540854,0.00380321916710802,2.14545454545454,8.97195690676443e-16,2.48689957516035e-16,0.0266666666666667,0.0617213399848368,0.0171082825945018
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Link-delay-aware,Recovery,0.757615894039735,0.0273544603496707,0.00758226956830867,0.242384105960265,0.0273544603496707,0.00758226956830867,1.12384105960265,4.48597845338221e-16,1.24344978758018e-16,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Link-delay-aware,Full,0.742229617304492,0.0087131544906175,0.00241516320532993,0.257737104825291,0.00878039912872064,0.00243380246805358,1.69833610648918,4.48597845338221e-16,1.24344978758018e-16,0.0266666666666667,0.0617213399848368,0.0171082825945018
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Confidence-driven,Normal,0.26656,0.0144054411488811,0.00399298456796417,0.73344,0.0144054411488811,0.00399298456796417,1.5609936,0.0416164805345386,0.0115354998732754,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Confidence-driven,Coop_1,0.969733333333333,0.01458169572924,0.00404183984508705,0.0302666666666667,0.01458169572924,0.00404183984508705,2.01782666666667,0.0147479565439495,0.00408792499170153,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Confidence-driven,LinkDeg_Emerg,0.991692307692308,0.0117165740090214,0.0032476686221488,0.00830769230769229,0.0117165740090214,0.0032476686221488,2.33104615384615,0.18626543874226,0.0516301454954531,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Confidence-driven,PosDeg_Emerg,0.830909090909091,0.00936506824795839,0.00259586447964723,0.168181818181818,0.00922900675555315,0.00255815015810349,3.64658,0.261848039867514,0.072580573655244,0.02,0.0547101204432193,0.0151648716886538
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Confidence-driven,Recovery,0.868344370860927,0.0222534576014973,0.00616834374374749,0.131655629139073,0.0222534576014973,0.00616834374374749,1.7565523178808,0.073112628579347,0.0202657866998612,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Confidence-driven,Full,0.774975041597338,0.00751339660507407,0.00208260728616321,0.224858569051581,0.0075617451359466,0.00209600881518704,2.18915041597338,0.0563275827159725,0.0156132093568736,0.02,0.0547101204432193,0.0151648716886538
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Oracle,Normal,0.3072,0.0193949288554024,0.005376,0.6928,0.0193949288554024,0.005376,3.13128,8.97195690676443e-16,2.48689957516035e-16,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Oracle,Coop_1,0.987733333333333,0.00926897147474012,0.00256922781309006,0.0122666666666667,0.00926897147474012,0.00256922781309006,2.30192,0.0148245307520389,0.00410915027928868,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Oracle,LinkDeg_Emerg,0.992,0.0113096090815548,0.00313486369946146,0.00799999999999998,0.0113096090815548,0.00313486369946146,2.31886153846154,0.162088116222632,0.0449285336032643,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Oracle,PosDeg_Emerg,0.832727272727273,0.00821370820822953,0.00227672375890887,0.166545454545455,0.00788687088347477,0.00218612907454672,3.51633454545455,0.204662124994636,0.0567294467628163,0.02,0.0547101204432193,0.0151648716886538
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Oracle,Recovery,0.917483443708609,0.00919299472128302,0.00254816813147789,0.0825165562913907,0.00919299472128302,0.00254816813147789,2.02001721854305,0.011590456654835,0.00321271067509156,NaN,NaN,NaN
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Oracle,Full,0.80063227953411,0.00522602913606654,0.00144858137119012,0.199234608985025,0.00529178145111425,0.00146680698306691,2.62769284525791,0.0414780860655471,0.0114971388836143,0.02,0.0547101204432193,0.0151648716886538
10006,Reference,Mixed,Medium,Mixed,Default,Link-delay-aware,Normal,0.73792,0.0328682217346786,0.00911060624986066,0.26208,0.0328682217346786,0.00911060624986066,1.5236,0,0,0.958947368421053,0.0442141065503433,0.0122555250698141
10006,Reference,Mixed,Medium,Mixed,Default,Link-delay-aware,Coop_1,0.9992,0.00218840481772879,0.000606594867546156,0.000800000000000005,0.00218840481772879,0.000606594867546155,1.962,2.24298922669111e-16,6.21724893790088e-17,1,0,0
10006,Reference,Mixed,Medium,Mixed,Default,Link-delay-aware,LinkDeg_Emerg,0.992615384615385,0.00944799352096907,0.00261885019261525,0.00738461538461537,0.00944799352096907,0.00261885019261525,2.15230769230769,4.48597845338221e-16,1.24344978758018e-16,1,0,0
10006,Reference,Mixed,Medium,Mixed,Default,Link-delay-aware,PosDeg_Emerg,1,0,0,0,0,0,2.55,4.48597845338221e-16,1.24344978758018e-16,1,0,0
10006,Reference,Mixed,Medium,Mixed,Default,Link-delay-aware,Recovery,1,0,0,0,0,0,2.55,4.48597845338221e-16,1.24344978758018e-16,1,0,0
10006,Reference,Mixed,Medium,Mixed,Default,Link-delay-aware,Full,0.944492512479201,0.00672952901211799,0.00186533027467481,0.0555074875207986,0.00672952901211799,0.00186533027467481,2.14675540765392,4.48597845338221e-16,1.24344978758018e-16,0.997434210526316,0.00276338165939644,0.000765970316863378
10006,Reference,Mixed,Medium,Mixed,Default,Confidence-driven,Normal,0.91136,0.0229620449917703,0.00636475414764781,0.08864,0.0229620449917703,0.00636475414764781,2.14888,0.00307086373543872,0.000851200000000001,0.990526315789474,0.020425680762716,0.00566170985204589
10006,Reference,Mixed,Medium,Mixed,Default,Confidence-driven,Coop_1,0.9992,0.00218840481772879,0.000606594867546156,0.000800000000000005,0.00218840481772879,0.000606594867546155,1.98609333333333,0.000659966329107497,0.000182933333333348,1,0,0
10006,Reference,Mixed,Medium,Mixed,Default,Confidence-driven,LinkDeg_Emerg,0.996307692307692,0.00796077814341749,0.00220661512182301,0.00369230769230768,0.00796077814341749,0.00220661512182301,2.59688307692308,0.193112458180847,0.0535280424548218,1,0,0
10006,Reference,Mixed,Medium,Mixed,Default,Confidence-driven,PosDeg_Emerg,1,0,0,0,0,0,2.70047454545454,0.0520052032699089,0.0144151069005419,1,0,0
10006,Reference,Mixed,Medium,Mixed,Default,Confidence-driven,Recovery,1,0,0,0,0,0,3.10295364238411,0.0285560617042509,0.00791533647102246,1,0,0
10006,Reference,Mixed,Medium,Mixed,Default,Confidence-driven,Full,0.980965058236273,0.0046355585427141,0.00128491127301503,0.0190349417637271,0.0046355585427141,0.00128491127301503,2.4973703826955,0.025613791443454,0.00709978076365321,0.999407894736842,0.00127660504766974,0.000353856865752866
10006,Reference,Mixed,Medium,Mixed,Default,Oracle,Normal,0.94832,0.0204574620884908,0.00567051918610632,0.05168,0.0204574620884908,0.00567051918610632,2.31752,4.48597845338221e-16,1.24344978758018e-16,0.958947368421053,0.0442141065503433,0.0122555250698141
10006,Reference,Mixed,Medium,Mixed,Default,Oracle,Coop_1,0.9992,0.00218840481772879,0.000606594867546156,0.000800000000000005,0.00218840481772879,0.000606594867546155,1.96209333333333,0.000659966329107466,0.000182933333333339,1,0,0
