Scene,Config,Method,TimelyRateMean,TimelyRateStd,TimelyRateCI95,LossRateMean,LossRateStd,LossRateCI95,AvgTxCostMean,AvgTxCostStd,AvgTxCostCI95,EmergencyTimelyRateMean,EmergencyTimelyRateStd,EmergencyTimelyRateCI95
10014,Default,Link-delay-aware,0.968552412645591,0.00624674839452812,0.0027377581935065,0.0314475873544093,0.00624674839452812,0.0027377581935065,1.62945091514143,9.11251831401531e-16,3.9937372376846e-16,1,0,0
10014,Default,Confidence-driven,0.972462562396007,0.00639828006012425,0.00280416987408977,0.0275374376039933,0.00639828006012424,0.00280416987408977,1.67642678868552,0.0102778356519272,0.00450446007913889,1,0,0
10014,Default,Oracle,0.990515806988353,0.003704880281924,0.00162373537514061,0.00948419301164725,0.003704880281924,0.00162373537514061,1.69409317803661,0,0,1,0,0
10014,ForestGeometry,Link-delay-aware,0.965640599001664,0.00694012524893963,0.00304164399848237,0.0341930116472545,0.00694432311731013,0.00304348379541363,2.16482529118136,4.55625915700765e-16,1.9968686188423e-16,0.825,0.157418873564722,0.068991863237504
10014,ForestGeometry,Confidence-driven,0.974875207986689,0.00617637346708898,0.00270691502166006,0.0243760399334442,0.00599378597189325,0.00262689252364464,2.29697836938436,0.0156349349620339,0.00685231237018358,0.908333333333333,0.10080088647155,0.0441779363311544
10014,ForestGeometry,Oracle,0.975207986688852,0.00617637346708898,0.00270691502166006,0.0241264559068219,0.00599925337015638,0.00262928871658322,2.28728535773711,0.00171527017116427,0.000751750297690199,0.908333333333333,0.10080088647155,0.0441779363311544
10006,Default,Link-delay-aware,0.945840266222962,0.00721194524307534,0.00316077436345045,0.0541597337770382,0.00721194524307534,0.00316077436345045,2.14675540765392,0,0,0.997861842105263,0.0024511836196401,0.00107427858697445
10006,Default,Confidence-driven,0.982778702163062,0.00518568046141314,0.0022727246681772,0.0172212978369384,0.00518568046141314,0.0022727246681772,2.5050540765391,0.0152157789835213,0.0066686091630022,0.999506578947368,0.00120509062017277,0.000528154250967723
10006,Default,Oracle,0.988435940099834,0.00459576525408566,0.00201418292928636,0.0115640599001664,0.00459576525408566,0.00201418292928636,2.2932445923461,9.11251831401531e-16,3.9937372376846e-16,0.997861842105263,0.0024511836196401,0.00107427858697445
10006,ForestGeometry,Link-delay-aware,0.868635607321131,0.00779454406523601,0.00341610955516312,0.126206322795341,0.00820971479782982,0.00359806615131135,2.4024459234609,4.55625915700765e-16,1.9968686188423e-16,0.962171052631579,0.00927338070695436,0.00406423828982906
10006,ForestGeometry,Confidence-driven,0.880615640599001,0.00724017608871406,0.0031731470770729,0.113893510815308,0.00810611803202906,0.00355266286683774,2.72124459234609,0.0299055665502291,0.0131066924235434,0.967269736842105,0.0082306065048585,0.00360722234561945
10006,ForestGeometry,Oracle,0.912728785357737,0.00698616306880922,0.00306182096265617,0.0762063227953411,0.0062630554290837,0.00274490506651093,2.73418469217971,0.000743870984294503,0.000326015833124949,0.962828947368421,0.00675828963473711,0.00296195102684126
10011,Default,Link-delay-aware,0.997504159733777,0.00137632311458987,0.000603200200472526,0.00249584026622296,0.00137632311458987,0.000603200200472526,1.71880199667221,2.27812957850383e-16,9.9843430942115e-17,1,0,0
10011,Default,Confidence-driven,0.997504159733777,0.00137632311458987,0.000603200200472526,0.00249584026622296,0.00137632311458987,0.000603200200472526,1.7395840266223,0.0036461674175538,0.00159800332778705,1,0,0
10011,Default,Oracle,0.997504159733777,0.00137632311458987,0.000603200200472526,0.00249584026622296,0.00137632311458987,0.000603200200472526,1.71880199667221,2.27812957850383e-16,9.9843430942115e-17,1,0,0
10011,ForestGeometry,Link-delay-aware,0.97828618968386,0.00538419399417141,0.00235972705990262,0.0217138103161397,0.00538419399417141,0.00235972705990262,1.71880199667221,2.27812957850383e-16,9.9843430942115e-17,0.995,0.0153896752812773,0.00674482257579452
10011,ForestGeometry,Confidence-driven,0.99567387687188,0.00218617865335037,0.000958135039650673,0.0043261231281198,0.00218617865335037,0.000958135039650673,1.83821963394343,0.0120932343301809,0.00530009362990324,1,0,0
10011,ForestGeometry,Oracle,0.997337770382695,0.00204854246672576,0.000897813321237206,0.00266222961730449,0.00204854246672576,0.000897813321237206,1.82861896838602,6.83438873551148e-16,2.99530292826345e-16,0.995,0.0153896752812773,0.00674482257579452
