Scene,SceneRole,GeometryType,DensityClass,VegetationClass,Config,Method,TimelyRateMean,TimelyRateStd,TimelyRateCI95,LossRateMean,LossRateStd,LossRateCI95,AvgTxCostMean,AvgTxCostStd,AvgTxCostCI95,EmergencyTimelyRateMean,EmergencyTimelyRateStd,EmergencyTimelyRateCI95
10014,Primary,CurvedBlind,Medium,Dense,Default,Link-delay-aware,0.968718801996672,0.00691845418946763,0.00428810233274535,0.0312811980033278,0.00691845418946763,0.00428810233274535,1.62945091514143,2.3405556457178e-16,1.45069141884354e-16,1,0,0
10014,Primary,CurvedBlind,Medium,Dense,Default,Confidence-driven,0.972712146422629,0.00711140118683288,0.00440769212070083,0.027287853577371,0.00711140118683288,0.00440769212070083,1.67366888519135,0.0126188190257344,0.00782122506254638,1,0,0
10014,Primary,CurvedBlind,Medium,Dense,Default,Oracle,0.990349417637271,0.00382655314712375,0.0023717222123889,0.00965058236272878,0.00382655314712375,0.00237172221238891,1.69409317803661,0,0,1,0,0
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Link-delay-aware,0.965890183028286,0.00800861291081178,0.00496378970857204,0.0337770382695507,0.00800092710010573,0.00495902599374283,2.16482529118136,4.6811112914356e-16,2.90138283768708e-16,0.783333333333333,0.176558317578563,0.109431978985539
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Confidence-driven,0.974542429284526,0.00706148076889705,0.00437675112510559,0.0242928452579035,0.00702435505224073,0.00435374036752318,2.29604991680533,0.016733072948314,0.0103712660630026,0.866666666666667,0.105409255338946,0.0653333333333333
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Oracle,0.974542429284526,0.00706148076889705,0.00437675112510559,0.024459234608985,0.00706148076889705,0.00437675112510559,2.28705324459235,0.00197226485416124,0.00122242242129687,0.866666666666667,0.105409255338946,0.0653333333333333
10006,Reference,Mixed,Medium,Mixed,Default,Link-delay-aware,0.945590682196339,0.0071480748170155,0.00443042267218382,0.0544093178036605,0.0071480748170155,0.00443042267218382,2.14675540765392,4.6811112914356e-16,2.90138283768708e-16,0.997368421052631,0.0030228177087917,0.00187356182660958
10006,Reference,Mixed,Medium,Mixed,Default,Confidence-driven,0.982695507487521,0.00484786985766215,0.00300474086785658,0.0173044925124792,0.00484786985766215,0.00300474086785658,2.50343594009983,0.0173293197788544,0.0107408236773067,0.999671052631579,0.00104022291452907,0.00064473684210526
10006,Reference,Mixed,Medium,Mixed,Default,Oracle,0.987687188019967,0.00471925621435,0.00292502530585296,0.0123128119800333,0.00471925621435,0.00292502530585296,2.2932445923461,0,0,0.997368421052631,0.0030228177087917,0.00187356182660958
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,Link-delay-aware,0.868386023294509,0.00681316478716669,0.0042228432850946,0.126955074875208,0.00674965853647312,0.00418348170311613,2.4024459234609,4.6811112914356e-16,2.90138283768708e-16,0.963815789473684,0.00992915037076471,0.00615415115877668
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,Confidence-driven,0.879534109816972,0.00689172471081933,0.00427153523023865,0.115307820299501,0.00744322469633756,0.004613358462661,2.71822961730449,0.0312981629533229,0.0193988023762741,0.96875,0.00907507969147306,0.00562479266742823
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,Oracle,0.910815307820299,0.00638187459285303,0.00395552685317516,0.0773710482529119,0.00503768777720048,0.0031223912332819,2.73412645590683,0.000786129767716182,0.000487248278078679,0.9625,0.00713983359478056,0.00442531470972247
10011,Boundary,Open,Low,Sparse,Default,Link-delay-aware,0.997171381031614,0.00136983794067981,0.000849034351901111,0.00282861896838602,0.00136983794067981,0.000849034351901111,1.71880199667221,2.3405556457178e-16,1.45069141884354e-16,1,0,0
10011,Boundary,Open,Low,Sparse,Default,Confidence-driven,0.997171381031614,0.00136983794067981,0.000849034351901111,0.00282861896838602,0.00136983794067981,0.000849034351901111,1.7403993344426,0.00515645941258747,0.0031960066555741,1,0,0
10011,Boundary,Open,Low,Sparse,Default,Oracle,0.997171381031614,0.00136983794067981,0.000849034351901111,0.00282861896838602,0.00136983794067981,0.000849034351901111,1.71880199667221,2.3405556457178e-16,1.45069141884354e-16,1,0,0
10011,Boundary,Open,Low,Sparse,ForestGeometry,Link-delay-aware,0.97820299500832,0.00619848411356561,0.00384186025649048,0.0217970049916805,0.00619848411356561,0.00384186025649048,1.71880199667221,2.3405556457178e-16,1.45069141884354e-16,0.995,0.0158113883008419,0.00980000000000001
10011,Boundary,Open,Low,Sparse,ForestGeometry,Confidence-driven,0.996173044925125,0.0019292875353218,0.00119578480310593,0.0038269550748752,0.0019292875353218,0.00119578480310593,1.84031613976705,0.014342991549154,0.00888987826415118,1,0,0
10011,Boundary,Open,Low,Sparse,ForestGeometry,Oracle,0.997670549084859,0.00195305788814853,0.00121051782042671,0.00232945091514143,0.00195305788814853,0.00121051782042671,1.82861896838602,0,0,0.995,0.0158113883008419,0.00980000000000001
10019,DenseBlind,ShortRangeOccluded,High,Dense,Default,Link-delay-aware,1,0,0,0,0,0,2.49966722129784,4.6811112914356e-16,2.90138283768708e-16,1,0,0
10019,DenseBlind,ShortRangeOccluded,High,Dense,Default,Confidence-driven,1,0,0,0,0,0,3.1077537437604,0.0143322961765124,0.00888324920350876,1,0,0
10019,DenseBlind,ShortRangeOccluded,High,Dense,Default,Oracle,1,0,0,0,0,0,2.49966722129784,4.6811112914356e-16,2.90138283768708e-16,1,0,0
10019,DenseBlind,ShortRangeOccluded,High,Dense,ForestGeometry,Link-delay-aware,0.999500831946756,0.00112304252530874,0.00069606896868377,0.000499168053244592,0.00112304252530874,0.00069606896868377,2.49966722129784,4.6811112914356e-16,2.90138283768708e-16,0.999450549450549,0.00123616951961639,0.000766185806188543
10019,DenseBlind,ShortRangeOccluded,High,Dense,ForestGeometry,Confidence-driven,1,0,0,0,0,0,3.12622296173045,0.0193995998160262,0.0120239965384275,1,0,0
10019,DenseBlind,ShortRangeOccluded,High,Dense,ForestGeometry,Oracle,0.999500831946756,0.00112304252530874,0.00069606896868377,0.000499168053244592,0.00112304252530874,0.00069606896868377,2.49966722129784,4.6811112914356e-16,2.90138283768708e-16,0.999450549450549,0.00123616951961639,0.000766185806188543
10017,LongRange,LongMixed,Medium,Mixed,Default,Link-delay-aware,0.904492512479201,0.0138146589540594,0.00856241432908037,0.0955074875207987,0.0138146589540594,0.00856241432908037,1.92312811980033,0,0,0.991666666666667,0.0134179414316569,0.00831652626121616
10017,LongRange,LongMixed,Medium,Mixed,Default,Confidence-driven,0.955574043261231,0.0102283973077943,0.00633962633192983,0.0444259567387687,0.0102283973077943,0.00633962633192983,2.14841930116473,0.00639114664022764,0.0039612737276774,1,0,0
10017,LongRange,LongMixed,Medium,Mixed,Default,Oracle,0.972878535773711,0.0073601040033427,0.00456183972339215,0.0271214642262895,0.0073601040033427,0.00456183972339215,2.20595673876872,0,0,0.991666666666667,0.0134179414316569,0.00831652626121616
10017,LongRange,LongMixed,Medium,Mixed,ForestGeometry,Link-delay-aware,0.798835274542429,0.0116194899245945,0.00720183446857498,0.185524126455907,0.0108188625641327,0.0067056004894178,2.76296173044925,4.6811112914356e-16,2.90138283768708e-16,0.605555555555556,0.0536717657266275,0.0332661050448646
10017,LongRange,LongMixed,Medium,Mixed,ForestGeometry,Confidence-driven,0.826622296173045,0.011306860726187,0.00700806488388707,0.157737104825291,0.0102509284988556,0.00635359130883123,3.05575540765391,0.0306894536601453,0.019021520447601,0.641666666666667,0.0547002055101553,0.0339035386267111
10017,LongRange,LongMixed,Medium,Mixed,ForestGeometry,Oracle,0.868386023294509,0.0106237570183569,0.00658467281929657,0.114309484193012,0.0107274902226641,0.00664896732543785,3.50544925124792,0.00491701881997842,0.00304759983873287,0.647222222222222,0.0507995063864637,0.031485860261925
