Config,Method,TimelyRateMean,TimelyRateStd,TimelyRateCI95,LossRateMean,LossRateStd,LossRateCI95,AvgDelayMean,AvgDelayStd,AvgDelayCI95,AvgTxCostMean,AvgTxCostStd,AvgTxCostCI95,EmergencyTimelyRateMean,EmergencyTimelyRateStd,EmergencyTimelyRateCI95
Generic,Link-delay-aware,0.968718801996672,0.00691845418946763,0.00428810233274535,0.0312811980033278,0.00691845418946763,0.00428810233274535,0.0242200511076674,0.00290337977505987,0.00179953342832468,1.62945091514143,2.3405556457178e-16,1.45069141884354e-16,1,0,0
Generic,Confidence-heuristic,0.970881863560732,0.00643228702426134,0.00398677280188006,0.0291181364392679,0.00643228702426134,0.00398677280188006,0.0242379415860797,0.0029075842941384,0.00180213941624842,1.90477371048253,0.032069295558541,0.0198767553167338,1,0,0
Generic,Confidence-lyapunov,0.970715474209651,0.00647756020883258,0.00401483341239423,0.0292845257903494,0.00647756020883258,0.00401483341239423,0.024379568172042,0.00284926867819209,0.00176599502301741,1.81968386023294,0.0222270197407851,0.0137764495637676,1,0,0
Generic,Oracle,0.993011647254576,0.00291379379624264,0.00180598810552628,0.00698835274542429,0.00291379379624264,0.00180598810552628,0.0157020354882495,0.00110801895149803,0.00068675726116362,1.89032445923461,0.0202842294707992,0.0125722956790105,1,0,0
ForestParam,Link-delay-aware,0.962063227953411,0.00559050612017932,0.00346503159212402,0.0376039933444259,0.00566701709348632,0.00351245358468673,0.0359853659934911,0.00219279884478041,0.00135911080481806,2.2112146422629,0,0,0.783333333333333,0.176558317578563,0.109431978985539
ForestParam,Confidence-heuristic,0.972878535773711,0.00731818963063593,0.00453586092603983,0.0261231281198003,0.00740178102959655,0.00458767141188885,0.0349434015390924,0.00253308133651851,0.00157002007828494,2.5621996672213,0.0283543292035762,0.0175741953146677,0.883333333333333,0.0805076485899413,0.0498991575672969
ForestParam,Confidence-lyapunov,0.953078202995008,0.00413562992397276,0.00256328998338337,0.0459234608985025,0.00445089354359154,0.00275869239925469,0.0420882648096637,0.00194809671365192,0.00120744285261606,2.40945424292845,0.0309087882910414,0.0191574654602643,0.883333333333333,0.0805076485899413,0.0498991575672969
ForestParam,Oracle,0.972712146422629,0.00598385089706541,0.00370882921065942,0.0261231281198003,0.00642271516326748,0.00398084010097139,0.0353057921219349,0.00218575807256512,0.00135474688898745,2.55065890183028,0.0197862385771466,0.0122636377253294,0.866666666666667,0.105409255338946,0.0653333333333333
ForestGeometryDemo,Link-delay-aware,0.822628951747088,0.00538877772667384,0.00333999903845203,0.17720465890183,0.0057237291848448,0.00354760410308134,0.0918905870145066,0.00171261012179189,0.00106148675082927,1.82655574043261,0,0,0.971028037383178,0.0102850928468655,0.00637476659111049
ForestGeometryDemo,Confidence-heuristic,0.844425956738769,0.00838392482408816,0.00519641044244604,0.155241264559068,0.00815326685087043,0.00505344714950019,0.0870958458604581,0.00267589621189547,0.00165853765511402,2.19753577371048,0.028176290208428,0.0174638456022165,0.986915887850467,0.00482614747190955,0.00299127719367915
ForestGeometryDemo,Confidence-lyapunov,0.81630615640599,0.00845516982813514,0.00524056855344653,0.183361064891847,0.00858514589945176,0.00532112855707601,0.0918972071801557,0.00176432956193618,0.00109354279194155,1.8005540765391,0.0462834052591229,0.028686751783539,0.976635514018692,0.00794239799625045,0.00492274927933494
ForestGeometryDemo,Oracle,0.857071547420965,0.00878525969569433,0.00544516037299648,0.142595673876872,0.00904746080916376,0.00560767430682123,0.0829489673537248,0.00330646991382795,0.00204937128473333,2.25747254575707,0.0197510762709182,0.012241843902138,0.98785046728972,0.00451444758448269,0.0027980836019045
