Scene,SceneRole,GeometryType,DensityClass,VegetationClass,Config,Candidate,TimelyRate,EmergencyTimely,AvgDelay,AvgTxCost,TimelyGainVsHeuristic_pp,EmergencyGainVsHeuristic_pp,TimelyGainVsLink_pp,CostDeltaVsProposedPct,TimelyDeltaVsProposed_pp
10014,Primary,CurvedBlind,Medium,Dense,Default,Proposed,0.989018302828619,1,0.0153208720703078,1.81722129783694,1.5973377703827,0,1.89683860232945,0,0
10014,Primary,CurvedBlind,Medium,Dense,Default,TimelyLow,0.989018302828619,1,0.0153208720703078,1.81722129783694,1.5973377703827,0,1.89683860232945,0,0
10014,Primary,CurvedBlind,Medium,Dense,Default,TimelyHigh,0.989018302828619,1,0.0153208720703078,1.81722129783694,1.5973377703827,0,1.89683860232945,0,0
10014,Primary,CurvedBlind,Medium,Dense,Default,ProtectLow,0.989018302828619,1,0.0153208720703078,1.80630615640599,1.5973377703827,0,1.89683860232945,-0.60065009385157,0
10014,Primary,CurvedBlind,Medium,Dense,Default,ProtectHigh,0.989351081530782,1,0.0152690727219888,1.8257071547421,1.630615640599,0,1.93011647254575,0.466968822963876,0.0332778702162972
10014,Primary,CurvedBlind,Medium,Dense,Default,EmergencyFloorLow,0.989018302828619,1,0.0153208720703078,1.81722129783694,1.5973377703827,0,1.89683860232945,0,0
10014,Primary,CurvedBlind,Medium,Dense,Default,EmergencyFloorHigh,0.989018302828619,1,0.0153208720703078,1.82321131447587,1.5973377703827,0,1.89683860232945,0.329625051503912,0
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Proposed,0.786356073211315,0,0.0842882634739614,2.37147753743761,1.36439267886855,0,4.65890183028286,0,0
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,TimelyLow,0.786356073211315,0,0.0842882634739614,2.37147753743761,1.36439267886855,0,4.65890183028286,0,0
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,TimelyHigh,0.786356073211315,0,0.0842882634739614,2.37147753743761,1.36439267886855,0,4.65890183028286,0,0
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,ProtectLow,0.786023294509151,0,0.0843456344530064,2.35903161397671,1.33111480865225,0,4.62562396006655,-0.524817261155521,-0.0332778702163083
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,ProtectHigh,0.786688851913478,0,0.0842287971576146,2.38572046589019,1.39767054908486,0,4.69217970049917,0.600593015440014,0.0332778702163083
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,EmergencyFloorLow,0.786356073211315,0,0.0842882634739614,2.37147753743761,1.36439267886855,0,4.65890183028286,0,0
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,EmergencyFloorHigh,0.786356073211315,0,0.0842882634739614,2.37746755407654,1.36439267886855,0,4.65890183028286,0.252585847615002,0
10006,Reference,Mixed,Medium,Mixed,Default,Proposed,0.98369384359401,0.999342105263158,0.0195091198301267,2.5583693843594,0.166389351081531,0,3.62728785357737,0,0
