Scene,SceneRole,GeometryType,DensityClass,VegetationClass,Config,Candidate,ActualCostWeight,HeuristicTimely,CandidateTimely,CandidateMinusHeuristicTimely_pp,HeuristicEmgTimely,CandidateEmgTimely,CandidateMinusHeuristicEmg_pp,HeuristicTxCost,CandidateTxCost,CandidateCostDeltaPct,HeuristicDelay,CandidateDelay,CandidateDelayDeltaPct
10017,LongRange,LongMixed,Medium,Mixed,Default,V4Cost0035,0.035,0.953410981697171,0.964725457570715,1.13144758735441,1,0.994444444444444,-0.555555555555554,2.35737104825291,2.35252911813644,-0.205395333079239,0.0266933048710288,0.0230091279449078,-13.8018763278709
10017,LongRange,LongMixed,Medium,Mixed,Default,V4Cost0060,0.06,0.953410981697171,0.957404326123128,0.399334442595678,1,0.994444444444444,-0.555555555555554,2.35737104825291,2.25337770382696,-4.41141179293886,0.0266933048710288,0.0248636209849943,-6.85446742123085
10017,LongRange,LongMixed,Medium,Mixed,Default,V4Cost0090,0.09,0.953410981697171,0.951414309484193,-0.199667221297839,1,0.994444444444444,-0.555555555555554,2.35737104825291,2.19084858569052,-7.0639054757972,0.0266933048710288,0.0258586559821594,-3.12680986075751
10017,LongRange,LongMixed,Medium,Mixed,Default,V4Cost0130,0.13,0.953410981697171,0.944425956738769,-0.89850249584027,1,0.994444444444444,-0.555555555555554,2.35737104825291,2.13384359400998,-9.48206496421457,0.0266933048710288,0.0274083522168833,2.67875165442938
10017,LongRange,LongMixed,Medium,Mixed,Default,V4Cost0180,0.18,0.953410981697171,0.940432612312812,-1.29783693843594,1,0.994444444444444,-0.555555555555554,2.35737104825291,2.10672212978369,-10.6325611598131,0.0266933048710288,0.0279416719418604,4.6767048024337
10017,LongRange,LongMixed,Medium,Mixed,Default,V4Cost0250,0.25,0.953410981697171,0.93477537437604,-1.86356073211315,1,0.994444444444444,-0.555555555555554,2.35737104825291,2.07464226289517,-11.9933934696989,0.0266933048710288,0.0294973501206702,10.5046762219569
10017,LongRange,LongMixed,Medium,Mixed,ForestGeometry,V4Cost0035,0.035,0.524459234608985,0.540432612312812,1.59733777038269,0.0166666666666667,0.0111111111111111,-0.555555555555556,2.65037936772046,3.8727221297837,46.1195396006476,0.127405584219692,0.124105797078587,-2.58998627204213
10017,LongRange,LongMixed,Medium,Mixed,ForestGeometry,V4Cost0060,0.06,0.524459234608985,0.531447587354409,0.698835274542431,0.0166666666666667,0.0111111111111111,-0.555555555555556,2.65037936772046,2.95627953410981,11.5417502156474,0.127405584219692,0.125104970150553,-1.80574037098022
10017,LongRange,LongMixed,Medium,Mixed,ForestGeometry,V4Cost0090,0.09,0.524459234608985,0.525124792013311,0.0665557404326056,0.0166666666666667,0.0111111111111111,-0.555555555555556,2.65037936772046,2.48120465890183,-6.3830374956525,0.127405584219692,0.126031131091125,-1.07880132333654
10017,LongRange,LongMixed,Medium,Mixed,ForestGeometry,V4Cost0130,0.13,0.524459234608985,0.519467554076539,-0.499168053244592,0.0166666666666667,0.0111111111111111,-0.555555555555556,2.65037936772046,2.14718136439268,-18.9858859247224,0.127405584219692,0.128027595593026,0.488213587453273
10017,LongRange,LongMixed,Medium,Mixed,ForestGeometry,V4Cost0180,0.18,0.524459234608985,0.518136439267887,-0.632279534109814,0.0166666666666667,0.0111111111111111,-0.555555555555556,2.65037936772046,2.09516139767055,-20.948622556153,0.127405584219692,0.128230348995605,0.647353709780135
10017,LongRange,LongMixed,Medium,Mixed,ForestGeometry,V4Cost0250,0.25,0.524459234608985,0.517470881863561,-0.698835274542431,0.0166666666666667,0.0111111111111111,-0.555555555555556,2.65037936772046,2.06963394342762,-21.9117848322344,0.127405584219692,0.128303511272395,0.704778411560696
10019,DenseBlind,ShortRangeOccluded,High,Dense,ForestGeometry,V4Cost0035,0.035,0.663560732113145,0.661564059900166,-0.199667221297839,0.62967032967033,0.627472527472527,-0.219780219780219,3.36307820299501,2.92361064891848,-13.0674200107855,0.039987107221515,0.0399724348709888,-0.0366927030878371
10019,DenseBlind,ShortRangeOccluded,High,Dense,ForestGeometry,V4Cost0060,0.06,0.663560732113145,0.660232945091514,-0.332778702163061,0.62967032967033,0.626007326007326,-0.366300366300365,3.36307820299501,2.89325124792014,-13.9701465953561,0.039987107221515,0.039934252573177,-0.132179224781599
10019,DenseBlind,ShortRangeOccluded,High,Dense,ForestGeometry,V4Cost0090,0.09,0.663560732113145,0.658569051580699,-0.499168053244592,0.62967032967033,0.624175824175824,-0.549450549450547,3.36307820299501,2.86500831946756,-14.8099405801474,0.039987107221515,0.0398750958606506,-0.280118689866647
10019,DenseBlind,ShortRangeOccluded,High,Dense,ForestGeometry,V4Cost0130,0.13,0.663560732113145,0.656905158069883,-0.665557404326123,0.62967032967033,0.622344322344322,-0.73260073260073,3.36307820299501,2.83960066555741,-15.5654286293852,0.039987107221515,0.0398068571573787,-0.450770452430572
10019,DenseBlind,ShortRangeOccluded,High,Dense,ForestGeometry,V4Cost0180,0.18,0.663560732113145,0.654908485856905,-0.865224625623962,0.62967032967033,0.62014652014652,-0.952380952380949,3.36307820299501,2.81476206322796,-16.3039961211352,0.039987107221515,0.039749332329956,-0.594628889361343
10019,DenseBlind,ShortRangeOccluded,High,Dense,ForestGeometry,V4Cost0250,0.25,0.663560732113145,0.65757071547421,-0.599001663893506,0.62967032967033,0.623076923076923,-0.659340659340657,3.36307820299501,2.7788918469218,-17.3705849466407,0.039987107221515,0.0396163041533915,-0.927306559260336
