Scene,SceneRole,GeometryType,DensityClass,VegetationClass,Config,TimelyGainVsDCC_pp,EmgGainVsDCC_pp,CostDeltaVsDCC_pct,TimelyGainVsAoI_pp,EmgGainVsAoI_pp,CostDeltaVsAoI_pct,TimelyGainVsHeuristic_pp,TimelyGainVsLink_pp,LiteratureBaselineDecision
10014,Primary,CurvedBlind,Medium,Dense,Default,1.19467554076538,0,-50.8830560898693,1.47753743760397,13.6666666666667,-9.03828113178982,0.342762063227942,5.72379367720465,LiteratureStrong
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,-0.0432612312812108,1.33333333333333,-40.9548054673859,0.612312811980043,0.666666666666666,-3.58213001460838,1.0316139767055,1.18136439267886,LiteratureBoundary
10006,Reference,Mixed,Medium,Mixed,Default,7.15474209650585,-0.04605263157893,-36.2274669623462,1.79700499168053,0.532894736842104,20.1416673098644,0.176372712146422,5.90016638935109,LiteratureStrong
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,0.41930116472545,0.151315789473683,-30.3035884306118,0.116472545757063,0.124999999999997,9.28509954961131,0.522462562396009,0.618968386023289,LiteratureNonnegative
10011,Boundary,Open,Low,Sparse,Default,-0.485856905158066,0,-47.8967787552111,0.18968386023297,0.300000000000011,2.87075310925011,0.123128119800342,0.232945091514158,LiteratureBoundary
10011,Boundary,Open,Low,Sparse,ForestGeometry,19.4409317803661,9.3,8.85316593794443,-0.272878535773691,15.8,-20.1463671955492,4.09983361064892,12.8885191347754,LiteratureStrong
10019,DenseBlind,ShortRangeOccluded,High,Dense,Default,-0.0133111480865256,0,-33.5302108987355,0.193011647254571,0.212454212454216,80.4385982211517,0,0,LiteratureBoundary
10019,DenseBlind,ShortRangeOccluded,High,Dense,ForestGeometry,0.572379367720455,0.644688644688651,-12.0649274596567,-0.831946755407653,-0.915750915750912,0.226706547158909,-0.672212978369391,-0.715474209650591,LiteratureBoundary
10017,LongRange,LongMixed,Medium,Mixed,Default,8.47587354409319,-1.2222222222222,-39.3024343193433,3.04159733777039,3.88888888888889,-13.8015342568732,0.173044925124799,11.0848585690516,LiteratureStrong
10017,LongRange,LongMixed,Medium,Mixed,ForestGeometry,1.13810316139766,0.277777777777778,-25.6351458230351,-0.479201331114798,-0.611111111111111,-26.7265805110887,0.6189683860233,0.905158069883527,LiteratureBoundary
10013,HeldOutHighNLOS,ShortHighNLOS,High,Dense,Default,-0.745424292845254,0,-33.9188344420637,0.552412645590672,0.649541284403654,80.3892363234627,0,0.0232945091514059,LiteratureBoundary
10013,HeldOutHighNLOS,ShortHighNLOS,High,Dense,ForestGeometry,0.87188019966723,0.851376146788985,2.36349582956257,-0.103161397670559,0.0477064220183565,1.58181059090825,-0.459234608985026,-0.589018302828614,LiteratureBoundary
10007,HeldOutLongMixed,LongMixed,Medium,Mixed,Default,6.89850249584028,0,-41.4473489374747,1.78702163061564,0.0705882352941112,23.1104739562969,0.0632279534110047,3.95673876871879,LiteratureStrong
10007,HeldOutLongMixed,LongMixed,Medium,Mixed,ForestGeometry,-0.465890183028306,0,-44.1497374127357,0.908485856905161,0.0705882352941112,17.1736681292265,0.11980033277873,1.3810316139767,LiteratureBoundary
10015,HeldOutBoundary,LongLowNLOS,Low,Sparse,Default,3.29783693843594,0,-24.6373162485757,1.47753743760398,0.15384615384616,4.02175986799669,0.0166389351081375,2.10316139767056,LiteratureStrong
10015,HeldOutBoundary,LongLowNLOS,Low,Sparse,ForestGeometry,-0.808652246256225,0,-13.7324347808707,4.86522462562398,1.38461538461538,9.05418802184806,2.78868552412647,6.60232945091515,LiteratureBoundary
