Parameter,Default,Lo,Hi,TimelyLo,TimelyHi,TimelySpan,CostLo,CostHi,CostSpanPct
integrity_k_sigma,2.45,2,3,0.988352745424293,0.991680532445923,0.00332778702163061,1.9234608985025,2.25594009983361,16.278615071283
risk_constrained_voi_bias,0.65,0.455,0.845,0.991680532445923,0.993344425956739,0.00166389351081531,2.02745424292845,2.04858569051581,1.0346232179226
protection_integrity_scale,0.55,0.385,0.715,0.988352745424293,0.990016638935108,0.00166389351081531,1.97221297836938,2.11930116472546,7.2016293279022
risk_v4_actual_cost_weight,0.06,0.042,0.078,0.991680532445923,0.991680532445923,0,2.11420965058236,2.0063227953411,5.28228105906314
risk_constrained_delay_weight,0.08,0.056,0.104,0.991680532445923,0.991680532445923,0,2.04242928452579,2.04242928452579,0
risk_constrained_position_risk_weight,0.2,0.14,0.26,0.991680532445923,0.991680532445923,0,2.04242928452579,2.04792013311148,0.268839103869636
risk_constrained_misdecision_weight,0.28,0.196,0.364,0.991680532445923,0.991680532445923,0,2.04242928452579,2.0459234608985,0.171079429735221
risk_constrained_relay_penalty_weight,0.06,0.042,0.078,0.991680532445923,0.991680532445923,0,2.04242928452579,2.04242928452579,0
risk_constrained_success_reward_weight,0.45,0.315,0.585,0.991680532445923,0.991680532445923,0,2.02745424292845,2.04242928452579,0.733197556008146
risk_constrained_event_reward_weight,0.12,0.084,0.156,0.991680532445923,0.991680532445923,0,2.04242928452579,2.04242928452579,0
risk_constrained_voi_urgency_scale,0.7,0.49,0.91,0.991680532445923,0.991680532445923,0,2.02745424292845,2.04608985024958,0.912423625254578
dpp_V,NaN,1,4,0.990016638935108,0.990016638935108,0,2.08941763727121,2.03727121464226,2.5531568228106
