Scene,SceneRole,GeometryType,DensityClass,VegetationClass,Config,Seed,SafetyViolationRate,MeanSafetyViolation,MaxSafetyViolation,BudgetViolationRate,MeanBudgetViolation,MaxBudgetViolation,MeanFeasibleSequenceRatio,NoFeasibleSequenceRate,MeanAoIAge
10014,Primary,CurvedBlind,Medium,Dense,ModerateForestGeometry,1,0.352745424292845,0.626201588819459,3.44868214971657,0.153078202995008,0.110306063816171,0.723076923076923,0.00995850537170559,0.202995008319468,21.2572379367721
10014,Primary,CurvedBlind,Medium,Dense,ModerateForestGeometry,2,0.352745424292845,0.625787027572056,3.44868214971657,0.169717138103161,0.117457265713718,0.723076923076923,0.0103430496497607,0.202995008319468,21.2572379367721
10014,Primary,CurvedBlind,Medium,Dense,ModerateForestGeometry,3,0.339434276206323,0.628260452123016,3.60881728243666,0.158069883527454,0.111545133451885,0.723076923076923,0.0100472463589491,0.202995008319468,21.2572379367721
10014,Primary,CurvedBlind,Medium,Dense,ModerateForestGeometry,4,0.349417637271215,0.626094159562299,3.44868214971657,0.153078202995008,0.110306063816171,0.723076923076923,0.0101610484583308,0.202995008319468,21.2572379367721
10014,Primary,CurvedBlind,Medium,Dense,ModerateForestGeometry,5,0.35108153078203,0.628639730457025,3.44868214971657,0.166389351081531,0.111913896351426,0.723076923076923,0.0100899735009552,0.206322795341098,21.2572379367721
10014,Primary,CurvedBlind,Medium,Dense,ModerateForestGeometry,6,0.364392678868552,0.630934700081604,3.44868214971657,0.1630615640599,0.106392237705298,0.723076923076923,0.0102838889915984,0.202995008319468,21.2572379367721
10014,Primary,CurvedBlind,Medium,Dense,ModerateForestGeometry,7,0.369384359400998,0.627496189782288,3.44868214971657,0.169717138103161,0.117457265713718,0.723076923076923,0.0100361537355436,0.202995008319468,21.2572379367721
10014,Primary,CurvedBlind,Medium,Dense,ModerateForestGeometry,8,0.344425956738769,0.625604502752307,3.44868214971657,0.166389351081531,0.115051019713462,0.723076923076923,0.0102578007847004,0.202995008319468,21.2572379367721
10014,Primary,CurvedBlind,Medium,Dense,ModerateForestGeometry,9,0.346089850249584,0.625040122778761,3.44868214971657,0.15973377703827,0.11316654457519,0.723076923076923,0.0102037756003369,0.202995008319468,21.2572379367721
10014,Primary,CurvedBlind,Medium,Dense,ModerateForestGeometry,10,0.396006655574043,0.631423194137145,3.81590726325995,0.189683860232945,0.121917972744976,0.765957446808511,0.009675643474867,0.211314475873544,21.2572379367721
