Scene,SceneRole,GeometryType,DensityClass,VegetationClass,Config,BudgetedTimely_pct,BudgetedEmgTimely_pct,BudgetedCost,TimelyGainVsV6_pp,EmgGainVsV6_pp,CostDeltaVsV6,TimelyDeltaVsStep64_pp,EmgDeltaVsStep64_pp,CostReductionVsStep64,TimelyGainVsLink_pp,SafetyViolationRate_pct,BudgetViolationRate_pct,NoFeasibleSequenceRate_pct,Decision
10014,Primary,CurvedBlind,Medium,Dense,ModerateForestGeometry,81.630615640599,6.66666666666667,2.29464059900166,0.116472545757063,0,0.063400998336105,0.0332778702163083,-1.66666666666667,0.166076539101498,1.14808652246255,35.6572379367721,16.4891846921797,20.4159733777038,NoClearBudgetBenefit
10006,Reference,Mixed,Medium,Mixed,ModerateForestGeometry,75.2745424292845,84.0131578947368,2.86900665557405,0.632279534109814,1.05263157894737,-0.205602329450902,-0.0332778702163083,1.11022302462516e-14,1.04852911813644,0.432612312811986,30.8153078202995,25.9234608985025,29.783693843594,BudgetImprovedCandidate
10011,Boundary,Open,Low,Sparse,ModerateForestGeometry,96.2562396006656,96,2.0273544093178,0.282861896838615,0,-0.013534109816971,-0.0166389351081375,0,0.21026622296173,1.03161397670549,23.2113144758735,4.50915141430948,5.32445923460898,BudgetImprovedCandidate
10019,DenseBlind,ShortRangeOccluded,High,Dense,ModerateForestGeometry,96.0732113144759,95.6776556776557,2.66159733777039,-0.931780366056567,-1.02564102564102,-0.510838602329439,-1.53078202995007,-1.6849816849817,2.04316472545756,0.515806988352741,11.5474209650582,34.9417637271215,6.98835274542429,NoClearBudgetBenefit
10017,LongRange,LongMixed,Medium,Mixed,ModerateForestGeometry,55.5241264559068,4.16666666666667,3.45620299500832,0.565723793677209,-0.277777777777777,0.502668885191349,-0.249584026622307,0,0.408821963394344,2.1630615640599,66.3227953410982,32.1297836938436,48.7520798668885,BudgetImprovedButRisky
10013,HeldOutHighNLOS,ShortHighNLOS,High,Dense,ModerateForestGeometry,84.6589018302829,87.1192660550459,3.382459234609,0.831946755407653,0.0366972477064298,-0.399712146422611,0.049916805324457,-0.238532110091727,1.75623627287852,0.931780366056578,32.6788685524127,41.2978369384359,30.3161397670549,BudgetImprovedCandidate
10007,HeldOutLongMixed,LongMixed,Medium,Mixed,ModerateForestGeometry,87.5707154742096,100,2.59594009983361,0.0998336106489139,0,-0.0331281198003226,-0.0332778702163083,0,1.08833610648919,0.432612312811975,17.0549084858569,12.8618968386023,13.1447587354409,BudgetImprovedCandidate
10015,HeldOutBoundary,LongLowNLOS,Low,Sparse,ModerateForestGeometry,93.1281198003328,100,1.31135940099834,-2.22044604925031e-14,0,-0.032193011647254,-0.0166389351081708,0,0.10889850249584,0.266222961730445,24.3926788685524,8.30282861896839,9.83361064891847,NoClearBudgetBenefit
